GEOID,max_intensity,population,Total_Num_Building,risk_level,BHI_factor_low,shelter_seeking_low,Total_Num_Building_Slight,Total_Num_Building_Moderate,Total_Num_Building_Extensive,Total_Num_Building_Complete
06055201102,0.6,1811,1482.0,low,0.0001,0.1714,180.95017284492224,6.768240703250594,0.34113909770245476,0.0024746810114656573
06055200803,0.58,2149,750.0,low,0.0244,52.4347,322.7793206398898,290.1457957099413,38.04068122862431,6.0678412634844685
06055200703,0.58,3078,1182.0,low,0.0125,38.3672,551.0767703832339,412.6090153516869,36.69334009277689,1.9989533033589242
06055200705,0.58,2845,783.0,low,0.032,91.0117,339.8565548346924,285.2473353887045,42.73101444430886,11.664694239263204
06055200802,0.58,5887,1322.0,low,0.005,29.5187,661.3212366984781,206.96141599532297,12.17883947703803,1.971833084678032
06055200804,0.58,5535,1036.0,low,0.0189,104.7597,451.3599347897988,403.3382629492683,46.76802397803641,4.205132154959381
06055200201,0.56,3259,1149.0,low,0.028,91.2801,495.1971747764175,426.0880120157881,63.41695195478735,12.204562948637788
06055200501,0.54,5159,1364.0,low,0.0433,223.6272,606.2968877808736,385.24787849583896,91.7733621853335,31.99137798996065
06055200203,0.54,2312,661.0,low,0.0123,28.5223,319.3404730191835,203.16424588360786,17.501116511490324,2.060292774368967
06055200202,0.54,2479,697.0,low,0.0231,57.3709,310.32373932254797,235.1634714188074,32.992115919415546,5.636208286347053
06055201101,0.54,2077,820.0,low,0.0089,18.3932,401.78471427791277,248.526813179766,17.25404700226602,0.918799218034958
06055200704,0.54,4493,1284.0,low,0.014,62.9942,607.1293752665881,422.08679230922746,39.49810722469238,4.4819559322275815
06055200503,0.52,2645,641.0,low,0.0225,59.5245,295.0644596050024,178.42325579263598,27.273972799298324,5.876981828418557
06055200504,0.5,6577,1483.0,low,0.0199,130.6514,715.8667236657261,317.05749789486435,52.37686360722189,13.246817432310607
06055200301,0.5,5602,1433.0,low,0.0175,97.9077,695.4938501106394,306.2180723219501,44.94212337898216,10.90258329211122
06055200707,0.5,3302,841.0,low,0.009,29.6633,416.4689716899132,236.7778184123627,16.716771517339552,1.4463726117991365
06055200706,0.5,3238,982.0,low,0.0074,24.0443,490.42315230689394,274.3445428266933,17.0225861922867,0.8435886559583663
