CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
02013000100,583,0,461,19
02016000100,616,0,442,0
02016000200,541,0,298,37
02020000101,126,98,77,1984
02020000102,292,260,151,1587
02020000201,118,155,10,922
02020000202,103,221,19,1860
02020000204,56,35,32,1420
02020000205,27,93,2,2070
02020000206,12,10,11,1221
02020000500,247,162,20,205
02020000601,368,298,19,289
02020000602,52,243,15,231
02020000701,63,446,661,378
02020000702,55,367,161,674
02020000703,103,331,360,487
02020000801,49,415,187,813
02020000802,55,326,305,228
02020000901,380,246,447,180
02020000902,11,229,8,166
02020001000,179,296,31,192
02020001100,231,35,14,20
02020001200,45,490,27,690
02020001300,31,90,50,1120
02020001401,204,217,19,188
02020001402,66,177,47,132
02020001500,75,230,28,1487
02020001601,41,232,22,1108
02020001602,154,232,33,623
02020001701,20,434,191,1127
02020001702,25,253,18,1479
02020001731,36,297,459,879
02020001732,12,208,30,1520
02020001801,39,218,7,648
02020001802,117,405,383,245
02020001900,421,324,72,108
02020002000,145,281,306,311
02020002100,82,369,87,584
02020002201,21,265,12,919
02020002202,24,253,54,383
02020002301,409,260,41,2236
02020002302,82,273,18,999
02020002304,54,343,28,1132
02020002305,17,153,13,478
02020002400,72,203,25,699
02020002501,364,211,16,1128
02020002502,685,518,33,360
02020002601,474,497,241,496
02020002602,15,118,128,1601
02020002603,4,188,33,1772
02020002711,35,197,18,1928
02020002712,477,401,614,1382
02020002713,151,215,50,1300
02020002714,16,138,39,1246
02020002811,28,336,449,755
02020002812,141,133,67,2830
02020002813,32,29,11,2080
02020002821,41,7,14,1712
02020002822,13,41,25,1847
02020002823,55,37,18,2176
02020002900,169,191,24,657
02020980000,60,0,0,11
02020980100,1021,0,0,0
02020980200,1303,4,0,0
02050000100,1924,0,1878,0
02050000200,670,0,1207,522
02050000300,731,0,257,0
02060000100,1365,0,410,0
02063000200,606,5,536,46
02063000300,1017,124,490,761
02066000100,2709,0,318,0
02068000100,1379,5,275,251
02070000100,844,0,459,0
02070000200,796,4,448,115
02090000100,207,41,38,145
02090000200,244,150,111,391
02090000300,356,135,90,502
02090000400,136,193,124,1018
02090000500,356,131,86,299
02090000600,285,143,176,728
02090000700,327,90,51,649
02090000800,131,195,78,819
02090000900,168,95,205,2101
02090001000,1130,39,150,311
02090001200,188,80,173,2173
02090001300,457,90,78,1610
02090001401,97,43,98,758
02090001402,376,109,342,1319
02090001501,142,84,168,1242
02090001502,77,83,147,1424
02090001600,418,96,147,1188
02090001700,208,15,426,678
02090001901,194,84,381,2046
02090001902,455,29,318,2244
02090980000,1169,0,6,0
02090980100,787,0,11,48
02100000100,466,22,72,1240
02105000400,884,2,465,237
02110000100,466,178,103,997
02110000200,83,205,288,1284
02110000300,292,232,176,802
02110000400,337,172,370,408
02110000500,289,152,36,411
02110000600,155,347,91,730
02122000100,284,0,55,162
02122000200,929,7,276,1697
02122000300,187,3,29,609
02122000400,551,8,454,5169
02122000500,520,45,371,2692
02122000600,508,72,265,1781
02122000701,420,6,305,3237
02122000702,266,11,132,2060
02122000800,657,8,347,3635
02122000900,161,0,60,1485
02122001000,634,42,201,1846
02122001100,239,0,111,2143
02122001200,135,6,42,526
02122001300,445,35,192,1507
02130000101,184,104,145,937
02130000102,96,12,54,159
02130000200,219,251,81,583
02130000300,220,216,33,428
02130000400,89,143,67,603
02150000100,1169,16,179,920
02150000200,250,410,263,1457
02150000300,125,79,50,442
02150000400,70,61,14,158
02150000500,396,0,11,0
02158000100,1487,0,1406,0
02164000100,1789,0,518,0
02170000101,384,10,22,1412
02170000102,388,34,84,1921
02170000200,331,25,101,1340
02170000300,289,159,158,3392
02170000401,165,24,62,909
02170000402,362,14,60,1473
02170000501,151,28,61,1302
02170000502,288,52,88,1836
02170000601,479,221,86,2187
02170000603,183,202,136,2876
02170000604,301,280,132,2199
02170000701,233,118,80,1760
02170000703,252,208,149,1749
02170000705,49,125,17,1349
02170000706,116,79,63,2202
02170000800,433,436,69,1066
02170000900,340,86,73,999
02170001001,313,118,86,1554
02170001003,185,64,164,1403
02170001004,345,118,82,1930
02170001100,454,144,64,2633
02170001201,489,143,95,1853
02170001202,227,73,36,1716
02170001300,476,98,193,3130
02180000100,1317,0,1302,0
02180000200,873,0,263,848
02185000100,215,106,12,434
02185000200,510,55,68,712
02185000300,1526,0,0,0
02188000100,1145,0,252,0
02188000200,212,0,485,201
02195000200,741,12,144,1068
02198000100,1186,7,570,164
02198000200,568,5,522,131
02198000300,45,0,14,0
02198940100,165,0,194,297
02220000100,292,18,187,609
02220000200,395,33,100,1097
02230000100,148,10,230,301
02240000100,1462,0,222,0
02240000400,3225,0,387,10
02275000300,325,13,171,989
02282000100,231,0,127,77
02290000100,547,0,214,0
02290000200,1191,0,382,0
02290000300,898,0,320,0
02290000400,551,0,259,0
