CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
01001020100,99,4,31,740
01001020200,150,14,2,720
01001020300,120,37,5,1258
01001020400,145,5,0,1780
01001020501,202,36,3,1620
01001020502,76,97,0,807
01001020503,95,39,11,864
01001020600,360,8,113,1182
01001020700,699,17,320,798
01001020801,427,0,100,1351
01001020803,462,0,659,1804
01001020804,537,0,80,1895
01001020805,176,36,173,1267
01001020901,388,18,350,1374
01001020902,461,2,562,1481
01001021000,632,9,668,1344
01001021100,674,33,477,1419
01003010100,804,3,609,2674
01003010200,292,2,344,1263
01003010300,639,15,502,3439
01003010400,571,23,572,2629
01003010500,348,69,62,1904
01003010600,320,62,221,1060
01003010704,70,46,4,1642
01003010706,129,1,69,1586
01003010707,167,46,26,1617
01003010708,335,127,84,2907
01003010709,278,3,77,3644
01003010710,251,76,39,1234
01003010711,42,71,2,1087
01003010800,401,47,40,1546
01003010903,272,15,340,1886
01003010904,469,1,975,2984
01003010906,145,28,400,1423
01003010907,150,3,290,1428
01003010908,498,86,268,1659
01003011000,527,23,708,1955
01003011102,224,6,143,1885
01003011103,88,10,36,1282
01003011104,162,46,188,2498
01003011201,250,108,15,1519
01003011202,306,72,129,2144
01003011300,512,54,395,2429
01003011409,266,0,468,1859
01003011410,446,44,798,2378
01003011411,308,22,261,1668
01003011412,253,83,224,796
01003011413,173,83,31,998
01003011414,567,116,117,2152
01003011415,390,80,175,1582
01003011416,148,316,26,1493
01003011417,465,128,323,719
01003011418,397,172,42,806
01003011419,308,403,162,2602
01003011501,483,90,217,2287
01003011503,437,155,143,1997
01003011504,315,42,407,1933
01003011601,1015,40,1285,4163
01003011603,269,0,406,1384
01003011604,262,0,572,1318
01003990000,2,0,0,0
01005950100,764,19,225,1327
01005950200,776,49,243,1048
01005950300,574,6,180,885
01005950400,763,8,176,1078
01005950500,763,0,580,1139
01005950600,271,11,124,550
01005950700,161,67,30,479
01005950800,132,30,19,720
01005950900,356,148,46,1099
01007010001,316,11,327,846
01007010005,468,12,318,1282
01007010006,146,4,256,477
01007010007,564,2,302,1338
01007010008,440,0,286,1230
01007010009,471,26,149,753
01007010010,422,39,182,901
01007010011,305,0,234,858
01009050103,328,2,220,774
01009050104,357,6,102,1103
01009050105,768,101,277,1968
01009050106,301,69,51,1040
01009050107,508,0,320,1219
01009050200,763,20,348,1905
01009050301,706,33,245,1559
01009050302,528,23,288,1294
01009050400,1263,7,561,2820
01009050501,833,12,359,2160
01009050502,638,0,430,1580
01009050601,560,3,516,1836
01009050603,358,1,217,1673
01009050604,597,2,438,2600
01009050701,854,20,662,2392
01009050702,481,1,347,1374
01011952100,482,0,81,781
01011952201,569,27,181,827
01011952202,416,39,119,1079
01011952500,1171,0,121,1817
01013952700,519,56,139,713
01013952800,196,8,0,656
01013952900,367,3,106,811
01013953000,516,0,186,798
01013953100,312,27,188,879
01013953200,913,11,350,1918
01013953300,562,0,266,1174
01013953400,719,26,306,1180
01013953500,470,9,122,905
01015000200,169,75,4,718
01015000300,178,69,4,688
01015000400,260,42,73,757
01015000500,149,31,7,560
01015000600,152,4,11,397
01015000700,517,103,16,691
01015000800,511,23,9,315
01015000900,66,27,6,959
01015001000,329,59,81,1659
01015001101,172,42,69,581
01015001102,276,55,24,260
01015001103,226,3,69,1251
01015001201,234,50,40,945
01015001202,213,14,188,1290
01015001300,209,3,65,589
01015001400,274,4,217,961
01015001501,222,3,147,1155
01015001502,211,1,154,720
01015001600,265,5,88,1118
01015001700,241,33,128,2031
01015001801,190,8,141,810
01015001802,267,2,139,1899
01015002001,371,5,241,1123
01015002002,268,10,212,1889
01015002101,294,89,62,319
01015002102,76,42,12,1225
01015002104,219,77,63,1168
01015002105,128,170,92,562
