CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
05001480100,209,3,181,1026
05001480200,314,5,238,1401
05001480300,289,28,74,1163
05001480400,304,33,77,766
05001480500,434,49,42,1423
05001480600,193,15,84,754
05001480700,388,11,246,1069
05001480800,335,6,187,1051
05003960100,523,2,211,746
05003960200,399,0,482,1069
05003960300,552,38,397,1328
05003960400,441,4,189,678
05003960500,264,17,219,711
05003960600,632,59,73,1999
05003960700,329,0,232,708
05005950100,298,150,100,1604
05005950200,293,59,57,1836
05005950300,366,191,99,1686
05005950400,286,57,77,1217
05005950500,490,13,796,3286
05005950600,442,7,613,2641
05005950700,455,11,464,2445
05005950801,322,67,476,2340
05005950802,123,4,227,813
05005950900,511,44,292,2771
05007020102,226,44,240,2565
05007020103,166,24,160,1913
05007020104,106,2,234,729
05007020201,423,139,33,1167
05007020203,108,107,36,970
05007020205,86,86,51,1588
05007020206,274,305,21,1444
05007020301,204,198,3,634
05007020302,106,219,10,653
05007020304,85,109,16,961
05007020305,68,71,8,1213
05007020401,194,272,78,1793
05007020402,127,172,9,1260
05007020404,103,211,38,1091
05007020405,277,91,6,1005
05007020501,324,87,16,1596
05007020503,310,151,21,564
05007020504,166,117,2,766
05007020604,320,101,9,1259
05007020605,146,214,7,1108
05007020606,101,21,1,1540
05007020607,173,115,3,1515
05007020608,25,210,0,556
05007020701,126,0,82,1830
05007020703,90,0,10,1851
05007020704,114,4,51,1673
05007020801,123,0,1,2029
05007020803,69,0,13,1423
05007020805,122,0,11,1652
05007020806,214,22,62,2337
05007020903,14,262,2,1181
05007020904,79,9,11,1774
05007020905,204,11,127,1365
05007020906,168,33,112,1873
05007021001,309,39,559,3163
05007021003,187,89,193,1433
05007021004,210,83,97,1572
05007021101,256,158,30,1343
05007021102,257,59,34,1109
05007021201,109,108,5,1140
05007021202,169,93,59,927
05007021304,202,189,7,2362
05007021305,303,106,223,2632
05007021306,140,84,4,1388
05007021308,33,4,16,2053
05007021312,224,27,258,2149
05007021313,154,95,220,1305
05007021314,79,17,13,1171
05007021315,359,95,70,1695
05007021316,107,6,54,2287
05007021317,121,0,74,1285
05007021404,289,6,382,1441
05007021405,653,5,163,1484
05007021406,275,51,35,1771
05007021407,423,27,154,1876
05007021408,214,125,123,1916
05007021409,519,11,139,1596
05009790100,747,5,603,3945
05009790200,672,13,672,3603
05009790300,525,29,298,3400
05009790400,735,11,534,3443
05009790501,457,55,189,1213
05009790502,585,55,223,1060
05009790600,301,76,241,1415
05011950100,377,20,87,1029
05011950200,234,18,128,906
05011950300,291,8,144,889
05011950400,205,3,68,606
05011950500,654,0,318,1392
05013480100,556,8,356,1106
05013480200,1434,2,351,1144
05015950100,335,79,157,930
05015950201,687,64,298,2254
05015950202,247,56,270,1158
05015950301,557,56,141,1238
05015950302,200,56,115,1359
05015950400,798,8,918,2825
05015950501,486,0,467,1683
05015950502,585,58,556,1940
05017080100,680,5,452,1696
05017080200,335,24,140,771
05017080300,435,45,179,624
05017080400,353,16,158,660
05019953601,330,136,48,823
05019953602,563,30,179,936
05019953700,1334,2,538,2068
05019953800,487,66,141,1218
05019953901,657,2,240,928
05019953902,808,21,300,1209
05021950100,200,2,171,1614
05021950200,284,0,286,1872
05021950300,422,14,182,1538
05021950400,354,55,56,1446
05021950500,189,51,60,1029
05021950600,347,61,72,1782
05023480100,699,9,802,1771
05023480201,385,6,220,938
05023480203,507,6,520,1366
05023480204,235,0,153,576
05023480301,294,8,144,530
05023480302,244,66,27,1040
05023480400,584,81,210,1545
05023480501,283,12,496,1276
05023480502,685,17,574,1960
05025970100,1672,2,543,904
05025970200,1322,0,486,1343
05027950100,1424,1,664,1334
05027950200,1325,9,844,1157
05027950301,900,0,159,375
05027950302,1358,0,596,925
05027950401,161,4,145,1052
05027950402,381,6,432,450
05027950500,666,20,776,431
05029950100,1003,4,956,2660
05029950200,633,3,507,2029
05029950300,730,95,110,1928
05029950400,206,52,35,780
05029950500,525,7,247,1239
05029950600,319,24,181,955
05031000101,346,101,13,903
05031000102,392,21,9,993
05031000200,202,70,8,1108
05031000300,218,23,2,2491
05031000401,668,63,161,2034
05031000403,591,34,7,907
05031000404,350,33,9,746
05031000501,280,10,64,3000
05031000502,899,83,137,1506
05031000601,314,52,160,1547
