CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
04001942600,531,0,23,164
04001942700,1262,0,38,684
04001944000,1259,45,465,568
04001944100,1566,7,43,801
04001944201,820,9,229,242
04001944202,1343,3,135,204
04001944301,1263,6,117,527
04001944302,843,0,25,353
04001944901,1073,8,84,474
04001944902,1425,3,102,926
04001945001,1058,40,291,445
04001945002,1470,5,28,519
04001945100,811,22,114,153
04001970201,574,16,687,797
04001970202,834,64,833,1086
04001970300,673,27,587,867
04001970501,356,43,575,1666
04001970502,1140,77,952,2964
04003000101,548,37,283,362
04003000102,387,64,334,371
04003000201,433,69,1152,1123
04003000202,445,106,449,1051
04003000203,760,141,752,1395
04003000301,362,82,770,1152
04003000303,555,66,1351,921
04003000304,300,52,652,792
04003000305,273,63,736,900
04003000400,383,126,566,954
04003000501,903,236,624,825
04003000502,231,113,417,384
04003000503,89,4,107,21
04003000600,487,100,614,858
04003000700,61,66,403,1186
04003000800,202,176,415,1503
04003000901,170,176,5,1130
04003000902,222,121,106,939
04003001000,227,29,77,691
04003001100,383,89,186,1818
04003001200,272,67,471,1190
04003001301,101,33,859,727
04003001302,214,51,550,947
04003001401,1239,0,0,0
04003001402,475,0,0,0
04003001501,131,69,449,726
04003001502,191,116,251,1027
04003001601,94,91,9,1459
04003001602,152,35,194,707
04003001701,57,145,256,1037
04003001702,194,61,284,1074
04003001703,161,142,241,1480
04003001801,89,6,11,2433
04003001802,64,15,60,1520
04003001900,67,2,96,3323
04003002001,164,14,1704,1247
04003002002,66,39,1976,1131
04003002100,415,36,1203,1969
04005000100,18,41,2,1376
04005000200,144,163,58,907
04005000301,123,148,24,586
04005000302,155,188,33,321
04005000400,182,134,37,1302
04005000500,279,112,639,419
04005000601,29,130,1,986
04005000602,50,190,100,703
04005000700,59,193,26,771
04005000800,526,355,49,286
04005000901,43,92,63,1194
04005000902,63,207,127,623
04005001000,219,31,4,0
04005001101,49,150,34,1022
04005001103,117,160,569,99
04005001104,120,146,51,293
04005001201,260,176,15,711
04005001301,137,9,347,2774
04005001302,263,10,963,2392
04005001500,888,41,849,3625
04005001601,108,24,45,1174
04005001602,128,42,76,538
04005001700,358,79,291,1266
04005002000,530,21,417,595
04005002101,242,44,873,534
04005002102,332,46,471,627
04005002201,697,53,463,1581
04005002202,37,15,287,1156
04005002301,773,26,1029,379
04005002302,282,35,1205,1557
04005942201,1511,0,0,1
04005942202,1481,0,0,0
04005944900,1109,0,91,173
04005945000,1633,0,12,0
04005945100,1784,0,30,26
04005945200,1277,0,97,0
04005980000,141,2,2,1
04005980100,177,0,1,0
04005980200,2,0,0,0
04007000100,255,13,365,1852
04007000200,636,6,460,1322
04007000301,336,71,616,1809
04007000302,194,31,343,1190
04007000400,234,56,750,2013
04007000500,334,74,877,1839
04007000600,473,3,513,738
04007000700,372,3,1047,548
04007000800,664,6,676,253
04007000900,253,44,250,933
04007001000,463,32,1143,1194
04007001100,342,101,167,1529
04007001200,310,85,585,1421
04007001300,430,5,162,349
04007940200,367,0,135,262
04007940400,1406,2,316,302
04009940500,828,0,226,452
04009961100,615,87,837,1369
04009961201,331,78,160,948
04009961202,178,12,428,1138
04009961300,327,113,186,1045
04009961400,84,64,83,1603
04009961500,458,62,1234,1130
04009961600,656,28,181,385
04009961700,503,27,759,918
04011960100,553,33,382,799
04011960200,622,460,159,805
04011960300,552,40,673,902
04012020101,375,21,595,285
04012020102,378,9,732,317
04012020201,203,9,679,431
04012020202,216,19,469,234
04012020501,684,16,866,363
04012020503,264,25,609,280
04012020504,503,0,441,166
04012020505,477,1,788,245
04012020602,304,6,676,197
04012940200,396,71,96,855
04012940300,1751,1,528,44
04012980000,41,0,0,0
04013010102,454,61,170,4310
04013010103,89,58,305,2269
04013010104,37,18,6,1666
04013030401,182,151,89,2988
04013030402,337,168,102,2714
04013040502,495,169,210,1988
04013040506,66,418,4,2475
04013040507,233,74,38,2869
04013040512,2,2,0,1110
04013040513,28,95,0,1906
04013040514,23,117,4,1648
04013040515,687,127,1069,2255
04013040516,83,15,169,2944
04013040522,11,28,2,2622
04013040523,21,7,0,2155
04013040524,1,0,0,1020
04013040525,9,6,0,2026
04013040526,11,15,105,1446
04013040527,48,20,1060,946
04013040528,37,23,0,4271
04013040529,103,4,1,1987
04013040530,37,6,9,1315
04013040531,155,71,41,1073
