CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
08001007801,79,137,3,277
08001007802,49,102,3,358
08001007900,86,180,5,1256
08001008000,39,68,1,2184
08001008100,191,2,102,17
08001008200,174,1,13,1704
08001008308,207,122,798,659
08001008309,359,20,768,296
08001008354,529,16,31,988
08001008355,44,5,13,1567
08001008401,437,3,591,2545
08001008402,462,5,428,3117
08001008505,78,4,7,2945
08001008506,106,145,7,328
08001008507,29,0,0,2684
08001008508,61,44,2,1564
08001008524,65,1,1,2836
08001008526,107,148,45,1886
08001008533,123,86,28,1307
08001008534,21,0,0,1488
08001008535,476,31,41,1186
08001008536,110,163,0,1335
08001008538,89,35,3,3165
08001008540,124,8,24,3168
08001008544,21,0,0,1807
08001008545,20,7,1,2114
08001008546,16,0,1,959
08001008547,10,42,0,898
08001008548,2,35,0,265
08001008549,8,0,1,1313
08001008550,71,16,1,2651
08001008551,44,1,20,630
08001008552,346,76,45,1545
08001008553,362,13,203,3206
08001008554,29,44,4,697
08001008555,385,179,20,565
08001008556,22,1,10,1744
08001008557,167,7,0,571
08001008558,101,5,0,1246
08001008559,53,114,29,1987
08001008560,49,3,4,1131
08001008561,125,2,27,2450
08001008562,104,29,2,1663
08001008563,85,10,0,1428
08001008564,12,7,9,416
08001008565,56,470,5,1681
08001008603,143,54,17,636
08001008604,89,83,14,1131
08001008605,73,42,2,1190
08001008606,237,106,25,1692
08001008705,143,81,196,1568
08001008706,103,150,111,1491
08001008709,590,235,60,1752
08001008801,211,73,107,1656
08001008802,580,76,460,943
08001008901,734,27,15,925
08001009001,72,32,24,1214
08001009003,36,8,9,1297
08001009004,49,49,3,751
08001009101,42,0,0,1605
08001009103,36,1,905,362
08001009104,21,45,298,1260
08001009202,45,7,0,1482
08001009203,196,52,2,98
08001009204,68,40,3,1403
08001009206,34,61,0,446
08001009207,22,26,0,1030
08001009304,93,108,4,1398
08001009306,49,13,49,1359
08001009307,54,32,3,970
08001009308,51,0,1,1240
08001009309,52,43,14,736
08001009310,11,24,0,1546
08001009316,63,8,2287,316
08001009318,104,243,426,215
08001009319,45,29,532,275
08001009320,174,61,336,83
08001009321,26,77,718,366
08001009322,40,14,810,430
08001009323,137,78,0,648
08001009325,69,176,3,925
08001009326,21,80,15,696
08001009327,32,16,1,1290
08001009401,39,37,5,1819
08001009406,28,77,5,1301
08001009407,55,155,10,1405
08001009408,72,65,2,1258
08001009409,48,76,14,1620
08001009410,21,0,6,1247
08001009411,32,11,0,725
08001009501,50,26,1,993
08001009502,254,36,279,1655
08001009553,427,38,8,1118
08001009603,133,52,12,1398
08001009604,113,152,26,1262
08001009606,139,150,16,707
08001009607,91,88,4,1003
