CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
09001010101,170,9,5,1893
09001010102,101,7,1,2185
09001010201,114,3,7,1272
09001010202,54,206,40,1522
09001010300,210,107,16,1312
09001010400,102,507,44,975
09001010500,251,645,63,259
09001010600,216,78,7,99
09001010700,69,219,26,479
09001010800,150,85,11,776
09001010900,86,55,8,1272
09001011000,123,21,2,1636
09001011100,45,4,1,1535
09001011200,131,62,25,646
09001011300,137,230,14,438
09001020101,43,31,2,7
09001020102,38,16,1,4
09001020200,96,12,51,1320
09001020301,26,7,2,1341
09001020302,30,1,19,1106
09001020400,48,3,6,1185
09001020500,68,7,32,1627
09001020600,58,15,14,1438
09001020700,107,13,35,1297
09001020800,29,3,6,847
09001020900,168,150,75,567
09001021000,109,81,47,822
09001021100,217,388,90,649
09001021200,118,15,18,1000
09001021300,108,196,52,666
09001021401,87,231,22,67
09001021402,116,218,65,84
09001021501,100,195,19,33
09001021502,53,180,9,39
09001021601,131,83,2,22
09001021602,27,22,1,0
09001021701,29,93,1,25
09001021702,58,65,6,41
09001021801,101,185,29,414
09001021802,156,127,33,442
09001021900,90,377,90,851
09001022000,44,117,96,179
09001022101,56,247,14,88
09001022102,176,288,45,121
09001022201,107,51,0,2
09001022202,124,101,11,33
09001022300,339,323,68,489
09001022400,19,39,8,871
09001030100,133,8,5,1345
09001030200,156,7,18,896
09001030300,96,9,20,1568
09001030400,123,53,25,968
09001030500,79,40,27,1565
09001035101,166,186,76,422
09001035102,178,95,46,1123
09001035200,43,5,2,1466
09001035300,82,9,1,1432
09001035400,48,10,4,2005
09001042500,33,97,6,1132
09001042600,88,95,0,1024
09001042700,164,131,38,707
09001042800,41,135,8,1159
09001042900,13,22,9,576
09001043000,58,136,3,847
09001043100,99,58,16,1167
09001043200,94,132,11,415
09001043300,18,138,1,695
09001043400,168,437,2,274
09001043500,66,57,4,700
09001043600,96,54,3,815
09001043700,235,146,2,11
09001043800,70,509,4,769
09001043900,56,237,34,1157
09001044000,80,548,1,291
09001044100,222,164,0,14
09001044200,222,432,5,386
09001044300,102,252,4,1001
09001044400,80,219,8,500
09001044500,145,281,1,142
09001044600,91,65,6,1258
09001045101,19,12,0,1526
09001045102,212,59,2,2016
09001045200,180,92,3,551
09001045300,21,33,0,787
09001045400,101,126,7,842
09001050100,87,87,0,1386
09001050200,114,96,2,1301
09001050301,108,83,17,1339
09001050302,62,56,0,1587
09001050400,219,118,9,768
09001050500,195,84,0,1727
09001050600,140,153,5,1286
09001055100,99,3,1,2113
09001055200,40,1,2,1704
09001060100,59,101,4,870
09001060200,38,86,3,1434
09001060300,40,145,0,1264
09001060400,59,65,2,1967
09001060500,30,20,5,1100
09001060600,148,126,9,647
09001060700,154,48,4,1616
09001060800,13,41,4,719
09001060900,10,16,0,947
09001061000,112,238,21,949
09001061100,38,79,2,1251
09001061200,28,140,2,584
09001061300,89,214,9,745
09001061400,168,258,14,415
09001061500,204,210,2,1427
09001061600,224,216,17,1660
09001070100,109,558,4,721
09001070200,95,383,1,253
09001070300,183,5,0,2
09001070400,106,88,0,7
09001070500,82,157,0,24
09001070600,274,56,3,38
09001070900,77,240,1,91
09001071000,133,377,0,96
09001071100,118,418,1,206
09001071200,100,399,0,100
09001071300,47,287,0,66
09001071400,168,384,0,47
09001071600,40,131,2,7
09001071900,103,453,6,97
09001072000,68,273,1,393
09001072100,76,403,1,882
09001072200,43,280,2,592
09001072300,48,461,0,647
09001072400,36,134,0,551
09001072500,45,190,0,1424
09001072600,91,146,1,1424
09001072700,56,84,1,1135
09001072800,90,112,0,930
09001072900,67,157,4,1161
09001073000,53,111,3,410
09001073100,46,242,0,779
09001073200,44,296,0,95
09001073300,55,227,0,361
09001073400,115,441,1,328
09001073500,74,379,3,98
09001073600,56,219,1,58
09001073700,125,412,1,307
09001073800,83,188,1,72
09001073900,118,325,0,72
09001074000,130,141,2,31
09001074300,272,479,0,124
09001074400,299,462,7,249
09001080100,87,324,28,918
09001080200,135,389,2,816
09001080400,433,266,5,1171
09001080500,187,114,1,1316
09001080600,126,84,8,598
09001080700,163,105,10,479
09001080800,121,64,0,1740
09001080900,81,113,1,1677
09001081000,25,35,2,1506
09001081100,39,35,2,1780
09001081200,58,99,1,1906
09001081300,81,645,3,794
09001090100,83,55,2,1029
09001090200,102,214,8,2494
09001090300,39,44,3,1728
09001090400,147,113,13,1953
09001090500,118,85,9,1677
09001090600,115,39,6,1147
09001090700,56,92,0,1844
09001100100,303,407,35,1305
09001100200,92,213,23,2243
09001100300,140,148,11,1940
09001105100,173,0,248,1330
09001105200,233,0,408,889
09001110100,132,258,3,142
09001110201,102,156,52,1456
09001110202,291,89,116,1308
09001110301,474,297,137,1028
09001110302,211,19,105,775
09001110400,21,5,0,1971
09001110500,53,1,8,2223
09001110601,51,7,13,1045
09001110602,92,150,15,1510
09001200100,256,283,16,724
09001200200,280,270,29,769
09001200301,126,41,8,1582
09001200302,68,63,7,1713
09001205100,245,76,0,1474
09001205200,73,154,3,2476
09001205300,385,234,16,1301
09001210101,123,134,1,20
09001210102,133,186,1,28
09001210201,134,410,2,160
09001210202,139,316,11,72
09001210300,187,382,6,707
09001210401,246,212,5,370
09001210402,332,234,5,507
09001210501,127,64,1,926
09001210502,352,121,214,731
09001210600,108,501,12,565
09001210701,95,506,21,317
09001210702,43,323,10,509
09001210800,183,230,4,1250
09001210900,39,70,5,1898
09001211000,100,101,5,1113
09001211100,38,0,9,35
09001211201,61,139,2,594
09001211202,47,88,7,622
09001211300,52,20,6,1371
09001211400,126,294,98,926
09001220100,66,24,99,1710
09001220200,72,33,37,1734
09001220300,126,20,116,1592
09001230100,236,110,12,2203
09001230200,115,21,9,726
09001230300,96,11,15,1227
09001230400,82,45,14,2089
09001230501,21,22,4,1322
09001230502,250,40,14,1263
09001240100,163,108,2,1591
09001240200,106,67,1,1706
09001245100,17,5,0,984
09001245200,71,70,2,1287
09001245300,321,73,14,1143
09001245400,40,12,0,1254
09001245500,74,61,2,1014
09001245600,61,34,6,2189
09001257100,93,6,6,1911
09001257200,296,451,1,151
09003330100,144,0,329,532
09003400101,325,173,34,785
09003400102,297,204,5,1473
09003400200,228,239,94,1979
09003400300,128,152,9,2634
09003405100,84,238,3,595
09003405200,208,159,22,1087
09003405300,50,108,27,1540
09003405401,94,112,2,990
09003405402,245,202,28,481
09003405500,134,220,13,1185
09003405600,132,501,32,1630
09003405700,105,238,1,306
09003405801,55,262,2,691
09003405802,135,74,10,1421
09003405900,33,61,6,1657
09003406001,127,184,8,768
09003406002,35,76,6,1339
09003406100,225,369,14,140
09003410101,171,0,653,1187
09003410102,190,0,683,684
09003415300,57,342,8,70
09003415400,142,611,7,828
09003415500,71,318,25,259
09003415600,85,402,28,267
09003415700,57,419,21,402
09003415800,103,242,25,207
09003415900,90,160,4,34
09003416000,51,577,14,185
09003416100,85,532,28,202
09003416200,41,271,8,75
09003416300,86,365,16,476
09003416400,58,105,9,1100
09003416500,104,197,4,1107
09003416600,91,342,11,163
09003416700,106,363,26,1384
09003416800,16,211,3,825
09003417100,158,109,4,20
09003417200,30,43,0,301
09003417300,75,0,0,0
