CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
10001040100,162,1,1010,3346
10001040201,250,4,147,1514
10001040203,210,1,303,1515
10001040204,140,0,30,1977
10001040205,289,0,108,732
10001040206,39,27,31,2544
10001040501,265,9,317,1482
10001040502,282,20,107,952
10001040700,103,24,5,1278
10001040900,168,15,4,497
10001041000,412,6,506,1479
10001041101,405,0,0,1
10001041200,353,9,252,1163
10001041300,332,2,2,603
10001041400,365,41,12,821
10001041500,119,16,17,1303
10001041600,83,0,27,913
10001041701,331,8,232,2184
10001041702,83,0,83,1675
10001041802,129,6,93,2206
10001041803,605,0,564,1147
10001041804,100,81,177,2236
10001041900,251,0,714,2787
10001042000,104,0,626,1587
10001042100,258,0,293,1859
10001042203,445,0,29,1507
10001042204,28,0,191,1438
10001042205,92,8,272,755
10001042206,27,0,56,1074
10001042207,128,0,31,911
10001042208,280,0,365,823
10001042500,265,25,49,761
10001042801,65,0,358,1206
10001042802,350,1,322,2174
10001042900,160,0,550,2089
10001043000,481,4,398,1723
10001043100,175,0,381,1694
10001043202,319,1,599,1739
10001043300,417,18,16,1013
10001043400,354,34,185,2189
10001980000,294,0,0,0
10003000200,58,52,1,947
10003000300,28,42,3,486
10003000400,52,93,9,447
10003000500,52,71,16,335
10003000601,54,12,8,196
10003000602,87,14,2,197
10003000900,79,14,4,76
10003001100,40,73,13,120
10003001200,73,24,6,174
10003001300,66,32,0,945
10003001400,80,28,5,230
10003001500,30,59,11,164
10003001600,54,46,6,82
10003001902,374,4,1,116
10003002100,38,25,10,55
10003002200,40,11,2,121
10003002300,81,41,1,174
10003002400,148,44,8,418
10003002500,51,37,2,415
10003002600,66,15,8,201
10003002700,118,12,3,201
10003002800,150,24,2,89
10003002900,107,55,13,83
10003003002,203,0,2,82
10003010104,242,50,1,602
10003010105,119,47,11,285
10003010106,12,24,0,25
10003010200,3,0,0,767
10003010300,78,12,1,841
10003010400,43,34,7,1614
10003010502,112,124,12,1723
10003010703,23,22,0,468
10003010704,256,28,1,513
10003010800,85,12,4,1518
10003010900,13,3,2,1159
10003011000,89,3,0,1319
10003011100,23,8,5,1165
10003011201,54,20,1,620
10003011202,302,1,0,1267
10003011203,9,61,0,1016
10003011204,28,39,1,1145
10003011205,9,9,0,718
10003011206,26,0,1,1449
10003011300,39,6,1,772
10003011400,49,0,3,1310
10003011500,67,11,0,1179
10003011600,40,29,1,1275
10003011700,224,1,9,1572
10003011800,132,140,5,1950
10003011900,95,14,0,1477
10003012000,185,29,1,1560
10003012100,27,72,11,994
10003012200,95,79,2,1437
10003012300,64,41,1,623
10003012400,142,48,7,1047
10003012500,57,95,13,1669
10003012600,57,5,0,1165
10003012700,209,26,1,1540
10003012900,337,94,11,871
10003013000,21,8,3,769
10003013100,68,28,1,875
10003013200,40,10,0,915
10003013300,28,1,0,781
10003013400,29,6,0,963
10003013501,66,23,2,2387
10003013505,16,1,0,1080
10003013506,9,1,0,1696
10003013507,28,0,1,620
10003013508,126,4,2,2004
10003013604,70,13,0,1380
10003013607,31,51,2,737
10003013608,11,14,0,539
10003013610,73,30,11,1621
10003013611,7,72,0,1261
10003013612,21,5,2,1641
10003013613,48,15,0,1598
10003013614,196,32,10,611
10003013615,710,0,1,709
10003013700,75,36,2,821
10003013800,293,54,4,1331
10003013901,45,31,0,830
10003013903,6,0,1,1212
10003013905,13,53,0,416
10003013906,59,61,1,943
10003014000,98,67,2,1037
10003014100,32,27,0,1169
10003014200,99,1,0,666
10003014301,4,0,0,499
10003014302,66,15,2,776
10003014402,128,38,1,759
10003014403,67,47,4,675
10003014404,79,45,0,991
10003014501,86,62,2,126
10003014502,279,71,14,295
10003014702,107,7,1,628
10003014703,42,30,2,1089
10003014705,112,45,2,1523
10003014706,146,27,0,552
10003014803,312,26,6,825
10003014808,280,23,72,1123
10003014809,112,31,4,2110
10003014810,42,31,1,1991
10003014811,19,2,0,1926
10003014812,68,1,0,1517
10003014813,33,19,0,1131
10003014814,99,1,7,1093
10003014903,327,0,92,851
10003014904,50,47,0,1079
10003014906,27,97,1,737
10003014907,13,9,0,723
10003014908,7,59,0,51
10003014909,120,72,3,921
10003015000,347,38,5,1687
10003015100,80,11,0,1319
10003015200,233,34,13,1731
10003015400,163,1,28,810
10003015502,208,16,6,751
10003015600,42,5,62,861
10003015802,100,5,4,809
10003015900,34,0,0,1373
10003016000,73,14,0,790
10003016100,80,23,0,639
10003016200,126,31,10,613
10003016301,810,82,3,1213
10003016306,159,32,3,978
10003016307,18,0,0,1004
10003016308,60,31,0,900
10003016309,192,38,0,1005
10003016401,467,6,0,2143
10003016404,677,15,6,1034
10003016608,66,3,0,2767
10003016609,60,4,1,2402
10003016610,313,54,4,1591
10003016611,97,1,0,2277
10003016612,44,2,5,2285
10003016613,448,51,5,997
10003016614,98,17,5,1646
10003016805,30,0,22,1194
10003016806,100,13,27,2246
10003016807,0,0,0,719
10003016808,94,4,10,2427
10003016901,82,10,32,1662
10003016904,119,12,69,1196
10003980100,125,0,0,0
10003990100,1,0,0,1
10005050101,182,0,174,1717
10005050103,198,64,105,2519
10005050104,287,32,26,1711
10005050105,209,0,423,1940
10005050200,205,0,355,1447
10005050302,370,0,567,1974
10005050303,282,0,217,1526
10005050304,382,6,226,2103
10005050401,269,6,155,1927
10005050403,254,14,70,1190
10005050405,161,35,15,1547
10005050406,422,99,91,1361
10005050407,221,10,316,1619
10005050408,342,0,659,1374
10005050501,320,2,367,1605
10005050503,286,26,162,999
10005050505,109,89,31,378
10005050506,312,9,130,1390
10005050601,372,2,415,2155
10005050603,161,58,11,902
10005050604,422,197,214,987
10005050701,254,11,557,1886
10005050703,106,53,346,885
10005050706,1102,23,450,39
10005050707,695,33,135,449
10005050708,59,230,538,616
10005050709,128,24,170,871
10005050710,403,167,402,99
10005050711,1086,1,16,15
10005050801,250,31,165,1626
10005050804,175,7,171,2147
10005050805,296,11,25,1449
10005050806,197,27,155,1897
10005050807,146,84,85,684
10005050808,79,278,439,1193
10005050903,163,16,117,1249
10005050904,235,91,16,1154
10005050905,261,94,118,2127
