CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
12001000201,146,104,15,322
12001000202,66,101,19,149
12001000301,330,166,8,452
12001000302,265,108,15,650
12001000400,395,25,1,1408
12001000500,310,205,10,1120
12001000600,280,48,9,893
12001000700,350,60,47,1852
12001000806,106,69,6,25
12001000808,188,50,3,219
12001000809,109,60,12,16
12001000901,250,0,0,0
12001000902,257,0,0,0
12001001000,153,132,10,1436
12001001100,213,34,9,2091
12001001201,45,55,6,830
12001001202,96,83,9,1848
12001001203,200,56,5,622
12001001400,152,2,90,748
12001001514,172,28,0,0
12001001515,75,420,4,10
12001001516,45,110,1,2
12001001517,116,219,5,92
12001001519,145,54,7,7
12001001522,335,286,20,27
12001001605,392,215,8,811
12001001701,242,171,11,1294
12001001702,155,19,6,1815
12001001802,570,6,224,813
12001001803,93,72,40,1801
12001001811,210,102,7,1156
12001001813,83,69,3,905
12001001815,138,6,338,923
12001001816,401,29,545,2277
12001001817,296,18,21,1704
12001001818,323,5,543,2131
12001001819,234,37,374,1382
12001001902,638,86,150,112
12001001907,309,2,517,979
12001001908,462,4,832,1355
12001002001,142,2,417,609
12001002002,854,15,759,1841
12001002101,216,9,188,884
12001002102,75,0,53,352
12001002201,199,7,490,1816
12001002202,260,15,592,2250
12001002204,286,95,28,3216
12001002207,70,0,0,1315
12001002208,25,0,1,1114
12001002209,191,8,641,3089
12001002210,274,9,589,1615
12001002217,228,233,8,13
12001002218,16,105,59,158
12001002219,374,148,169,341
12001002220,414,20,44,541
12001002221,79,25,1,1498
12001002222,88,52,23,1965
12001110800,86,68,55,447
12003040101,295,63,363,2096
12003040102,431,55,708,2066
12003040201,476,1,1149,1532
12003040202,284,12,802,1618
12005000201,767,31,1449,1845
12005000203,442,49,411,820
12005000204,369,12,585,1394
12005000301,451,6,1254,542
12005000302,995,34,1915,2086
12005000401,233,26,838,428
12005000402,834,62,1011,2761
12005000500,1056,43,597,3034
12005000600,640,9,137,815
12005000700,1390,0,0,0
12005000803,568,321,483,1246
12005000804,65,13,87,971
12005000805,164,106,61,1730
12005000806,92,176,68,1750
12005000900,343,196,95,1578
12005001000,421,99,132,660
12005001100,328,370,195,1317
12005001200,519,219,306,635
12005001301,543,172,132,2159
12005001302,911,243,503,2132
12005001402,366,32,11,3440
12005001403,171,32,2,730
12005001404,210,142,14,2035
12005001501,232,54,38,1363
12005001502,428,89,21,1675
12005001600,603,81,34,763
12005001700,283,126,25,915
12005001800,268,70,9,565
12005001900,157,60,4,1951
12005002000,684,98,8,419
12005002200,421,188,14,1015
12005002300,198,161,1,1368
12005002400,337,180,31,1083
12005002500,153,49,58,1136
12005002604,359,170,716,2029
12005002605,171,79,10,454
12005002606,110,149,5,644
12005002607,201,86,70,429
12005002608,222,3,23,1438
12005002609,856,117,231,822
12005002703,362,33,19,1198
12005002706,175,50,364,532
12005002707,268,56,251,1912
12005002708,147,30,212,503
12005002709,399,82,72,806
12005002710,442,59,87,855
12005002711,288,45,66,1508
12005002712,110,69,22,302
12005002713,313,24,28,128
12005990000,1,0,0,0
12007000100,447,50,512,1655
12007000201,313,21,532,979
12007000202,312,23,418,1333
12007000301,382,19,497,2088
12007000302,367,0,626,1279
12007000400,299,6,775,1584
12009060103,300,2,295,1230
12009060104,161,2,350,349
12009060105,188,27,629,924
12009060106,207,2,91,863
12009060201,75,14,28,1035
12009060202,24,0,6,1412
12009060301,32,15,10,904
12009060302,100,1,200,1258
12009060400,506,133,80,1269
12009060500,394,54,7,1852
12009060600,55,68,24,1695
12009060700,252,189,9,544
12009061001,60,131,24,1522
12009061002,81,28,4,1380
12009061100,178,86,14,2142
12009061201,340,53,138,2312
12009061202,610,25,21,1377
12009062106,198,49,123,1144
12009062108,64,0,15,2730
12009062109,148,3,587,1141
12009062110,5,0,1,1455
12009062111,5,0,3,1451
12009062112,169,2,183,491
12009062113,239,12,353,2740
12009062114,209,19,770,226
12009062115,27,0,5,1199
12009062301,134,91,142,1084
12009062302,117,108,15,737
12009062401,138,41,62,662
12009062402,540,239,83,1187
12009062500,948,157,548,1213
12009062600,415,201,13,758
12009062800,431,113,16,1512
12009062900,153,148,32,1767
12009063000,30,19,11,1621
12009063102,282,245,31,2437
12009063104,565,34,117,1072
12009063105,309,164,127,2858
12009063106,61,0,8,1510
12009063108,41,30,16,2386
12009063109,174,141,4,1335
12009064102,86,10,4,1952
12009064123,166,69,4,1475
12009064124,111,64,0,1820
12009064126,91,0,8,1679
12009064127,684,102,325,2651
12009064128,154,76,18,3958
12009064129,223,0,125,867
12009064130,472,10,19,1168
12009064201,247,84,12,965
12009064202,436,178,98,566
12009064301,389,230,225,1199
12009064302,195,153,12,1885
12009064400,81,0,2,2253
12009064500,72,58,2,1613
12009064601,492,114,291,2239
12009064602,996,41,209,149
12009064701,264,87,10,851
12009064702,1185,24,12,60
12009064800,374,97,18,700
12009064901,235,170,34,2124
12009064902,313,107,7,923
12009065001,170,1,58,1630
12009065022,348,18,419,1807
12009065023,951,37,61,259
12009065024,61,0,22,2363
12009065025,75,51,7,465
12009065123,519,126,760,1035
12009065124,456,38,2,466
12009065126,103,99,2,786
12009065127,93,59,6,1020
12009065128,83,189,2,95
12009065129,159,18,11,1561
12009065130,20,143,3,761
12009065131,77,51,6,942
12009065201,137,61,218,2039
12009065202,176,28,46,2097
12009065231,570,38,96,3487
12009065236,98,4,18,1233
12009065237,36,0,2265,3
12009065238,72,4,20,245
12009065239,516,37,1126,827
12009065240,68,0,1823,50
12009066101,369,87,312,1527
12009066103,39,636,6,530
12009066104,269,298,56,2171
12009066200,122,100,5,1054
12009066301,126,256,61,1884
12009066302,67,132,17,1456
12009066400,167,97,30,1342
12009066500,149,119,9,896
12009066600,67,62,5,1597
12009066700,199,161,9,1569
12009066800,75,22,1,414
12009066900,91,64,4,2345
12009067100,584,0,0,0
12009068101,137,323,12,675
12009068102,125,87,8,714
12009068400,92,113,13,577
12009068501,247,208,12,197
12009068502,57,451,2,211
12009068601,290,155,81,77
12009068603,65,58,0,107
12009068604,268,148,3,235
12009069100,72,0,9,2064
12009069200,139,46,26,902
12009069300,59,27,73,1474
12009069400,189,2,25,2776
12009069700,72,61,40,779
12009069801,114,1,13,1532
12009069802,138,42,8,1432
12009069903,118,7,402,1096
12009069904,529,69,82,2007
12009069905,736,0,93,3
12009069906,57,36,0,308
12009069907,105,48,9,953
12009071100,186,306,877,1427
12009071201,218,114,26,1906
12009071202,20,0,7,1241
12009071203,100,0,4,1254
12009071204,28,0,162,71
12009071205,121,22,380,1795
12009071335,83,0,4,2023
12009071337,39,0,9,3065
12009071339,36,34,28,2942
12009071341,67,33,12,2412
12009071342,132,0,26,1650
12009071343,53,0,11,1527
12009071344,76,0,7,2147
12009071345,46,0,7,3123
12009071346,50,20,25,2715
12009071347,78,23,18,1908
12009071348,129,0,20,2928
12009071349,6,0,3,1450
12009071350,68,0,11,2056
12009071351,26,11,9,1439
12009071352,18,0,699,1176
12009071353,66,49,8,634
12009071354,312,16,54,2617
12009071401,359,33,10,354
12009071402,149,106,8,391
12009071500,440,88,10,909
12009071601,101,43,4,875
12009071602,370,81,58,551
