CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
13001950100,529,3,627,1902
13001950201,204,1,333,897
13001950202,435,1,267,878
13001950301,376,6,198,1293
13001950302,310,24,236,1055
13001950400,231,0,179,1011
13001950500,644,0,1014,2300
13003960100,445,29,397,957
13003960200,505,11,764,1616
13003960300,126,0,358,482
13005970100,373,0,643,1842
13005970201,449,22,467,1948
13005970202,534,24,716,1833
13007960100,763,0,295,528
13007960200,684,0,130,378
13009970101,147,1,645,884
13009970102,327,2,583,1387
13009970201,200,358,70,832
13009970202,261,57,336,1175
13009970301,204,14,442,1257
13009970302,236,55,177,1254
13009970400,402,197,39,1318
13009970501,304,144,60,430
13009970502,332,0,361,814
13009970600,131,53,695,1021
13009970701,227,53,285,512
13009970702,90,40,224,551
13009970801,92,5,753,1280
13009970802,153,7,777,1045
13011970100,357,16,650,2343
13011970200,369,20,809,2359
13011970300,321,3,641,2353
13011970400,167,1,546,1343
13013180103,273,26,109,2265
13013180104,136,4,66,762
13013180105,87,2,81,1109
13013180106,73,23,118,1041
13013180107,198,21,280,1389
13013180108,177,10,77,1277
13013180203,181,82,255,853
13013180204,265,56,131,855
13013180205,544,167,51,1397
13013180206,92,45,1,1219
13013180301,176,12,91,1209
13013180302,348,60,150,2618
13013180303,314,5,121,2269
13013180401,507,7,144,2841
13013180402,253,57,272,2436
13013180501,685,67,123,2415
13013180502,334,4,182,2265
13013180503,289,15,270,2180
13015960101,188,0,179,994
13015960103,51,1,97,1262
13015960104,199,0,144,1346
13015960105,183,9,385,1461
13015960201,306,0,338,1401
13015960202,373,50,87,1015
13015960203,353,3,301,2200
13015960301,143,1,370,1555
13015960302,197,3,245,1331
13015960403,282,78,47,575
13015960404,81,90,179,1635
13015960405,180,41,74,1129
13015960406,57,19,142,1123
13015960407,203,25,36,676
13015960501,162,86,144,1593
13015960502,74,0,180,966
13015960601,287,130,26,1662
13015960602,266,58,6,1123
13015960701,488,97,44,970
