CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
15001020100,313,67,12,2494
15001020202,188,17,25,859
15001020300,208,90,22,716
15001020400,121,110,2,710
15001020500,468,80,0,1421
15001020600,775,12,17,1941
15001020701,59,1,0,1977
15001020702,21,2,0,1859
15001020801,55,1,5,1658
15001020802,36,11,6,2512
15001020900,139,17,4,2128
15001021003,464,3,0,2599
15001021011,274,8,2,2355
15001021013,613,13,5,2116
15001021014,238,5,0,3192
15001021015,276,6,0,2263
15001021016,722,0,0,2168
15001021017,611,0,0,2096
15001021101,1279,8,0,1710
15001021107,325,8,0,478
15001021108,413,0,2,2734
15001021203,1159,36,3,2530
15001021204,268,13,0,1649
15001021300,544,76,4,3332
15001021402,316,36,2,1484
15001021502,261,219,15,2150
15001021504,365,67,0,870
15001021510,116,254,25,1297
15001021511,36,10,9,479
15001021512,53,59,1,1067
15001021513,251,154,36,1922
15001021605,174,196,22,736
15001021606,51,164,3,969
15001021607,37,26,7,1618
15001021608,32,231,4,795
15001021705,186,46,23,2280
15001021706,341,79,37,1367
15001021707,83,150,10,1557
15001021708,250,811,31,1382
15001021800,414,172,18,2787
15001021902,292,38,9,1615
15001022000,407,46,3,1213
15001022102,225,26,13,1331
15003000107,89,1,0,689
15003000108,62,218,0,434
15003000110,86,0,89,1321
15003000114,12,0,0,746
15003000115,21,48,7,462
15003000116,4,20,11,225
15003000117,7,3,7,191
15003000118,9,38,0,349
15003000119,20,22,38,628
15003000120,38,0,21,874
15003000121,43,68,127,174
15003000122,29,0,7,986
15003000200,62,123,66,1759
15003000301,31,3,18,1350
15003000302,46,4,17,995
15003000401,19,57,30,975
15003000402,27,124,10,1443
15003000500,40,10,11,1549
15003000600,46,26,4,621
15003000700,45,37,19,943
15003000800,56,56,37,1088
15003000901,22,110,1,251
15003000903,13,47,41,863
15003000904,0,52,21,597
15003000905,5,38,30,734
15003001000,26,80,39,881
15003001101,22,45,10,237
15003001102,34,3,26,343
15003001201,52,47,18,659
