CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
19001960100,941,22,161,2629
19001960200,842,9,120,2371
19001960300,424,181,62,1810
19003950100,1026,8,225,2625
19003950200,450,26,119,1509
19005960100,434,28,260,2022
19005960200,756,18,184,3171
19005960300,360,102,150,1792
19005960400,571,5,416,2852
19005960500,521,39,117,2669
19007950100,643,16,19,2294
19007950200,547,2,58,2054
19007950300,313,38,65,1260
19007950400,244,8,46,1535
19007950500,618,0,21,2344
19009070100,1214,5,41,3172
19009070200,318,32,9,1335
19009070300,463,4,30,1638
19011960100,337,9,236,2340
19011960200,880,19,219,3957
19011960300,422,133,118,2302
19011960400,497,16,175,2685
19011960500,468,40,94,3984
19011960600,561,18,124,2734
19011960700,273,49,128,1500
19013000100,194,64,5,214
19013000200,65,151,8,903
19013000300,48,202,8,675
19013000400,156,19,2,947
19013000500,110,23,3,808
19013000700,65,75,0,408
19013000800,191,47,285,1706
19013000900,408,71,87,434
19013001000,59,26,1,2143
19013001100,17,49,5,1511
19013001200,16,58,2,1212
19013001301,140,101,67,877
19013001302,127,115,44,839
19013001400,59,73,2,2397
19013001501,163,39,37,999
19013001502,143,59,37,2175
19013001503,175,65,15,1976
19013001600,205,12,52,1607
19013001701,79,24,7,1027
19013001702,144,48,7,1315
19013001800,72,27,4,683
19013001900,107,18,26,1122
19013002000,225,56,52,2941
19013002200,173,189,17,1819
19013002301,149,98,7,896
19013002303,82,79,2,155
19013002304,41,92,3,794
19013002400,93,42,10,1940
19013002500,116,129,147,2030
19013002601,311,35,358,1041
19013002604,381,47,33,3322
19013002605,161,128,297,1473
19013002606,127,33,4,2147
19013002700,233,25,59,3458
19013002800,256,12,4,3363
19013002901,76,8,0,829
19013002902,318,40,15,2801
19013003001,272,52,608,1424
19013003002,300,36,14,3530
19015020100,754,16,150,3108
19015020200,166,89,33,1802
19015020300,293,135,123,2216
19015020400,82,70,58,1137
19015020500,602,54,148,3115
19015020600,588,6,133,2089
19015020700,723,42,166,3154
19017004000,157,46,6,544
19017004100,147,58,88,1631
19017004200,322,108,60,1796
19017004300,331,9,19,2217
19017004400,356,13,44,3202
