CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
16001000101,234,33,1,42
16001000102,636,110,3,276
16001000201,178,61,5,1073
16001000202,158,37,9,2245
16001000302,147,87,11,1142
16001000303,229,13,4,449
16001000305,72,45,120,1042
16001000306,92,73,8,1620
16001000401,126,113,28,670
16001000402,273,218,65,975
16001000501,67,74,17,1267
16001000502,30,85,9,1617
16001000601,35,101,5,1114
16001000602,90,204,12,1256
16001000701,201,164,8,1536
16001000703,24,0,4,381
16001000704,102,7,3,1241
16001000803,26,59,8,1762
16001000805,66,12,4,1322
16001000806,181,92,10,487
16001000807,121,108,35,537
16001000808,184,28,1,197
16001000809,102,37,7,635
16001000810,81,137,3,1133
16001000901,58,41,111,754
16001000902,410,99,5,319
16001001001,130,60,8,970
16001001002,80,4,0,14
16001001003,107,108,33,995
16001001100,1164,24,844,565
16001001201,71,29,4,1406
16001001203,183,67,44,1251
16001001204,357,131,1,119
16001001401,143,88,6,873
16001001402,207,58,12,612
16001001500,202,100,25,1517
16001001600,226,101,95,1593
16001001701,61,74,98,620
16001001702,146,148,103,950
16001001800,145,162,100,1534
16001001900,138,149,1,1749
16001002000,708,233,185,525
16001002100,1289,38,31,888
16001002223,52,8,7,1829
16001002225,21,8,0,1396
16001002226,21,16,0,1117
16001002227,9,0,1,1318
16001002228,5,0,1,1187
16001002229,55,62,14,1379
16001002230,25,0,2,1490
16001002231,374,45,157,737
16001002313,244,80,127,1244
16001002314,773,113,7,1250
16001002315,131,120,289,1464
16001002316,131,87,35,700
16001002317,47,101,150,868
16001002318,231,61,95,1434
16001002319,642,87,43,502
16001002412,335,71,55,1244
16001002414,73,51,142,856
16001002415,13,21,5,994
16001002416,37,54,5,1887
16001002417,24,5,0,957
16001002418,112,43,3,1178
16001002419,107,16,6,1245
16001010101,83,5,216,853
16001010102,79,5,19,1748
16001010224,22,0,0,1546
16001010226,15,4,21,976
16001010227,77,25,16,1211
16001010228,66,2,42,868
16001010229,78,0,17,1767
16001010230,126,1,112,2088
16001010231,39,0,8,1149
16001010232,107,6,11,1312
16001010233,101,16,94,1037
16001010234,455,58,185,1326
16001010235,44,10,87,1522
16001010236,236,3,19,1159
16001010237,171,5,157,1628
16001010336,60,0,57,1271
16001010337,133,2,82,1370
16001010338,65,7,3,1352
16001010339,61,0,48,784
16001010340,158,56,1,1042
16001010341,61,15,11,1409
16001010342,49,0,7,1275
16001010343,101,7,2,933
16001010344,75,24,17,944
16001010345,84,18,1,992
16001010346,40,0,28,483
16001010347,221,118,28,960
16001010348,129,15,73,884
16001010349,70,0,38,1190
16001010350,7,1,1,1108
16001010351,99,0,11,921
16001010352,19,0,0,1974
16001010353,25,0,4,1223
16001010354,62,1,0,1468
16001010355,70,0,10,684
16001010356,66,0,1,1105
16001010357,67,0,2,1483
16001010358,104,0,3,999
16001010359,72,11,10,1402
16001010360,148,3,0,1072
16001010361,19,2,0,1562
16001010362,35,4,7,1649
16001010363,45,35,3,1230
16001010364,55,39,211,1502
16001010365,75,9,0,1291
16001010366,77,0,7,1142
16001010367,117,53,179,1614
16001010368,567,61,40,872
16001010369,270,53,7,650
16001010370,232,11,15,730
16001010371,113,5,1,787
16001010403,104,1,152,1483
16001010404,58,24,113,1253
16001010405,10,0,0,913
16001010406,66,20,8,1584
16001010407,106,35,44,1972
16001010408,144,17,97,1797
16001010409,44,0,5,1913
16001010410,28,50,2,1561
16001010411,49,3,6,1330
16001010501,381,0,265,1514
16001010503,584,11,34,1140
16001010505,61,1,10,782
16001010506,100,10,1,1532
16003950100,281,3,280,1193
16003950200,500,0,603,1748
16005000200,185,0,134,1845
16005000301,481,7,139,633
16005000302,170,0,195,1356
16005000400,94,0,54,2038
16005000500,82,0,63,1116
16005000600,365,10,163,731
16005000700,235,1,71,818
16005000800,370,0,11,337
16005000900,123,5,4,609
16005001000,104,3,8,806
16005001102,92,22,26,897
16005001103,79,0,10,1377
16005001104,60,2,18,876
16005001200,92,1,87,879
16005001300,115,1,23,852
16005001400,390,0,116,1275
16005001500,290,2,406,1724
16005001601,250,1,16,585
16005001602,76,0,117,1048
16005001603,179,0,20,545
16005001700,38,0,9,1322
16005001900,1001,0,373,3142
16005940000,542,0,143,522
16005981800,71,0,11,132
16007950100,1394,5,212,1958
16007950200,1278,0,315,2556
16009940000,985,7,533,2587
16009950100,598,8,508,1913
16011940000,730,0,150,521
16011950101,201,0,77,1795
16011950102,370,2,51,1810
16011950200,284,0,226,2277
16011950300,619,6,236,3467
16011950400,279,89,128,2817
16011950501,225,2,56,903
16011950502,593,25,107,1444
16011950600,523,5,231,2504
16011950700,253,0,186,2562
16013960101,243,1,62,1206
16013960102,322,43,36,1724
16013960201,169,61,18,1727
16013960202,165,24,65,1879
16013960301,235,220,15,839
16013960302,143,128,26,1180
16013960501,124,287,47,689
16013960502,20,75,2,1026
16015950201,185,0,187,1120
16015950202,504,2,246,1690
16015950203,520,8,406,1425
16017950100,448,10,291,1336
16017950201,207,0,328,1480
16017950202,156,0,234,1561
16017950203,718,11,260,1145
16017950300,356,26,100,1191
16017950401,105,51,78,481
16017950402,193,37,122,1339
16017950403,189,35,50,843
16017950500,498,1,534,1567
16017950600,619,39,542,2302
16017950701,284,0,690,1198
16017950702,242,4,545,812
16017950801,213,0,287,1219
16017950802,229,0,572,1125
16017950901,178,0,117,928
16017950902,218,0,368,1225
16019970100,782,15,125,3767
16019970300,412,3,132,3502
16019970401,396,0,125,973
16019970402,318,8,82,2287
16019970404,50,23,362,1234
16019970405,125,26,62,2050
16019970502,137,63,15,1575
16019970503,248,19,47,1715
16019970504,49,1,6,1040
16019970505,119,54,22,1045
16019970601,140,36,3,889
16019970602,192,207,49,969
16019970603,155,26,14,605
16019970700,570,115,78,1385
16019970800,49,44,9,1124
16019970900,93,27,0,1695
16019971000,239,51,40,1724
16019971100,148,75,10,948
16019971200,312,123,44,1014
16019971301,269,130,48,1997
16019971302,110,81,58,1543
16019971401,543,35,209,1577
16019971402,73,24,8,2137
16019971500,354,15,166,1147
16021970100,637,0,631,2967
16021970200,631,7,538,2532
16023970100,989,0,208,1858
16025970100,301,0,75,937
16027020100,214,49,6,305
16027020200,139,162,93,857
16027020300,104,85,12,1533
16027020403,44,43,34,1645
16027020404,1041,42,214,998
16027020405,78,45,44,975
16027020406,94,36,11,1115
16027020501,31,12,17,1366
16027020503,94,85,36,1042
16027020505,14,150,28,688
16027020506,117,175,2,237
16027020601,18,17,10,1826
16027020603,27,129,14,1569
16027020604,189,40,53,533
16027020700,62,2,177,2060
16027020903,13,0,4,1560
16027020904,56,1,21,1701
16027020905,11,1,48,1704
16027020906,57,59,40,1868
16027020907,34,4,8,1329
16027020908,16,0,0,1579
16027020909,16,0,19,1191
16027020910,49,0,19,827
16027021003,35,0,3,1195
16027021004,42,0,75,1866
16027021005,110,34,192,1613
16027021006,613,78,209,834
16027021007,37,67,86,781
16027021008,296,168,169,884
16027021101,79,3,39,1929
16027021102,78,2,6,1000
16027021103,44,7,2,1066
16027021104,174,110,31,1082
16027021105,134,0,47,2083
16027021201,291,29,74,864
16027021202,69,42,126,1303
16027021300,332,42,105,518
16027021500,300,146,115,1209
16027021600,238,74,47,1292
16027021701,43,41,15,1538
16027021702,496,139,352,1346
16027021801,205,4,253,2275
16027021802,42,9,93,1187
16027021901,112,34,137,1983
16027021904,203,34,423,1433
16027021905,57,0,370,2010
16027021906,105,2,334,2628
16027021907,76,2,97,1322
16027022100,419,50,522,2385
16027022200,297,92,402,2595
16027022301,246,0,312,1605
16027022302,42,0,100,756
16027022303,80,0,183,1104
16027022400,122,0,339,2890
16029960100,891,0,137,2844
16029960200,831,0,175,1871
16031950100,1135,4,101,1765
16031950200,362,3,129,1723
16031950300,290,21,49,1881
16031950400,476,40,151,1066
16031950500,475,16,159,1976
16031950600,1015,3,105,1159
16033950100,394,9,135,506
16035940001,186,0,150,587
16035940002,538,0,433,1647
16035970100,728,0,688,2434
16037960200,1129,20,788,3447
16039960100,643,0,56,2147
16039960201,213,0,112,2340
16039960202,77,0,3,1577
16039960300,426,1,40,1443
16039960401,469,0,125,2361
16039960402,242,1,31,884
16039960500,849,0,0,0
16041970100,1132,14,284,3585
16041970200,1052,8,317,3178
16043970100,911,11,490,3329
16043970200,557,6,443,2376
16043970301,464,5,506,1674
16043970302,345,2,482,1448
16045960100,527,2,392,3382
16045960200,677,60,892,2516
16045960301,164,36,158,1897
16045960302,204,21,292,1232
16047960101,298,1,104,1381
16047960102,1863,0,503,1018
16047960201,1049,0,525,1401
16047960202,1856,6,500,849
16049940000,1140,13,659,2550
16049960100,878,2,410,1984
16049960201,319,9,226,883
16049960202,968,0,499,2276
16049960300,482,7,155,851
16049960400,470,0,190,824
16051960100,686,5,374,2613
16051960200,333,1,266,2410
16051960301,133,3,44,1253
