CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
17001000100,460,38,43,1737
17001000201,199,5,6,723
17001000202,80,3,13,1112
17001000400,200,0,30,952
17001000500,79,0,24,576
17001000600,130,5,34,1419
17001000700,230,3,4,90
17001000800,142,0,11,623
17001000900,86,0,20,852
17001001001,25,2,8,1346
17001001002,70,0,26,1162
17001001100,323,59,12,2353
17001010100,2910,0,68,1990
17001010200,1931,0,34,1740
17001010301,2521,0,42,1056
17001010302,1901,0,43,1508
17001010400,1449,0,21,1658
17001010500,463,24,8,1095
17001010600,1710,2,81,2170
17003957600,312,0,159,1586
17003957700,291,0,177,1206
17003957800,193,5,57,613
17003957900,149,8,37,398
17005951200,569,1,327,2253
17005951300,460,34,191,1888
17005951400,699,2,318,2722
17005951500,810,12,546,3168
17007010101,124,33,19,1476
17007010102,88,60,6,992
17007010200,176,12,15,1984
17007010300,265,23,340,1875
17007010400,774,13,6,3306
17007010501,58,0,17,1729
17007010502,207,7,7,2731
17007010601,240,8,5,3144
17007010603,165,2,7,2657
17007010604,26,0,163,1793
17009970400,969,0,113,2980
17009970500,222,15,63,851
17011964700,1924,0,38,1555
17011964800,2863,3,46,1555
17011964900,1243,1,141,1139
17011965000,1442,1,86,1722
17011965100,397,2,28,1817
17011965200,145,1,25,1506
17011965300,338,1,36,1785
17011965400,296,1,43,1495
17011965500,2129,0,46,1605
17011965600,1901,1,58,1778
17013951200,1190,0,881,1001
17013951300,1375,0,622,1201
17015960100,453,33,48,3556
17015960200,608,4,140,2046
17015960300,328,79,63,1283
17015960400,287,22,48,1615
17015960500,429,14,31,2822
17015960600,347,17,96,1532
17017960100,838,2,65,1411
17017960200,962,6,33,1553
17017960300,1309,0,67,1612
17017960400,73,13,41,1005
17017960500,164,5,23,902
17019000200,58,43,12,531
17019000301,68,51,2,6
17019000302,68,112,0,6
17019000401,36,17,21,0
17019000402,48,108,14,4
17019000500,53,165,7,1025
17019000700,197,34,133,810
17019000800,414,168,58,905
17019000901,110,74,5,1264
17019000902,292,114,63,1495
17019001000,78,103,9,1428
