CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
18001030100,437,19,72,3437
18001030200,480,81,53,1947
18001030300,306,79,32,2096
18001030400,385,2,8,2366
18001030500,530,10,0,4006
18001030600,273,65,20,1288
18001030700,519,31,36,3952
18003000100,74,13,0,1439
18003000300,38,121,1,1669
18003000400,87,307,1,973
18003000500,152,110,4,902
18003000600,94,149,1,701
18003000701,92,164,2,1534
18003000704,244,36,5,596
18003000800,103,48,22,2211
18003000900,134,94,5,1532
18003001000,116,82,2,496
18003001100,45,204,1,417
18003001200,162,58,5,83
18003001300,170,38,5,174
18003001600,290,20,1,993
18003001700,109,87,1,417
18003002000,167,265,0,968
18003002100,104,188,1,883
18003002200,319,152,3,1770
18003002300,84,53,54,2246
18003002500,55,126,0,1627
18003002600,74,111,0,1601
18003002800,88,27,4,1076
18003002900,84,23,1,1178
18003003000,61,30,0,1930
18003003100,155,12,1,1430
18003003200,66,20,30,2695
18003003301,30,0,38,1105
18003003304,400,129,66,960
18003003400,46,34,3,2437
18003003500,107,51,42,880
18003003600,132,238,40,1374
18003003700,129,75,6,1277
18003003800,194,105,52,1290
18003003901,115,44,16,1496
18003003902,194,68,13,609
18003004000,23,0,0,1334
18003004101,46,26,47,794
18003004103,60,228,31,318
18003004300,333,72,2,1006
18003004400,224,145,1,1297
18003010100,334,13,67,3098
18003010201,103,4,18,3017
18003010202,280,11,61,3039
18003010304,95,12,41,2476
18003010305,70,0,9,2996
18003010306,227,37,14,2558
18003010307,84,0,3,1687
18003010308,57,6,1,2257
18003010400,165,0,53,2453
18003010500,218,1,49,1863
18003010601,315,2,37,1916
18003010602,502,40,29,1525
18003010603,111,4,43,867
18003010604,469,0,934,141
18003010705,37,52,17,1685
18003010706,185,33,13,1861
18003010707,241,2,112,1584
18003010803,66,18,0,2113
18003010804,37,10,19,1533
18003010807,34,8,3,1855
18003010808,61,57,4,1856
18003010809,67,57,39,1802
18003010811,83,84,8,1806
18003010812,32,84,0,1638
18003010813,144,27,576,983
18003010815,49,0,0,2165
18003010816,38,1,4,2016
18003010817,45,20,98,1394
18003010819,47,72,31,1189
18003010821,110,38,31,1361
18003010900,467,17,91,4072
18003011000,386,9,43,1920
18003011100,154,49,5,1305
18003011201,691,68,43,586
18003011202,147,30,193,1354
18003011204,7,17,0,1176
18003011205,60,25,9,1178
18003011302,67,96,4,1220
18003011303,117,45,14,607
18003011304,78,32,236,1738
18003011501,334,145,43,962
18003011502,293,67,11,1186
18003011603,64,5,113,2286
18003011604,69,5,57,1295
18003011605,139,39,24,981
18003011606,72,3,56,1546
18003011607,63,0,29,1811
18003011608,109,41,3,2421
18003011609,78,5,13,2635
18003011701,291,0,140,2043
18003011702,380,2,20,1923
18003011801,313,8,89,2298
18003011802,205,3,27,1358
18003011900,222,8,29,1126
18003980001,112,0,0,1
18003980002,334,0,24,38
18005010100,248,44,24,1370
18005010200,171,39,5,2044
18005010300,24,15,2,1335
18005010400,621,70,100,1687
18005010500,89,16,3,1917
18005010600,82,217,22,1338
18005010700,174,69,17,1144
18005010800,293,72,13,1521
18005010900,119,110,38,1741
18005011000,281,9,98,2806
18005011101,366,20,324,1815
18005011102,537,0,79,1245
18005011200,486,30,190,3115
18005011300,502,1,53,3365
18005011400,296,0,108,2305
18005011500,579,1,145,4852
18007100100,564,4,113,2238
18007100200,554,16,46,1908
18007100300,684,4,92,1867
18009975100,435,34,285,2259
18009975200,163,43,82,1312
18009975300,231,53,157,1309
18009975400,493,10,312,2492
18011810100,607,0,98,3033
18011810200,561,13,160,2351
18011810300,452,84,51,2618
18011810400,483,118,145,2024
18011810500,284,206,70,2224
18011810601,368,0,362,3107
18011810604,36,0,1,2084
18011810605,338,76,76,1905
18011810606,91,56,42,2685
18011810607,130,25,34,2279
18011810700,655,25,221,3047
18013974600,181,3,229,1515
18013974700,295,20,279,1972
18013974800,386,36,151,2066
18013974901,190,4,86,992
18013974902,470,22,164,1651
18015959300,740,4,105,2494
18015959400,427,3,227,1703
18015959500,471,5,368,1523
18015959600,330,54,75,1205
18015959700,649,4,168,2422
18015959800,456,36,103,1473
18015959900,429,7,89,1739
18017950900,521,22,164,2909
18017951000,340,0,116,1534
18017951100,385,10,256,2008
18017951200,98,36,22,789
18017951300,126,65,13,804
18017951400,156,29,20,870
18017951500,129,127,8,844
