CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
20001952600,388,4,417,1915
20001952700,251,1,388,1270
20001952800,302,40,71,1733
20001952900,302,23,71,1095
20001953000,286,40,230,1828
20003953600,512,41,206,3344
20003953700,481,3,325,3464
20005081600,1174,8,343,4878
20005081701,223,55,179,1711
20005081702,92,5,59,452
20005081800,308,36,136,1386
20005081900,231,71,50,1143
20007968100,795,22,252,2193
20007968200,666,11,139,1514
20009971100,981,14,67,3436
20009971200,636,0,61,2049
20009971300,286,41,72,1772
20009971400,199,56,3,1144
20009971500,262,82,35,1304
20009971600,267,74,17,1876
20009971700,242,60,10,1136
20009971801,1011,52,420,2383
20011955600,381,2,531,2101
20011955700,392,5,360,2001
20011955800,213,45,94,1608
20011955900,255,81,93,1583
20011956000,201,53,48,1183
20013480600,1003,31,112,3089
20013480700,424,68,66,1907
20013480800,900,41,163,2704
20015020101,359,1,332,2135
20015020102,381,4,460,1796
20015020204,80,13,126,1468
20015020205,683,26,539,1997
20015020206,264,113,94,1171
20015020207,88,60,52,1318
20015020208,89,44,22,915
20015020209,102,0,154,1172
20015020210,180,53,126,1244
20015020300,160,51,85,1559
20015020400,246,46,45,1009
20015020500,283,114,45,2426
20015020601,254,12,386,2556
20015020602,342,5,287,2507
20015020700,89,75,164,1456
20015020800,207,99,80,979
20015020901,233,0,626,2923
20015020902,122,81,30,1445
20015020903,309,29,339,2351
20017960600,615,14,148,2686
20019964600,980,15,585,3004
20021958100,568,7,321,1883
20021958200,459,0,269,1867
20021958300,461,48,124,1960
20021958400,375,15,294,1963
20021958500,331,46,199,1529
20021958600,329,40,161,1934
20023950200,1381,17,98,3235
20025967100,741,29,110,1702
20027458100,949,13,306,4476
20027458200,447,31,144,2097
20029977100,751,6,67,2410
20029977200,267,59,44,1145
20029977300,292,53,42,1381
20029977400,531,4,62,1533
20031966100,710,5,190,2399
20031966200,547,16,218,2350
20031966300,307,48,106,1557
20033967600,746,12,130,1646
20035493100,751,2,393,2540
20035493200,432,6,388,2558
