CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
21001970100,325,0,330,1233
21001970200,371,0,456,1390
21001970300,550,0,664,2307
21001970401,682,43,309,2119
21001970402,662,25,326,1909
21001970500,671,0,485,1964
21001970600,395,2,242,1200
21003920100,1604,0,762,843
21003920200,1250,7,464,586
21003920300,763,37,415,1541
21003920400,1106,15,720,1246
21003920500,1042,0,327,417
21003920600,1205,0,811,627
21005950101,147,22,38,551
21005950102,199,126,109,1952
21005950201,161,141,26,1502
21005950202,260,45,130,2016
21005950300,216,2,88,1192
21005950400,338,0,292,2172
21007950100,158,3519,60,479
21007950200,18,1368,21,39
21007950300,132,1911,47,303
21009950100,490,9,323,2627
21009950200,544,13,300,1787
21009950300,358,16,396,1641
21009950401,263,51,56,561
21009950402,302,39,23,1272
21009950500,520,60,57,1510
21009950601,203,40,12,953
21009950602,191,49,175,1629
21009950701,161,15,161,1232
21009950702,235,20,217,2130
21009950800,409,11,445,2612
21009950900,789,1,440,3544
21009951000,386,1,531,2333
21011970100,447,6,359,1363
21011970201,523,8,512,1397
21011970202,632,8,741,2389
21011970300,609,3,810,2041
21013960100,488,0,669,39
21013960200,749,7,1351,149
21013960300,546,0,676,70
21013960400,422,0,521,47
21013960500,583,3,736,74
21013960600,221,10,1593,361
21013960700,234,1,875,352
21013960800,262,0,1443,82
21013961100,641,9,757,74
21015070101,200,86,12,736
21015070102,53,96,5,589
21015070201,93,72,10,783
21015070202,75,66,5,528
21015070301,619,126,583,392
21015070305,84,186,6,1255
21015070309,57,0,2,2061
21015070311,610,22,395,574
21015070312,129,71,2,503
21015070313,54,1,0,1036
21015070314,36,15,0,1566
21015070315,89,122,5,1176
21015070316,62,134,6,1272
21015070317,11,21,5,1440
21015070318,197,83,4,1936
21015070403,114,0,8,2071
21015070404,283,30,18,1174
21015070405,519,3,7,1108
21015070406,160,2,5,987
21015070407,174,21,2,1069
21015070502,1458,2,58,1627
21015070503,151,184,4,1454
21015070505,50,9,0,1210
21015070506,199,15,10,1215
21015070601,877,0,27,999
21015070604,1001,3,29,1344
21015070605,53,16,71,2386
21015070606,536,83,32,1802
21015070607,290,65,3,1241
21015980100,359,0,1,30
21017030101,73,1,20,818
21017030102,95,0,20,1088
21017030201,80,5,67,1516
21017030202,62,0,36,647
21017030300,275,0,50,2769
21017030400,212,0,48,2256
21017030500,213,9,117,2340
21017030600,256,0,92,2393
21019030200,516,11,7,144
21019030300,107,19,8,610
21019030400,123,7,32,803
21019030500,54,20,9,2044
21019030600,121,22,33,1986
21019030700,71,21,7,1387
21019030800,127,83,23,1239
21019030900,293,10,196,2813
21019031001,397,5,126,659
21019031003,292,11,82,917
21019031004,154,7,188,1774
21019031101,520,5,194,2975
21019031102,415,6,221,1203
21019031200,846,6,253,1858
21019031300,212,8,57,1013
21021930100,127,43,120,2112
21021930200,300,36,116,2093
21021930300,357,22,81,535
21021930400,210,178,228,1356
21021930500,410,17,99,1732
21021930600,411,15,244,2798
21021930700,275,17,438,2437
21023950100,401,21,688,1317
21023950200,374,4,673,1164
21023950300,674,10,1296,2425
21025920200,205,2,569,981
21025920301,214,3,314,548
21025920302,100,0,308,437
21025920500,172,0,367,796
21025920600,132,0,306,808
21025920700,160,0,432,740
21025920800,320,0,728,1157
21027960100,898,13,1088,2779
21027960200,1008,54,796,2675
21027960300,458,11,525,1931
21027960400,376,0,512,1265
21027960501,385,0,697,980
21027960502,745,3,1565,2545
21029020101,78,5,9,1072
21029020102,197,9,15,1077
21029020103,72,12,8,1274
21029020201,104,6,8,2232
21029020202,171,6,8,1548
21029020300,69,1,5,2007
21029020401,139,1,3,780
21029020402,151,3,5,1570
21029020501,28,0,5,1085
21029020502,32,1,13,784
21029020601,142,15,10,1987
21029020602,25,0,0,589
21029020702,188,12,53,1017
21029020703,213,10,21,1062
21029020704,135,26,352,682
21029020800,315,0,210,2198
21029020900,232,4,38,1921
21029021102,490,0,27,2900
21029021103,107,2,8,743
21029021104,253,3,11,2005
21029021200,510,6,68,3239
21029980100,138,0,0,4
21031930100,416,9,273,1883
21031930200,316,3,202,1045
21031930301,206,3,127,902
21031930302,294,57,272,1093
21031930400,373,0,231,1358
21031930500,246,2,140,1044
21033920100,609,4,348,1290
21033920200,695,5,602,2476
21033920301,315,21,278,1449
21033920302,746,0,501,1726
21035010100,2194,1,1249,401
21035010200,1810,1,1524,826
21035010301,135,0,80,5
21035010303,183,33,297,198
21035010304,420,20,706,433
21035010400,503,22,606,176
21035010500,576,5,762,470
21035010601,142,0,698,605
21035010602,273,16,579,974
21035010700,1617,0,1166,572
21035010800,1458,4,888,740
21037050100,115,7,3,87
21037050400,69,2,5,742
21037050500,173,0,1,601
21037050600,132,0,5,577
21037051101,85,0,3,807
21037051102,23,0,2,618
21037051200,115,2,4,393
21037051300,65,17,2,1686
21037051901,720,0,25,1931
21037051903,687,7,41,1980
21037051904,404,0,13,1511
21037052001,1225,15,64,1727
21037052002,1170,0,83,1270
21037052100,221,1,6,1273
21037052200,43,7,8,920
21037052301,183,4,1,1284
21037052302,144,6,3,1640
21037052400,91,2,9,895
21037052500,228,1,9,1541
21037052800,202,2,10,1119
21037052900,347,5,12,2065
21037053100,653,0,21,1729
21037053200,245,13,12,551
21037053301,409,67,9,775
21037053302,520,1,3,613
21039960100,325,18,191,1292
21039960200,230,91,251,1130
21039960300,272,41,156,1259
21041950100,485,0,408,1241
21041950200,608,57,233,2033
21041950300,356,0,262,1350
21043960100,489,0,695,1919
21043960200,486,37,524,2244
21043960300,562,4,681,1743
21043960400,565,0,517,1323
21043960500,492,24,674,1765
21043960601,189,10,366,776
21043960602,368,29,589,1997
21043960700,568,0,945,2140
21045950100,568,0,139,1012
21045950200,635,0,380,1840
21045950301,851,1,397,1972
21045950302,683,17,219,1721
21045950400,1246,0,351,2091
21045950500,865,1,281,1899
21047200100,311,81,58,1101
21047200200,159,95,69,913
21047200300,444,164,227,960
21047200400,264,69,40,773
21047200500,144,81,175,1379
