CENSUSCODE,OTHER_OTHER,OTHER_SINGLE FAMILY,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
22001960101,481,0,21,277,1318
22001960102,263,0,2,227,916
22001960201,544,0,0,388,1894
22001960202,618,0,0,200,1366
22001960300,1066,0,1,476,2036
22001960401,442,0,0,218,1133
22001960402,359,0,8,182,1072
22001960403,439,0,0,331,1278
22001960501,360,0,0,583,1293
22001960502,338,0,4,324,1127
22001960503,286,0,0,204,702
22001960601,365,0,5,393,474
22001960602,310,0,23,167,1663
22001960700,638,0,24,193,1437
22001960801,299,0,23,42,1396
22001960802,168,0,9,78,554
22001960901,194,0,25,24,1291
22001960902,189,0,0,27,282
22001961000,620,0,114,109,1835
22001961100,746,0,3,422,1504
22001961200,555,0,0,370,1730
22003950100,2979,0,2,517,333
22003950201,698,0,0,743,127
22003950202,55,0,0,77,0
22003950300,331,0,36,900,128
22003950400,1871,0,0,884,357
22003950501,1580,0,84,819,183
22003950502,1397,0,3,345,192
22005030102,465,0,2,534,1823
22005030104,183,0,5,352,903
22005030105,249,0,0,318,1872
22005030106,285,0,6,280,839
22005030107,294,0,8,450,1089
22005030207,532,0,13,158,2010
22005030208,364,0,24,330,1257
22005030209,119,0,0,115,927
22005030210,214,0,5,135,2128
22005030211,432,0,52,271,2224
22005030212,361,0,24,412,2179
22005030213,427,0,37,197,1413
22005030214,366,0,34,431,1453
22005030215,436,0,11,429,1804
22005030301,481,0,0,69,1839
22005030302,2918,0,21,159,1944
22005030303,328,0,1,344,1070
22005030304,254,0,0,246,621
22005030403,185,0,9,159,795
22005030404,305,0,68,164,740
22005030405,313,0,42,128,1414
22005030406,301,0,51,102,940
22005030501,187,0,0,245,1251
22005030502,244,0,0,223,893
22005030503,606,0,33,491,1128
22005030600,806,0,44,710,1443
22005030900,487,0,132,347,1300
22005031001,599,0,17,60,872
22005031002,173,0,125,213,974
22007050100,667,0,12,330,1436
22007050201,432,0,169,416,1294
22007050202,304,0,7,222,922
22007050300,502,0,15,231,1461
22007050400,452,0,39,115,1354
22007050500,314,0,27,259,1103
22007050600,366,0,38,612,1740
22009030100,1016,0,326,232,1836
22009030200,679,0,33,422,1503
22009030300,660,0,22,484,2152
22009030401,676,0,0,212,1949
22009030402,735,0,2,40,979
22009030501,408,0,8,335,2194
22009030502,692,0,25,207,1852
22009030600,769,0,31,86,2141
22009030701,398,0,9,157,1193
22009030702,546,0,2,139,1754
22009030800,419,0,9,287,1619
22009030900,633,0,4,225,1279
22011960101,350,0,0,925,2170
22011960102,251,0,6,549,1349
22011960200,710,0,0,1030,3001
22011960300,407,0,33,81,1631
22011960400,422,0,11,269,1518
22011960500,406,0,73,263,2156
22011960600,582,0,2,676,1836
22011960701,351,0,3,913,1872
22011960702,725,0,10,1098,2600
22013970100,777,0,131,204,1283
22013970200,687,0,26,332,960
22013970300,751,0,33,495,1519
22013970400,562,0,3,494,1210
22013970500,1040,0,0,556,1531
22015010400,485,0,0,140,523
22015010500,369,0,33,72,1366
22015010601,1192,0,22,203,1787
22015010602,355,0,14,68,612
22015010701,159,0,60,113,1071
22015010702,162,0,4,60,1468
22015010801,175,0,12,171,1060
22015010805,175,0,52,32,221
22015010806,34,0,0,1,1793
22015010807,55,0,0,179,1279
22015010808,67,0,0,27,1941
22015010900,1623,0,0,0,1
22015011002,1351,0,18,564,1552
22015011003,283,0,0,468,1736
22015011004,760,0,0,944,716
22015011107,431,0,18,93,590
22015011111,732,0,0,1231,1205
22015011112,570,0,0,637,1128
22015011113,420,0,3,681,1212
22015011114,253,0,0,258,878
22015011115,474,0,0,411,398
22015011116,689,0,0,199,2182
22015011117,136,0,45,33,2469
22015011118,580,0,18,466,38
22015011119,176,0,37,127,1327
22015011120,177,0,3,12,1441
22015011121,439,0,0,235,555
22015011122,469,0,33,245,3074
22015011123,170,0,0,140,1629
22015011124,486,0,0,268,573
22015011201,1499,0,10,527,1253
22015011202,732,0,0,371,676
22015011300,311,0,89,143,306
22017020500,555,0,28,20,829
22017020600,120,0,11,4,327
22017020700,102,0,3,3,528
22017021000,227,0,32,12,536
22017021100,153,0,116,15,651
22017021200,135,0,84,8,1560
22017021300,313,0,40,4,973
22017021400,54,0,33,0,746
22017021500,141,0,21,3,1068
22017021600,177,0,76,5,1547
22017021700,268,0,2,17,586
22017021800,351,0,30,25,375
22017021900,118,0,1,9,671
22017022000,124,0,2,4,851
22017022101,196,0,69,33,1723
22017022102,53,0,0,0,742
22017022200,492,0,37,69,1283
22017022300,218,0,25,8,998
22017022400,478,0,0,5,1258
22017022500,205,0,3,12,1894
22017022600,144,0,9,3,1479
22017022700,51,0,1,0,1260
22017022800,115,0,6,3,1998
22017022900,219,0,109,13,1489
22017023000,189,0,103,7,1748
22017023100,78,0,2,4,718
22017023200,161,0,2,6,633
22017023300,357,0,73,7,679
22017023401,201,0,15,6,1382
22017023402,100,0,25,10,880
22017023500,277,0,25,11,1483
22017023600,114,0,25,34,1102
22017023701,182,0,83,2,1192
22017023702,154,0,52,8,874
22017023801,92,0,53,13,1397
22017023802,112,0,13,9,739
22017023903,694,0,42,219,1538
22017023904,209,0,133,10,731
22017023905,156,0,149,7,1060
22017023906,139,0,22,11,877
22017023907,230,0,50,25,1062
22017024001,228,0,0,80,2715
22017024002,870,0,0,61,2666
22017024102,442,0,7,696,1301
22017024104,315,0,111,46,2049
22017024107,323,0,35,64,1888
22017024108,203,0,91,6,2057
22017024109,146,0,0,58,1484
22017024110,68,0,86,0,531
22017024111,279,0,92,90,1335
22017024201,198,0,90,164,1016
22017024204,597,0,17,874,1558
22017024205,294,0,4,266,963
22017024206,421,0,0,605,844
22017024207,328,0,0,518,608
22017024303,845,0,155,576,1056
22017024304,660,0,39,679,1625
22017024305,320,0,8,442,902
22017024306,219,0,20,104,1648
22017024400,307,0,78,41,1748
22017024503,465,0,67,373,1514
22017024504,822,0,5,1266,1454
22017024601,282,0,128,115,1374
22017024602,528,0,189,70,1205
22017024700,163,0,4,26,876
22017024800,601,0,1,116,448
22017024900,1043,0,66,512,1173
22017025000,447,0,41,236,992
22017025100,663,0,0,311,776
22017025200,137,0,27,12,264
22017025300,420,0,26,17,223
22017025405,395,0,51,151,1852
22017025406,642,0,8,765,1671
22017980000,87,0,0,0,0
22019000100,507,0,5,10,661
22019000200,374,0,0,6,543
22019000300,334,0,1,1,411
22019000400,187,0,29,3,338
22019000500,910,0,7,8,1075
22019000601,303,0,3,117,1085
22019000602,304,0,0,31,877
22019000700,872,0,26,15,1047
22019000800,879,0,3,8,996
22019000900,334,0,4,57,1222
22019001000,466,0,19,8,1409
22019001100,545,0,6,5,876
22019001201,246,0,16,59,1328
22019001202,191,0,32,36,495
22019001301,303,0,5,221,1228
22019001302,227,0,22,0,1215
22019001401,436,0,0,425,676
22019001402,214,0,0,164,1173
22019001500,249,0,0,124,633
22019001600,765,0,34,347,868
22019001700,2054,0,16,1773,3005
22019001802,591,0,40,563,1787
22019001803,1099,0,0,238,1896
22019001901,478,0,0,21,1486
22019001905,226,0,44,8,755
22019001906,404,0,39,133,988
22019001907,393,0,27,19,537
22019001908,280,0,3,12,1083
22019002001,872,0,0,1065,1494
22019002002,1199,0,1,868,1745
22019002100,386,0,2,433,860
22019002204,705,0,1,370,1752
22019002205,579,0,0,350,1931
22019002206,492,0,0,433,1745
22019002207,414,0,0,121,1119
22019002208,259,0,2,311,1095
22019002300,851,0,0,451,1318
22019002401,893,0,21,303,1059
22019002402,804,0,35,176,836
22019002500,867,0,0,282,1346
22019002600,937,0,10,115,1547
22019002701,934,0,0,847,1368
22019002702,2081,0,0,338,989
22019002800,903,0,13,274,959
22019002900,434,0,0,88,626
22019003000,875,0,6,125,1412
22019003101,1052,0,6,113,1571
22019003102,412,0,1,3,766
22019003200,3846,0,0,367,768
22019003300,2233,0,16,591,1588
22019003400,1063,0,0,373,2222
22019003500,995,0,1,177,737
22019003601,1195,0,0,413,1047
22019003602,413,0,13,139,324
22019980000,84,0,0,1,0
22019980100,57,0,0,0,0
22021000100,575,0,0,439,1169
22021000200,603,0,55,532,1251
22021000300,638,0,48,788,1588
22023970101,944,0,28,685,1744
22023970102,1494,0,26,303,383
22023970202,1059,0,101,216,208
22023970203,1033,0,103,245,648
22023990000,27,0,0,0,0
22025000100,1499,0,25,643,1670
22025000200,590,0,32,130,781
22025000300,1860,0,0,776,1462
22027950100,1885,0,0,623,1982
22027950201,416,0,0,161,351
22027950202,751,0,0,179,705
22027950300,477,0,4,116,969
22027950400,610,0,23,98,1438
22027950500,1285,0,1,594,1397
22029000100,794,0,30,391,1449
22029000201,343,0,72,153,688
22029000202,565,0,19,206,805
22029000300,667,0,1,639,1474
22029000400,380,0,28,116,1829
22029000500,1329,0,0,469,1701
22031950101,540,0,6,578,558
22031950102,976,0,7,956,829
22031950103,467,0,13,775,938
22031950200,1383,0,20,511,1780
22031950300,1560,0,2,361,1378
22031950400,626,0,32,91,846
22031950500,706,0,4,210,638
22031950600,509,0,107,146,1007
22031950700,1065,0,0,402,1068
22033000100,133,0,0,8,423
22033000200,353,0,79,7,1683
22033000300,136,0,0,1,533
22033000400,151,0,0,2,1057
