CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
25001010100,341,889,72,827
25001010206,331,220,36,3481
25001010208,312,388,101,2657
25001010304,163,152,15,2745
25001010306,211,190,21,3181
25001010400,430,155,9,1760
25001010500,140,133,11,3032
25001010600,237,92,74,2819
25001010700,320,233,31,4124
25001010800,275,287,39,3603
25001010900,244,113,21,2993
25001011002,340,192,21,3045
25001011100,133,34,12,3164
25001011200,208,185,22,3183
25001011300,129,139,15,2269
25001011400,127,112,1,2441
25001011500,224,66,4,2441
25001011600,261,457,33,2962
25001011700,181,202,9,2317
25001011801,64,142,5,946
25001011802,128,120,9,2019
25001012001,214,119,5,2822
25001012002,219,224,59,1902
25001012101,165,232,5,2077
25001012102,216,235,48,2225
25001012200,287,46,12,2788
25001012502,132,183,26,1645
25001012601,75,25,20,1041
25001012602,114,98,5,1424
25001012700,138,73,9,2684
25001012800,61,19,5,1898
25001012900,31,19,0,1788
25001013002,196,50,13,2732
25001013100,115,30,2,2609
25001013200,153,18,2,3079
25001013300,264,99,14,1646
25001013400,143,115,9,2182
25001013500,99,17,2,2716
25001013600,291,19,4,2188
25001013700,257,205,10,1536
25001013800,160,81,4,1952
25001013900,242,219,12,2140
25001014002,320,65,2,2896
25001014100,599,0,1,1
25001014300,146,116,8,3697
25001014402,317,109,35,3418
25001014500,127,62,10,3235
25001014600,144,93,20,2728
25001014700,137,129,8,2924
25001014800,329,174,28,1816
25001014900,368,209,27,2318
25001015001,51,154,5,1428
25001015002,134,364,8,1181
25001015100,254,351,1,1448
25001015200,58,261,4,3090
25001015300,795,129,31,288
25001990000,2,0,3,0
25003900100,148,397,7,111
25003900200,125,713,26,260
25003900300,43,343,33,739
25003900400,227,372,167,1440
25003900500,153,146,44,1359
25003900600,105,550,52,510
25003900700,145,207,51,987
25003900800,171,133,40,2223
25003900900,112,592,24,1218
25003901100,199,70,21,1352
25003911100,223,63,15,1670
25003912100,229,341,15,2425
25003913100,558,165,44,2211
25003914100,482,205,308,2242
25003920101,262,130,54,1379
25003920102,337,52,69,1118
25003921300,132,441,1,954
25003921400,168,164,3,514
25003921500,144,243,1,964
25003922100,128,244,77,552
25003922200,190,345,146,1146
25003922300,98,131,119,766
25003923100,162,90,172,1634
25003924100,341,101,13,1620
25003925101,140,89,264,406
25003925102,670,391,437,1761
25003926100,512,52,478,1719
25003931100,49,43,74,754
25003931300,114,6,87,771
25003931400,161,1,223,750
25003932200,295,3,339,1645
25003932300,234,88,15,946
25003933200,157,32,7,1219
25003933300,181,46,22,1313
25003933400,333,25,32,2422
25003934200,201,20,141,889
25003934300,268,22,206,1539
25003935100,268,118,227,1534
25003935200,354,423,76,1730
25003935300,118,512,6,828
25005600100,152,93,1,1065
25005600202,329,166,2,1201
25005600203,73,65,3,2050
25005600204,69,82,3,1080
25005610100,193,346,16,972
25005610202,214,35,4,1822
25005610203,122,115,5,1912
25005610204,129,84,0,1233
25005611101,160,144,13,1379
25005611102,277,67,11,974
25005611201,121,131,9,749
25005611202,216,129,14,1608
25005612100,220,153,18,1574
25005612201,66,34,4,1093
25005612202,413,69,331,1655
25005613100,284,473,5,2036
25005613300,105,200,4,2737
25005613400,184,90,8,1269
25005613600,101,482,4,419
25005613700,161,519,7,687
25005613800,129,664,4,232
25005613901,55,288,1,424
25005613902,131,402,7,1419
25005614000,91,561,1,433
25005614101,167,467,17,1341
25005614102,180,302,17,2115
25005615100,422,233,262,2794
25005616100,207,56,25,2734
25005617101,367,58,7,1894
25005617102,410,39,3,1758
25005630101,45,244,6,361
25005630102,172,344,18,559
25005630201,54,5,4,1089
25005630202,208,102,8,1616
25005630301,115,49,5,2074
25005630302,49,129,4,713
25005630400,165,85,5,1485
25005631101,251,129,146,822
25005631102,139,193,84,1426
25005631200,265,133,128,2221
25005631300,148,177,55,1169
25005631400,165,165,13,98
25005631500,82,195,42,486
25005631600,128,323,56,333
25005631700,191,98,42,1719
25005631800,142,203,58,1691
25005632100,287,33,374,2311
25005632200,622,72,401,2396
25005633100,188,69,6,2079
25005633200,289,145,6,2495
25005640100,220,424,13,1210
25005640201,26,280,0,88
25005640202,70,379,0,177
25005640300,113,341,1,490
25005640400,45,382,2,329
25005640500,60,612,2,248
25005640600,30,555,1,276
25005640700,34,328,3,573
25005640800,141,331,0,523
25005640901,26,493,2,73
25005641000,38,136,0,25
25005641101,31,149,1,19
25005641200,65,291,0,44
25005641300,129,458,1,159
25005641400,32,274,0,58
25005641500,20,304,0,111
25005641600,20,328,0,333
25005641700,67,434,4,989
25005641800,38,258,1,130
25005641900,22,272,0,43
25005642000,95,341,0,59
25005642100,52,188,0,271
25005642200,64,324,4,510
25005642300,26,111,0,780
25005642400,55,276,0,541
25005642500,187,181,7,1229
25005644101,127,88,107,2219
25005644102,78,158,52,1703
25005644200,367,176,103,2771
25005645101,120,77,73,1441
25005645102,233,62,180,2222
25005645103,418,36,81,1857
25005646101,339,381,6,3135
25005646103,252,237,3,2568
25005646104,162,128,18,2513
25005650101,151,199,275,1661
25005650102,192,80,39,1097
25005650201,191,207,207,777
25005650202,93,199,107,453
25005650300,102,461,95,447
25005650400,48,562,39,96
25005650500,37,538,61,109
25005650600,42,332,3,18
25005650700,35,247,3,17
25005650800,50,459,9,54
25005650900,156,189,42,190
25005651001,65,126,56,731
25005651002,208,178,86,896
25005651100,33,589,48,203
25005651200,59,194,4,7
25005651300,69,349,6,65
25005651400,22,523,19,145
25005651500,139,395,31,301
25005651600,29,683,50,430
25005651700,28,244,8,71
25005651800,108,171,6,18
25005651900,110,197,4,22
25005652000,36,420,15,116
25005652100,21,420,30,316
25005652200,31,391,78,555
25005652300,77,392,81,172
25005652400,59,372,46,135
25005652500,16,314,18,30
25005652600,72,283,14,25
25005652700,43,424,15,47
25005652800,60,532,106,554
25005653101,338,96,16,2580
25005653102,212,40,9,1808
25005653203,138,254,14,1854
25005653204,104,105,22,1204
25005653301,162,189,12,2209
25005653304,159,54,10,2374
25005654100,304,92,66,2949
25005654200,176,148,25,1266
25005655100,182,43,16,1702
25005655200,99,252,2,1295
25005655300,260,193,14,922
25005655400,90,91,16,2290
25005985500,92,6,2,645
25005985600,217,64,4,1157
25007200100,435,128,47,2815
25007200200,348,180,20,3990
25007200300,468,297,52,5550
25007200400,499,35,14,4914
25009201100,100,86,6,1240
25009202101,55,123,2,502
25009202103,48,69,1,444
25009202104,98,242,7,654
25009202200,75,199,12,1896
25009203100,97,51,6,2361
25009203200,114,107,10,1523
25009203301,107,200,16,926
25009203302,100,220,30,979
25009204101,127,492,14,379
25009204102,68,266,3,705
25009204200,73,625,11,195
25009204300,64,283,8,27
25009204400,66,503,16,289
25009204500,84,390,5,181
25009204600,110,693,18,693
25009204701,162,361,3,648
25009204702,83,417,3,1114
25009205100,22,355,0,1391
25009205200,102,484,1,818
25009205300,35,204,0,1397
25009205400,42,73,0,1668
25009205500,46,400,0,360
25009205600,72,134,14,654
25009205700,41,418,1,896
25009205800,94,309,2,216
25009205900,20,456,1,421
25009206000,23,201,3,102
25009206100,31,233,2,60
25009206200,13,428,4,160
25009206300,28,344,0,289
25009206400,34,558,0,633
25009206500,32,327,2,218
25009206600,30,478,0,331
25009206700,25,360,9,148
25009206800,39,185,0,103
25009206900,32,179,0,76
25009207000,74,108,0,72
25009207100,26,281,0,113
25009207200,208,183,1,133
25009208101,73,278,3,1340
25009208102,69,216,7,825
25009208200,136,172,4,1467
25009208301,82,47,3,770
25009208302,90,49,1,1600
25009208401,118,37,1,766
25009208402,75,69,2,756
25009209100,169,57,6,2107
25009209200,103,17,1,1949
25009210100,427,15,1,2241
25009210200,172,117,1,1659
25009210301,223,30,2,517
25009210302,236,82,15,861
25009210401,58,84,2,539
25009210402,162,229,3,1060
25009210500,70,201,6,2141
25009210600,107,196,0,1027
25009210700,95,477,4,327
25009210800,95,494,3,170
25009210900,83,299,1,935
25009211100,149,198,24,967
25009211201,161,209,17,466
25009211202,120,321,44,613
25009211300,70,80,16,2331
25009211401,216,25,10,693
25009211402,306,164,43,1697
25009212101,233,123,9,980
25009212102,159,149,1,1328
25009213100,114,1,1,3044
25009214100,238,118,5,2149
25009215101,118,20,4,1603
25009215102,163,42,10,898
25009216100,190,65,40,1299
25009217101,104,135,5,1142
25009217102,136,76,2,690
25009217201,32,111,1,1091
25009217202,29,211,2,1086
25009217300,173,447,4,443
25009217401,27,248,4,32
25009217402,87,334,25,143
25009217500,64,648,9,1058
25009217601,66,133,1,1334
25009217602,189,173,0,837
25009218100,202,127,39,1887
25009220101,169,297,47,1618
25009220102,95,184,30,965
25009221100,106,168,21,1636
25009221300,246,343,34,1498
25009221400,69,360,14,257
25009221500,173,225,12,87
25009221600,132,155,9,254
25009221700,73,254,23,285
25009221800,24,70,8,564
25009221901,113,204,10,976
25009221902,92,171,16,1242
25009222100,235,222,8,1226
25009223100,220,333,8,1411
25009223200,85,452,3,528
25009223300,260,189,1,1740
25009250100,72,111,0,0
25009250200,33,626,6,303
25009250300,48,180,4,34
25009250400,23,308,2,67
25009250500,19,306,0,45
25009250600,18,585,2,142
25009250700,43,475,2,106
25009250800,87,713,22,490
25009250900,9,99,1,14
25009251000,16,104,1,18
25009251100,40,144,1,14
25009251200,16,84,1,5
25009251300,82,245,2,71
25009251400,49,456,7,234
25009251500,215,595,5,248
25009251600,84,600,2,200
25009251700,124,387,3,313
25009251800,46,534,6,1481
25009252101,68,342,4,653
25009252102,104,341,4,1312
25009252201,57,148,0,965
25009252202,54,56,0,1113
25009252300,218,571,10,798
25009252400,59,413,4,277
25009252501,48,312,4,713
25009252502,91,194,5,1445
25009252601,121,396,5,1611
25009252602,162,67,51,1309
25009252603,20,108,5,855
25009253100,179,443,2,1006
25009253201,168,177,13,520
25009253202,153,157,14,713
25009253203,127,21,19,1420
25009253204,126,69,35,1689
25009253205,18,57,26,1372
25009254100,87,219,5,1508
25009254200,210,221,5,862
25009254301,224,28,3,1285
25009254302,83,25,0,1543
25009254401,44,29,4,967
25009254402,226,89,8,2064
25009254403,53,61,1,1200
25009260100,198,346,10,104
25009260200,85,292,14,132
25009260301,112,241,10,1318
25009260302,104,39,8,1220
25009260401,132,202,4,928
25009260402,78,294,2,1698
25009260500,49,196,7,1018
25009260600,79,299,6,423
25009260700,62,496,14,585
25009260800,58,610,4,155
25009260900,68,473,15,697
25009261000,122,418,12,565
25009261101,71,213,6,1559
25009261102,199,218,12,723
25009262100,188,220,14,2146
25009263100,114,127,33,1838
25009264100,179,220,0,2121
25009265101,140,72,2,1255
25009265102,91,94,1,1428
25009266100,188,94,16,1338
25009266200,67,333,28,951
25009266300,181,206,27,753
25009266400,71,170,18,860
25009267102,561,188,194,1435
25009267103,54,298,18,492
25009267104,88,71,34,414
25009268100,19,6,0,921
25009268200,303,372,62,1633
25009268300,129,445,42,283
25009268400,64,537,50,773
25009269100,304,221,28,2789
25009270100,362,135,13,1964
25011040100,569,83,322,2279
25011040200,470,84,340,1891
25011040300,295,82,5,1386
25011040400,263,81,152,1331
25011040501,199,224,45,1216
25011040502,305,70,63,1313
25011040600,189,75,30,2126
25011040701,213,310,13,749
25011040702,295,199,12,1711
25011040800,408,154,19,1962
25011040900,595,359,8,1867
25011041000,160,162,5,1215
25011041100,184,282,9,1265
25011041200,122,406,0,838
25011041301,84,395,4,258
25011041302,100,294,5,197
25011041400,179,220,17,369
25011041501,315,93,198,1660
25011041502,339,216,27,1541
25013800101,147,285,49,910
25013800102,130,565,20,333
25013800201,154,412,53,1644
25013800202,572,47,25,393
25013800300,94,231,67,1352
25013800400,87,680,57,1004
25013800500,48,324,24,526
25013800600,68,207,3,32
25013800700,70,183,46,173
25013800800,87,120,2,49
25013800900,81,340,7,46
25013801101,65,62,2,0
