CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
24001000100,445,18,332,2501
24001000200,299,31,221,1874
24001000500,183,17,25,596
24001000600,83,22,23,890
24001000700,115,33,22,967
24001000800,170,24,24,611
24001001000,140,38,14,489
24001001100,98,36,6,282
24001001200,76,24,26,1032
24001001300,139,16,67,842
24001001401,262,23,80,1931
24001001402,77,11,10,695
24001001502,104,8,104,924
24001001503,111,12,58,957
24001001600,40,10,75,704
24001001700,195,58,119,1719
24001001800,155,112,33,1054
24001001900,178,14,117,1221
24001002000,262,17,259,2358
24001002100,171,19,175,1425
24001002200,303,13,151,1785
24001002300,192,41,84,2178
24003701101,91,2,27,1294
24003701103,41,0,15,1089
24003701104,128,97,21,727
24003701201,83,3,29,1575
24003701202,47,2,45,1653
24003701301,121,0,10,1990
24003701302,154,0,22,2264
24003701400,206,7,29,1601
24003702100,133,7,26,2430
24003702204,21,26,6,1140
24003702205,139,94,11,1005
24003702206,26,111,10,948
24003702208,13,69,1,1116
24003702209,59,19,4,877
24003702300,181,0,16,2501
24003702402,319,73,39,1298
24003702500,103,27,34,1072
24003702601,53,6,2,1493
24003702602,45,16,22,2164
24003702702,84,0,24,1572
24003702703,42,55,7,473
24003702704,58,54,11,41
24003706102,89,38,16,472
24003706103,190,28,20,139
24003706302,190,61,24,848
24003706303,68,45,5,260
24003706304,70,30,6,208
24003706402,55,19,45,670
24003706403,31,16,34,632
24003706404,29,13,19,328
24003706500,264,75,53,1294
24003706600,274,34,58,1586
24003706700,183,1,3,4
24003707001,176,15,64,2492
24003707002,185,2,44,2264
24003708001,162,5,63,2074
24003708004,1088,2,418,1921
24003730101,31,5,33,787
24003730102,628,73,125,1648
24003730204,58,25,30,1806
24003730205,37,32,0,71
24003730206,31,31,53,795
24003730300,15,0,7,1251
24003730401,89,37,64,1470
24003730403,30,57,21,643
24003730404,29,5,13,762
24003730507,34,0,18,1197
24003730508,10,44,1,201
24003730509,62,65,11,898
24003730510,33,52,4,508
24003730511,29,15,0,0
24003730512,25,34,1,147
24003730513,103,8,1,103
24003730514,20,41,2,53
24003730601,101,13,18,2410
24003730603,94,5,30,1115
24003730605,37,0,9,630
24003730606,52,2,32,1269
24003730701,109,8,4,623
24003730702,35,1,16,1345
24003730800,44,1,19,963
24003730901,238,1,16,884
24003730902,119,0,39,1694
24003731002,103,19,10,817
24003731003,32,0,2,1398
24003731004,15,8,6,1142
24003731103,159,2,17,1424
24003731104,7,1,5,1180
24003731105,24,18,5,895
24003731106,16,119,5,451
24003731107,17,2,4,1090
24003731201,56,21,27,1536
24003731205,49,9,8,1189
24003731206,43,1,6,1077
24003731207,32,7,4,815
24003731208,44,0,13,1022
24003731209,171,54,12,990
24003731210,53,10,3,548
24003731303,147,3,93,2655
24003731306,142,19,49,2499
24003731307,81,42,8,1410
24003731308,27,3,25,1145
24003731309,55,3,17,1180
24003731310,17,8,20,1312
24003731312,34,3,35,1212
24003731313,29,1,20,560
24003740103,281,4,22,2660
24003740104,24,163,21,1562
24003740105,4,103,1,381
24003740106,206,27,37,898
24003740107,52,6,9,310
24003740108,316,28,101,695
24003740203,69,1,28,2284
24003740204,87,51,4,691
24003740205,58,11,4,859
24003740303,307,5,56,1441
24003740304,404,83,23,667
24003740305,94,111,16,847
24003740400,33,0,84,2
24003740501,78,57,72,297
24003740502,85,10,12,692
24003740601,686,1,23,104
24003740602,377,0,4,22
24003740603,800,1,7,39
24003740701,62,108,72,351
24003740703,12,11,3,1082
24003740704,222,70,28,940
24003740800,275,30,17,1798
24003740900,60,29,23,2092
24003741000,121,0,14,1128
24003750101,45,11,14,954
24003750102,22,6,2,381
24003750201,142,135,75,829
24003750204,174,15,40,1734
