CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
23001010100,115,132,10,34
23001010200,400,223,49,1106
23001010300,36,245,5,312
23001010400,65,90,19,569
23001010500,42,211,8,187
23001010600,135,160,127,1214
23001010700,440,107,108,1024
23001010800,46,216,18,1410
23001020100,80,37,8,0
23001020200,95,146,4,128
23001020301,144,114,1,73
23001020302,34,268,16,191
23001020303,24,189,6,16
23001020401,18,97,0,19
23001020402,108,103,5,151
23001020500,85,311,10,993
23001020600,266,110,91,1210
23001020700,109,225,20,1670
23001020801,81,100,120,1138
23001020802,220,159,254,1232
23001020900,241,210,112,940
23001030100,198,53,777,1408
23001030200,173,108,190,1688
23001040000,553,0,1538,267
23001041000,208,210,382,2543
23001041500,332,8,661,1996
23001042000,483,0,764,2114
23001043000,551,0,1009,80
23001044000,174,122,281,1212
23001045000,511,0,1090,78
23001046000,156,91,305,2132
23001046500,876,0,2358,866
23003950100,648,300,960,1281
23003950200,654,10,886,222
23003950300,386,14,280,1827
23003950400,621,3,715,346
23003950600,452,20,417,1568
23003950700,890,4,1711,516
23003950900,612,0,1110,352
23003951000,433,13,743,1408
23003951100,227,0,124,1669
23003951200,180,43,46,1156
23003951300,246,71,71,1300
23003951400,202,26,41,1023
23003951600,420,40,111,866
23003951700,578,28,202,2464
23003951800,342,52,225,1127
23003951900,117,44,71,982
23003952000,357,52,230,867
23003952100,500,4,610,883
23003952300,871,0,1352,623
23003952400,419,137,78,1289
23003952500,434,123,78,974
23003952600,868,0,1481,323
23003952700,637,6,1267,392
23003952900,882,0,1600,763
23005000100,51,243,21,124
23005000200,25,280,23,70
23005000300,346,81,0,14
23005000500,176,131,14,85
23005000600,119,127,3,37
23005001000,33,171,2,31
23005001100,62,181,19,48
23005001200,22,130,5,35
23005001300,160,244,23,217
23005001500,119,362,27,395
23005001700,70,306,121,1188
23005001800,91,297,126,881
23005001900,95,332,59,929
23005002001,228,37,158,919
23005002002,272,158,85,545
23005002101,135,78,69,1800
23005002102,508,168,295,971
23005002200,228,217,222,986
23005002300,224,253,156,592
23005002400,172,18,396,1282
23005002501,174,178,11,1151
23005002503,115,59,13,1444
23005002504,110,141,10,1618
23005002600,172,68,34,1177
23005002700,116,235,47,945
23005002800,285,235,10,419
23005002901,284,148,238,612
23005002902,133,160,44,649
23005003001,224,122,25,1241
23005003002,344,303,17,1
23005003100,271,308,27,976
23005003200,110,268,13,782
23005003300,227,148,40,1138
23005003400,65,160,51,1809
23005003500,171,347,32,911
23005003701,85,94,5,1680
23005003702,144,90,28,2228
23005004001,312,65,39,1270
23005004002,340,347,108,2128
23005004100,196,207,88,2848
23005004201,172,30,120,1544
23005004202,248,47,327,1809
23005004401,166,177,28,1619
