CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
26001000100,131,3,44,2589
26001970100,204,7,22,2553
26001970400,248,9,24,3187
26001970500,203,0,26,3445
26001970600,65,0,11,1334
26003000100,474,12,32,2543
26003000200,334,10,19,2103
26003000300,382,0,18,2430
26005030200,55,172,2,1577
26005030301,782,23,80,1302
26005030302,1052,88,132,2267
26005030402,795,80,41,2389
26005030403,426,47,31,1837
26005030404,278,89,86,1409
26005030501,337,21,209,1396
26005030502,574,80,27,1202
26005030600,1305,17,307,2216
26005030702,425,161,420,1750
26005030703,128,9,72,1196
26005030704,479,111,163,1531
26005030801,208,313,44,1057
26005030802,302,208,133,1381
26005030901,622,93,384,1866
26005030902,337,65,356,1643
26005031001,165,19,467,548
26005031002,396,1,271,1678
26005031101,554,61,399,1315
26005031102,635,24,312,1316
26005031200,269,92,35,1644
26005031300,994,26,248,2367
26005031800,305,54,178,2048
26005031900,360,50,163,1691
26005032000,464,128,176,1620
26005032100,252,27,134,1943
26005032200,271,126,60,1144
26005032401,501,73,2,203
26005032402,855,42,10,1870
26005032600,9,118,1,306
26007000101,502,0,2,1166
26007000102,1171,0,7,2612
26007000200,1403,0,10,2802
26007000300,302,8,27,2574
26007000400,194,0,6,1179
26007000500,124,0,6,778
26007000600,99,18,2,1241
26007000700,202,2,21,1240
26007000800,165,0,2,1569
26007000900,221,0,12,1497
26009960100,594,13,77,2095
26009960200,662,24,81,2444
26009960300,412,30,44,2263
26009960401,191,209,24,551
26009960402,309,36,45,1585
26009960501,272,30,46,1749
26009960502,177,19,28,991
26009960600,538,40,104,1993
26009960701,697,15,93,1858
26009960702,180,7,26,656
26011970100,594,0,114,1768
26011970200,719,0,108,2491
26011970300,545,0,131,1634
26011970400,464,42,84,2284
26011970500,812,4,92,2084
26013000100,1180,0,1196,761
26013000200,1536,2,1200,676
26015010100,324,7,318,3392
26015010200,202,60,47,3759
26015010301,362,52,20,1165
26015010302,132,49,44,2469
26015010401,140,2,63,2385
26015010403,191,87,40,1793
26015010404,151,20,12,867
26015010500,144,0,154,2268
26015010601,203,22,80,2061
26015010602,117,0,204,2059
26015010700,153,2,337,3370
26015010800,94,0,270,2516
26015011301,374,25,19,1438
26015011302,109,32,118,1830
26015011401,91,9,226,1367
26015011402,225,49,45,1545
26017280300,62,20,3,327
26017280400,94,3,5,771
26017280500,90,0,6,1542
26017280600,75,0,5,1194
26017280700,126,6,21,1003
26017280800,62,0,3,1807
26017280900,161,0,10,1199
26017281000,286,0,5,1617
26017281300,189,5,1,1403
26017285100,123,3,10,1616
26017285201,450,42,34,2068
26017285202,509,29,13,1099
26017285300,868,0,12,2689
26017285400,409,75,16,1487
26017285500,419,124,9,2927
26017285600,820,12,26,3260
26017285700,627,0,10,1761
26017285800,318,140,31,2178
26017285900,631,3,16,2244
26017286000,92,0,5,2035
26017286101,323,0,50,2328
