CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
27001770100,313,28,450,3335
27001770200,277,12,333,2513
27001770300,379,17,124,1841
27001770401,167,27,273,1658
27001770402,285,10,381,1801
27001790501,250,27,475,2734
27001790503,111,39,341,2370
27001790504,98,19,190,1603
27003050107,147,4,359,940
27003050108,169,31,1,1855
27003050109,218,0,168,2576
27003050110,136,1,82,1225
27003050111,96,0,7,1829
27003050114,62,0,2,1499
27003050115,218,0,2,2867
27003050116,568,1,2,2544
27003050208,95,0,0,1076
27003050210,342,3,6,2362
27003050215,178,8,2,1597
27003050216,167,6,0,2164
27003050217,75,0,2,1483
27003050218,74,0,1,1416
27003050219,8,0,0,1202
27003050220,88,31,7,2144
27003050222,5,0,0,1827
27003050223,37,0,1,1309
27003050224,25,0,2,1617
27003050226,26,6,3,947
27003050227,92,4,5,1311
27003050228,233,34,82,1626
27003050229,94,4,18,1539
27003050230,93,0,2,922
27003050232,87,7,3,1343
27003050233,115,17,5,1200
27003050234,58,4,3,1413
27003050235,137,3,244,1140
27003050236,46,0,3,1558
27003050237,96,0,112,1634
27003050238,41,2,0,1257
27003050239,15,0,0,987
27003050240,11,2,0,840
27003050241,61,2,0,1161
27003050401,218,74,4,851
27003050402,71,112,4,770
27003050501,139,125,10,886
27003050504,80,71,8,937
27003050505,97,69,17,1469
27003050602,38,26,1,938
27003050605,60,36,3,1831
27003050606,14,38,4,452
27003050607,90,149,4,1292
27003050608,58,160,249,648
27003050609,122,14,4,1228
27003050611,40,108,2,926
27003050612,1,21,2,892
27003050702,44,30,4,1273
27003050704,85,28,3,1837
27003050706,48,91,2,793
27003050707,12,1,0,1898
27003050709,21,16,11,791
27003050710,148,21,6,1033
27003050711,47,36,2,1561
27003050712,20,107,7,971
27003050807,19,12,436,1116
27003050808,22,8,0,979
27003050810,33,146,454,639
27003050811,79,19,6,1364
27003050816,188,51,0,1957
27003050818,28,0,20,1708
27003050819,19,0,5,1477
27003050820,29,14,2,1066
27003050821,126,0,1,980
27003050822,23,35,0,727
27003050823,46,47,0,1190
27003050824,63,55,3,930
27003050825,10,21,0,1096
27003050826,47,7,500,665
27003050827,20,4,2,741
27003050828,65,17,847,365
27003050829,553,6,3,1213
27003050901,57,58,122,672
27003050902,44,60,1,1712
27003051001,168,59,112,635
27003051002,34,32,3,1502
27003051101,180,62,3,1519
27003051102,82,18,338,1398
27003051103,72,81,96,841
27003051201,40,117,4,744
27003051202,69,39,5,1219
27003051203,55,110,2,1578
27003051206,143,67,6,893
27003051302,52,79,4,1313
27003051304,18,31,7,1129
27003051305,54,37,254,1052
27003051400,100,111,19,1857
27003051501,70,54,7,858
27003051502,15,31,2,1196
27003051600,247,0,85,2794
27005450100,274,6,343,2978
27005450200,170,5,280,2452
27005450300,304,22,511,3693
27005450400,266,6,243,2225
27005450500,378,95,106,1548
27005450600,196,99,51,1481
27005450700,192,41,314,2819
27005450800,262,11,393,2171
27005450900,339,24,448,3704
27005940000,614,17,409,3545
27007450101,172,59,90,1279
27007450102,196,59,157,3686
27007450201,26,2,78,936
27007450202,279,80,272,2383
27007450300,280,95,675,3766
27007450400,246,143,356,2721
27007450500,237,62,517,2405
27007450600,184,57,23,1317
27007450703,184,62,41,211
27007450704,251,71,51,1344
27007450705,34,8,73,1152
27007450706,213,23,22,1080
27007940001,69,2081,51,197
27007940002,280,254,672,1056
27009020100,692,41,104,3454
27009020202,510,30,86,2854
27009020203,367,14,67,1496
27009020205,163,9,306,1489
27009020206,89,20,164,601
27009020300,419,11,43,2161
27009021102,181,79,44,1239
27009021103,68,68,24,654
27009021104,91,16,6,1511
27009021201,332,147,17,1004
27011950100,2066,0,92,910
27011950200,1484,1,239,1048
27011950300,329,17,67,1073
27013170100,192,71,133,2403
27013170200,635,57,22,2642
27013170300,431,149,84,1239
27013170400,173,110,30,1177
27013170500,312,62,64,1183
27013170600,66,164,4,382
27013170700,135,207,15,328
27013170800,102,140,16,2149
27013170900,381,38,27,2915
27013171000,178,29,56,1854
27013171101,35,134,5,598
27013171202,85,368,75,896
27013171300,175,8,15,3536
27013171400,390,41,48,3562
27013171500,392,18,13,3745
27013171600,117,44,123,818
27015960101,191,40,5,1016
27015960102,127,10,77,472
27015960200,108,28,2,2041
27015960300,64,27,3,1832
27015960400,734,21,15,4379
27015960500,319,36,8,1893
27015960600,432,25,14,2687
27015960700,714,2,26,5675
27017070100,262,148,116,2385
27017070200,192,71,34,1653
27017070300,271,24,50,3545
27017070401,199,40,30,1641
27017070402,890,48,246,2559
27017070501,299,61,120,1043
27017070502,854,49,192,1830
27017070600,1593,87,644,1955
27017940000,519,22,252,1279
27019090101,70,1,2,1586
27019090102,199,21,13,1019
27019090200,380,16,55,3240
27019090302,114,5,20,1941
27019090303,117,32,21,1113
27019090304,83,0,11,1419
27019090401,102,11,10,2562
27019090402,113,18,8,2022
27019090501,33,9,9,947
27019090502,13,29,11,782
27019090503,16,4,0,836
27019090601,76,136,6,940
27019090602,5,0,1,1101
27019090702,80,1,15,971
27019090703,191,33,2,1189
27019090704,34,5,3,543
27019090801,56,98,5,1607
27019090802,17,0,2,685
27019090901,585,0,1,743
27019090902,140,35,0,504
27019091001,315,80,43,847
27019091002,87,13,8,1624
27019091100,260,7,39,3439
27019091201,265,64,40,2343
27019091202,187,7,18,2391
27021940001,681,233,2008,2436
27021940002,728,237,712,1243
27021960100,525,109,984,1157
27021960200,451,153,2441,1518
27021960301,145,112,1303,896
27021960302,213,75,1240,966
27021960600,649,106,1145,1927
27021960700,1527,67,557,2140
27021960801,388,61,1084,1937
27021960803,607,69,351,1016
27021960804,703,69,821,1287
27023950300,887,52,41,1119
27023950400,1368,30,2,1286
27023950500,1985,60,15,1543
27023950601,212,56,14,1196
27023950602,317,47,8,1284
27025110100,165,0,506,3306
27025110201,186,8,78,905
27025110202,187,3,153,3163
27025110301,164,46,45,1642
27025110302,151,8,60,2398
27025110402,103,3,207,2347
27025110403,85,6,10,2146
27025110404,171,11,85,1604
27025110501,144,8,260,1605
27025110503,107,25,93,1730
27025110504,64,31,39,947
27025110600,99,0,93,3596
27025110700,254,10,170,2509
27027020300,145,112,23,673
27027020400,110,141,1,401
27027020500,59,85,4,1602
27027020600,234,83,4,1322
27027020700,55,38,2,943
27027030106,156,20,13,795
27027030107,189,16,2,1980
27027030108,109,216,2,470
27027030109,38,39,3,1109
27027030110,228,58,3,2367
27027030111,270,74,66,1752
27027030112,145,61,101,1461
27027030201,528,58,80,4144
27027030202,404,56,42,3554
27027030300,162,44,206,1253
27027030400,63,37,18,738
27029000100,775,24,45,1418
27029000200,1841,7,406,1781
27029000300,2022,16,322,1998
27031480101,366,82,1010,662
27031480102,570,173,1225,1200
27031480200,237,125,349,1133
27031990000,22,2,55,12
27033270100,942,15,3,1946
27033270200,1362,28,28,2450
27033270300,1143,48,19,2601
27033270400,843,55,15,1764
27035950100,153,9,1185,1620
27035950204,348,18,1070,1081
27035950401,367,56,491,1832
27035950402,95,2,820,963
27035950501,235,24,899,1553
27035950502,135,9,835,1767
27035950701,190,73,287,1206
27035950702,164,180,254,1401
27035950801,191,35,948,1452
27035950802,291,6,208,1991
27035950901,176,17,259,1420
27035950902,146,26,472,1344
27035951000,153,18,62,1836
27035951100,378,40,265,1299
27035951200,204,44,15,962
27035951301,238,47,86,1861
27035951303,88,57,25,1028
27035951304,172,38,11,821
27035951400,269,12,494,4007
27035951600,218,35,900,1998
27035951700,355,16,2261,2148
27037060101,37,91,15,1524
27037060102,50,115,8,1232
27037060103,24,25,2,1117
27037060104,132,143,6,1184
27037060105,170,119,7,787
27037060201,10,47,1,1020
27037060202,53,119,1,1286
27037060301,197,278,15,1427
27037060302,25,79,1,1346
27037060401,19,105,4,1188
27037060402,112,114,39,1594
27037060502,233,118,6,1476
27037060503,42,81,179,1691
27037060505,102,91,8,992
27037060506,122,79,55,1233
27037060507,49,55,1,945
27037060508,167,1,412,2143
27037060509,59,4,157,1475
27037060603,44,13,9,1665
27037060604,44,8,3,1023
27037060605,185,14,5,467
27037060606,30,2,2,879
27037060709,28,26,10,1572
27037060710,225,99,11,890
27037060711,96,84,11,553
27037060713,26,11,3,961
27037060714,19,41,3,1258
27037060716,45,10,8,1050
27037060717,382,36,8,655
27037060721,46,67,1,538
27037060725,180,71,5,358
27037060726,131,40,6,540
27037060727,74,63,2,387
27037060728,25,104,14,1105
27037060729,53,25,9,1288
27037060731,51,77,10,1648
27037060732,44,28,6,1897
27037060733,44,18,4,966
27037060734,17,0,5,1595
27037060735,60,98,7,1252
27037060737,20,89,6,627
27037060738,30,26,17,646
27037060739,135,25,569,1300
27037060742,13,21,3,1357
27037060743,1,124,0,134
27037060744,50,39,8,535
27037060745,101,38,4,719
27037060746,244,21,2,444
27037060747,35,78,7,689
27037060748,234,4,8,890
27037060749,3,13,1,162
27037060750,15,66,2,862
27037060751,26,19,1,805
27037060752,10,0,0,1135
27037060753,17,21,0,293
27037060754,46,147,2,698
27037060805,3,105,363,290
27037060806,105,26,7,1640
27037060811,112,75,4,1378
27037060812,25,41,10,1722
27037060813,77,5,161,1281
27037060814,83,49,56,1832
27037060815,66,51,5,1391
27037060816,32,18,8,1902
27037060819,38,53,3,1963
27037060822,85,12,2,459
27037060823,90,44,1,1201
27037060824,50,16,6,1048
27037060828,76,58,4,341
27037060829,26,58,7,363
27037060830,28,27,10,1358
27037060831,61,0,5,1738
27037060832,11,0,525,868
27037060833,51,2,6,902
27037060834,51,3,1,929
27037060835,107,10,4,1697
27037060836,219,41,201,1061
27037060837,63,45,8,1134
27037060838,26,15,0,1193
27037060839,44,20,10,1072
27037060840,22,6,3,1084
27037060841,57,5,5,1097
27037060902,103,1,2,1007
27037060904,176,100,11,1299
27037060905,116,26,6,1572
27037060906,15,2,3,1100
27037060907,80,0,17,2426
27037061001,388,21,6,2761
27037061003,718,11,16,1144
27037061005,20,87,4,751
27037061007,70,5,1,1308
27037061008,71,28,209,539
27037061009,23,5,3,1591
27037061010,5,8,1,1145
27037061011,32,2,0,779
27037061102,81,130,9,1256
27037061105,42,63,4,942
27037061106,37,71,5,635
27037061109,187,87,6,838
27037061110,35,97,253,651
27037061111,17,4,6,1094
27037061112,48,65,1,912
27037061401,190,11,5,2114
27037061402,363,36,7,2831
27037061501,354,13,6,2186
27037061502,236,23,5,2068
27039950100,199,17,90,3461
27039950200,332,59,160,2642
27039950300,200,29,81,2106
27039950400,289,16,93,3330
27039950500,168,81,250,2261
27041450100,329,54,709,3136
27041450200,397,48,413,2501
27041450500,287,31,219,3045
27041450601,208,50,85,1132
27041450602,64,13,65,990
27041450702,210,13,83,1101
27041450703,310,50,17,428
27041450704,260,42,11,1052
27041450800,275,42,214,2293
27041450900,188,31,426,2504
27041451000,269,47,828,2626
27043460100,1629,24,8,1886
27043460200,905,35,70,1722
27043460300,1229,41,27,1903
27043460400,369,69,37,1620
27043460500,1716,34,13,2267
27043460600,536,36,9,1469
27045960100,359,16,184,2291
27045960200,670,23,222,3986
27045960300,413,11,138,2534
27045960400,850,19,196,3686
27045960500,576,14,163,3734
27045960600,550,17,222,3423
27047180100,404,5,140,3083
27047180200,470,8,110,2906
27047180300,449,10,65,3080
27047180400,66,32,10,1037
27047180500,170,59,26,1475
27047180600,286,59,157,1139
27047180700,264,7,99,1832
27047180800,139,86,7,555
27047180900,114,72,10,915
27047181000,321,7,79,2764
27049080101,104,132,172,1102
27049080102,56,115,6,2218
27049080201,373,152,42,1205
27049080202,614,36,218,1540
27049080300,1547,27,284,2117
27049080400,2664,15,169,1904
27049080500,2061,28,88,1889
27049080600,370,82,218,1740
27049080700,1921,47,122,1867
27049080800,1280,67,149,1804
27049080900,1441,83,110,2589
27051070100,732,58,369,2520
27051070200,1000,37,71,2544
27053000101,60,37,6,1419
27053000102,58,83,10,2056
27053000300,18,51,3,1581
27053000601,101,158,15,2316
27053000603,10,30,12,1702
27053001100,32,274,20,622
27053001700,54,321,8,434
27053002200,31,121,6,289
27053002400,56,355,4,358
27053002700,15,64,4,804
27053003200,7,77,3,577
27053003300,55,125,8,434
27053003801,19,166,0,75
27053003802,14,110,1,72
27053005901,32,91,7,9
27053005902,65,149,7,56
27053006800,26,318,0,127
27053007700,92,147,3,55
27053007801,33,90,2,63
27053008100,43,398,5,477
27053008200,40,328,6,308
27053008300,49,182,3,234
27053008400,24,218,16,445
27053008500,73,377,11,529
27053009500,27,183,12,723
27053009600,33,215,5,1129
27053010600,12,118,4,1137
27053010700,18,126,0,937
27053011000,41,125,8,1664
27053011703,23,136,13,1805
27053011704,14,65,4,1524
27053011800,26,124,6,2343
27053011998,51,98,4,1915
27053012001,20,132,7,3061
27053012003,102,186,9,1411
27053012101,11,79,4,1053
27053012102,71,54,9,1666
27053020101,24,23,4,1305
27053020102,66,8,89,707
27053020201,94,21,10,523
27053020202,44,93,15,1025
27053020301,37,16,15,1050
27053020302,22,39,15,589
27053020303,14,14,31,1618
27053020304,34,32,20,974
27053020400,101,118,22,1209
27053020500,13,57,19,1538
27053020600,6,4,6,875
27053020700,162,17,9,1866
27053020801,31,16,6,1050
27053020804,61,59,1,1108
27053020902,21,14,4,964
27053020903,37,19,3,1538
27053021001,28,89,17,2006
27053021002,5,45,2,528
27053021100,11,92,4,757
27053021200,16,61,22,1901
27053021300,86,153,7,1379
27053021400,17,80,13,1376
27053021501,17,77,11,1040
27053021502,52,68,16,464
27053021503,111,82,17,1326
27053021504,46,61,15,1137
27053021505,63,88,32,1099
27053021601,111,42,11,1414
27053021602,181,117,25,1577
27053021700,32,32,26,2109
27053021800,52,12,10,840
27053021900,120,41,16,1100
27053022000,81,111,0,180
27053022101,63,46,5,831
27053022102,30,25,2,804
27053022200,27,63,1,1455
27053022301,6,1,5,605
27053022302,35,79,5,747
27053022400,35,32,1,1702
27053022700,35,40,4,1313
27053022801,12,3,2,891
27053022802,59,112,9,533
27053022901,108,117,11,911
27053022902,8,5,0,843
27053023000,125,155,2,1187
27053023100,17,11,0,803
27053023201,28,76,3,393
27053023202,37,146,2,261
27053023300,188,207,38,1615
27053023401,58,153,3,496
27053023402,45,15,5,464
27053023501,19,42,3,1255
27053023502,22,49,3,1675
27053023600,32,36,2,1366
27053023700,33,16,2,1724
27053023801,20,69,3,1947
27053023802,3,30,3,1247
27053023901,7,8,3,1368
27053023902,50,7,6,686
27053023903,129,26,2,692
27053024003,79,77,1,717
27053024004,30,54,7,62
27053024005,40,65,4,66
27053024006,8,4,2,633
27053024100,77,47,18,1438
27053024200,14,16,1,1701
27053024300,20,62,3,965
27053024400,59,136,4,722
27053024500,19,20,4,1149
27053024600,63,73,8,1345
27053024700,34,26,7,1476
27053024801,11,39,3,1038
27053024802,26,35,5,747
27053024903,19,67,7,709
27053024904,49,35,12,1521
27053025100,112,65,3,315
27053025201,58,111,9,1319
27053025205,40,33,17,2385
27053025301,13,12,7,1040
27053025302,25,146,9,1503
27053025401,125,28,9,1705
27053025403,42,106,9,1025
27053025601,70,30,3,938
27053025603,50,17,10,1652
27053025605,76,42,3,1039
27053025702,93,49,11,1493
27053025703,20,25,2,575
27053025704,17,49,6,1030
27053025801,28,64,5,839
27053025802,6,1,4,1289
27053025803,36,39,9,1397
27053025805,19,17,4,1207
27053025905,37,25,11,1100
27053025906,70,100,6,1184
27053025907,56,198,7,1174
27053025908,52,27,5,974
27053025909,56,29,2,745
27053026005,47,56,5,1133
27053026006,82,118,1,532
27053026007,344,83,6,853
27053026013,3,5,2,1622
27053026014,71,27,0,1618
27053026015,91,44,1,1584
27053026019,99,90,7,0
27053026020,68,178,7,568
27053026021,35,47,4,1100
27053026023,49,61,2,619
27053026024,21,9,1,1083
27053026025,4,0,7,885
27053026026,11,13,6,1282
27053026027,40,38,3,1329
27053026028,178,0,3,816
27053026101,29,18,16,1283
27053026103,65,17,6,1113
27053026104,126,95,0,339
27053026201,28,15,7,1146
27053026202,39,0,8,1174
27053026205,30,6,5,1203
27053026206,28,4,10,1159
27053026207,20,66,5,1038
27053026208,47,10,16,1222
27053026301,41,7,12,1056
27053026302,49,10,7,1487
27053026403,42,57,7,491
27053026404,70,47,10,1703
27053026405,51,15,9,753
27053026406,33,54,0,271
27053026505,11,84,7,1128
27053026507,124,77,23,1186
27053026508,54,89,3,1167
27053026509,15,11,0,1586
27053026510,46,60,0,574
27053026511,7,43,2,616
27053026514,368,30,2,539
27053026515,25,21,6,494
27053026516,66,46,10,1183
27053026605,32,7,5,1158
27053026606,12,9,2,1545
27053026609,23,4,3,1257
27053026610,19,29,4,1559
27053026611,48,174,2,914
27053026614,17,29,1,1128
27053026615,41,64,13,1318
27053026616,57,40,39,2049
27053026617,28,14,2,539
27053026702,119,56,11,790
27053026706,3,0,4,1197
27053026707,122,6,4,2068
27053026708,90,24,6,1702
27053026711,35,56,4,792
