CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
29001950100,318,7,461,3692
29001950200,367,0,398,2755
29001950300,348,108,183,813
29001950400,253,130,30,1370
29001950501,142,117,169,1441
29001950502,183,85,63,1116
29001950900,73,86,3,615
29001951000,47,4,2,17
29003010100,254,7,265,3621
29003010201,125,13,147,1615
29003010202,152,17,117,1467
29003010300,120,0,159,938
29003010400,208,0,350,3251
29005950100,460,28,117,3424
29005950200,458,9,113,2740
29007950100,205,6,185,1413
29007950200,1096,2,593,5304
29007950300,620,0,491,3171
29007950400,330,17,67,997
29007950500,225,9,86,1399
29007950600,107,12,50,1126
29007950700,228,24,63,1315
29009960101,277,2,587,2164
29009960102,404,9,580,2174
29009960201,433,15,487,2273
29009960202,337,18,444,2215
29009960301,234,103,28,1368
29009960302,288,80,82,1086
29009960401,430,13,809,2536
29009960402,458,28,679,2450
29009960500,601,69,446,3011
29009960600,339,22,482,2256
29011960100,360,9,620,2647
29011960200,601,0,685,3827
29011960300,495,2,260,2232
29013070100,788,41,600,3879
29013070200,840,13,793,3693
29013070300,493,47,116,1893
29013070400,651,16,387,2291
29015460100,497,10,346,2798
29015460200,380,7,168,1831
29015460300,431,44,357,2413
29015460400,317,2,619,1728
29015460701,249,4,178,972
29015460702,213,2,288,1074
29015460801,320,7,417,1417
29015460802,276,6,429,1599
29017950100,742,13,818,3661
29017950200,498,44,402,2650
29017950300,488,1,569,2264
29019000200,65,130,5,246
29019000300,32,149,38,285
29019000500,197,24,10,15
29019000600,43,103,1,1829
29019000700,63,171,12,1410
29019000900,332,91,13,498
29019001001,164,161,30,731
29019001003,178,212,123,843
29019001004,426,88,94,703
29019001105,176,132,24,260
29019001106,224,486,165,624
29019001107,75,215,0,949
29019001108,77,150,7,659
29019001109,123,364,2,1064
29019001110,40,183,21,2253
29019001201,43,193,1,1912
29019001202,86,97,4,1595
29019001300,247,229,6,273
29019001401,170,209,28,1900
29019001402,268,205,21,1595
29019001503,155,198,151,886
29019001505,52,346,275,576
29019001506,192,223,17,507
29019001507,313,102,148,723
29019001508,118,319,15,1250
29019001602,309,127,93,2283
29019001603,52,125,78,1399
29019001604,83,287,3,887
29019001702,271,77,121,2808
29019001703,227,74,177,1641
29019001704,188,58,146,2153
29019001803,160,48,262,2315
29019001806,105,109,61,1980
29019001807,20,198,4,1475
29019001901,149,22,458,2676
29019001903,183,26,461,2455
29019001904,210,47,232,1959
29019002000,340,80,143,2120
29019002100,226,165,27,511
29019002200,217,5,9,0
29021000100,112,192,125,1610
29021000200,74,117,24,1666
29021000300,184,42,45,998
29021000400,43,54,5,432
29021000500,53,39,39,844
29021000600,136,50,20,1243
29021000701,304,136,98,985
29021000702,192,203,14,922
29021000900,46,136,11,1591
29021001000,94,155,16,391
29021001100,74,99,18,553
29021001200,173,42,10,194
29021001500,55,118,14,1780
29021001600,58,32,29,1108
29021001700,176,75,60,1344
29021001800,160,40,140,1226
29021002100,80,18,26,808
29021002200,143,1,33,876
29021002300,45,10,18,986
29021002400,78,29,4,727
29021002500,65,7,69,1032
29021002700,449,23,70,2778
29021002800,355,18,195,3491
29021002900,442,6,348,1761
29021003001,478,76,52,733
29021003002,92,91,18,643
29023950101,246,56,245,1591
29023950102,245,13,291,975
29023950201,278,31,246,2452
29023950202,348,54,692,2616
29023950301,168,23,22,1501
29023950302,187,131,16,934
29023950400,48,62,43,1003
29023950500,292,29,75,727
29023950600,557,11,519,2204
29023950700,259,85,79,1076
29023950800,213,104,62,1011
29023950900,695,23,475,1750
29025950100,409,15,359,2945
29025950201,397,0,385,2559
29025950202,231,11,306,1886
29027070100,513,25,853,3698
29027070200,305,4,773,3121
29027070301,181,89,49,985
29027070302,125,68,93,1019
29027070400,508,133,121,1612
29027070500,263,34,659,2902
29027070601,125,32,372,2199
29027070602,138,9,268,2430
29027070701,75,0,197,1456
29027070702,124,19,344,1920
29027070800,353,101,344,2469
29029950101,562,44,8,560
29029950102,495,64,68,398
29029950201,925,120,123,969
29029950202,615,36,25,590
29029950301,317,62,48,415
29029950302,288,6,54,223
29029950401,192,26,24,397
29029950402,298,25,41,432
29029950500,291,55,99,1375
29029950600,486,34,252,1197
29029950701,713,12,176,988
29029950702,531,5,164,957
29029950801,237,0,364,1387
29029950802,347,49,470,1821
29029950900,214,4,569,2101
29029951101,628,25,37,558
29029951102,448,5,90,379
29029951201,490,3,89,415
29029951202,534,10,33,286
29031880100,560,68,756,4683
29031880200,199,24,407,2792
29031880300,346,58,644,3677
29031880401,184,314,175,1769
29031880402,195,50,54,862
29031880501,121,83,23,1918
29031880502,206,137,46,1507
29031880600,389,108,432,3489
29031880700,33,55,20,1729
29031880800,106,43,14,602
29031880900,37,86,11,707
29031881000,163,89,8,264
29031881100,172,36,22,1279
29031881200,151,144,34,2327
29031881301,100,165,34,911
29031881302,156,168,15,399
29031881400,349,48,158,665
29031881500,557,171,304,1996
29031881600,86,80,8,879
29033960100,611,0,372,2419
29033960200,824,0,430,3298
29033960300,360,8,164,1763
29035960100,461,1,345,1994
29035960200,411,5,399,1116
29037060001,155,1,25,1745
29037060003,114,0,203,859
29037060004,399,11,313,1499
29037060100,74,0,4,390
29037060202,78,8,38,2077
29037060305,9,0,14,1703
29037060306,117,10,12,1885
29037060307,56,1,10,1015
29037060308,52,1,64,1731
29037060309,73,0,109,1534
29037060401,7,0,0,753
29037060402,175,0,153,1962
29037060500,86,0,240,2314
29037060601,103,0,41,1580
29037060602,160,3,46,1453
29037060700,205,0,254,2771
29037060800,299,2,273,4151
29037060904,333,2,89,1072
29037061001,129,0,173,2889
29037061002,196,5,175,2784
29037061100,267,17,264,3344
29037061200,245,2,265,2769
29037061300,180,1,58,1909
29037061400,220,6,66,1635
29039870101,250,6,251,2322
29039870102,394,0,347,3091
29039870200,435,28,196,2905
29039870300,440,32,244,2123
29041470100,1036,3,57,3360
29041470200,821,16,61,2172
29041470300,787,7,64,2568
29043020101,203,18,79,2206
29043020102,171,49,117,2804
29043020201,76,30,20,2156
29043020202,561,143,18,2184
29043020204,109,75,60,1491
29043020205,98,235,17,2039
29043020206,66,47,10,1348
29043020207,67,57,16,1409
29043020302,127,56,44,2122
29043020303,191,131,38,2378
29043020304,97,43,62,1197
29043020307,208,118,30,1265
29043020308,46,98,4,692
29043020309,153,90,67,310
29043020310,89,97,31,2600
29043020401,154,1,86,2852
29043020402,235,48,157,2007
29043020501,233,3,233,2419
29043020502,212,1,155,2095
29045950100,649,0,9,2860
29045950200,349,0,15,2144
29045950300,313,2,7,1909
29047020201,83,108,3,1395
29047020202,103,53,5,1489
29047020300,121,91,0,1887
29047020400,59,36,0,781
29047020500,93,132,10,1876
29047020602,116,180,8,641
29047020603,136,104,9,1617
29047020604,63,121,14,1794
29047020802,143,45,99,790
29047020803,102,83,155,893
