CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
28001000101,901,11,447,1186
28001000102,480,3,224,1222
28001000200,743,0,217,1635
28001000300,72,9,83,781
28001000400,303,114,57,755
28001000500,600,32,106,1302
28001000600,199,27,48,852
28001000700,222,27,48,654
28001000800,536,16,189,934
28001000900,290,22,28,1325
28003950100,327,41,214,3128
28003950201,152,101,7,1274
28003950202,143,11,16,1775
28003950300,348,89,174,1524
28003950401,341,17,284,1748
28003950402,235,8,301,1108
28003950501,572,36,113,1818
28003950502,357,146,85,796
28003950600,307,5,384,1874
28003950700,531,8,464,2518
28005950100,527,12,528,3330
28005950200,410,95,377,2689
28005950301,204,0,292,1912
28005950302,238,1,319,1933
28007060100,644,8,370,1483
28007060200,555,1,311,1524
28007060300,641,0,392,1686
28007060400,444,0,255,1575
28007060500,404,33,22,1611
28007060600,410,62,40,1097
28009950101,394,1,420,1421
28009950102,553,1,397,1884
28009950200,225,11,329,1164
28011950100,700,71,294,1471
28011950200,547,63,193,1154
28011950300,444,71,125,1278
28011950400,886,75,266,1856
28011950500,772,74,400,2391
28011950601,124,68,5,1246
28011950602,280,128,10,1262
28011950701,538,79,35,1048
28011950702,205,81,35,1036
28013950100,1128,5,295,2433
28013950200,410,14,16,564
28013950300,727,3,175,1281
28013950400,541,3,187,1124
28013950500,359,12,51,754
28015950100,1348,7,572,2239
28015950201,974,18,456,1857
28015950202,313,0,186,696
28017950100,551,34,262,1728
28017950200,472,41,377,1553
28017950300,744,75,155,1702
28017950401,411,0,263,1333
28017950402,390,0,263,1660
28019950100,807,0,251,1144
28019950200,1287,0,594,1334
28019950300,284,0,435,147
28021950100,935,3,579,1231
28021950200,183,18,20,458
28021950300,775,18,539,1163
28023950100,1261,0,495,2477
28023950201,910,5,326,1895
28023950202,501,20,262,880
28023950300,1117,0,328,1607
28023950400,611,40,61,1208
28025950100,1113,59,233,2627
28025950200,803,51,235,1309
28025950300,357,190,10,924
28025950400,281,168,5,1501
28025950500,1195,69,292,2035
28027950100,968,71,235,1192
28027950200,986,27,172,1326
28027950300,867,38,205,1538
28027950400,280,36,21,1694
28027950500,390,68,9,1723
28027950600,355,24,8,355
28027950700,399,167,37,1090
28029950101,179,13,112,888
28029950102,270,40,150,1042
28029950200,561,2,807,2293
28029950300,659,3,694,1994
28029950400,399,51,140,1570
28029950501,316,24,324,1210
28029950502,430,15,439,1467
28029950600,385,1,575,1382
28031950100,3022,1,326,1048
28031950200,914,10,80,261
28031950300,1426,9,401,2151
28031950401,2498,5,208,753
28031950402,2247,7,256,942
28033070101,370,67,143,818
28033070102,85,0,70,1811
28033070210,66,27,166,2299
28033070221,83,0,54,1926
28033070222,264,127,159,1211
28033070310,135,27,304,913
28033070322,234,27,1,1422
28033070323,104,70,0,1563
28033070324,12,36,1,1613
28033070325,38,0,1,1052
28033070411,78,16,0,649
28033070412,224,171,6,1054
28033070421,221,0,52,1420
28033070422,43,17,2,919
28033070521,129,23,4,1345
28033070522,173,33,18,1295
28033070523,529,0,8,3331
28033070524,102,0,2,2040
28033070610,100,87,6,653
