CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
30001000100,1090,9,322,2091
30001000200,751,21,766,2586
30001000300,318,764,199,1174
30003000100,804,53,438,2121
30003940400,751,0,44,233
30003940500,909,28,197,527
30003940600,1179,0,95,394
30003940700,812,5,147,565
30005000100,777,18,60,1311
30005000200,1207,225,145,2179
30005940100,752,0,3,4
30005940200,670,0,5,19
30007000100,197,25,256,737
30007000200,821,4,699,2457
30009000100,383,8,391,1867
30009000200,376,10,301,1168
30009000300,268,357,60,1380
30009000400,781,3,347,2715
30009000500,450,0,237,1250
30011000300,1152,2,544,1495
30013000100,234,138,313,655
30013000200,43,420,49,1767
30013000300,89,344,36,1263
30013000400,63,217,8,523
30013000700,110,271,8,504
30013000800,40,186,15,560
30013000900,131,248,3,1246
30013001000,83,221,1,1789
30013001100,125,286,37,1358
30013001201,285,0,10,22
30013001202,509,0,0,0
30013001600,204,419,290,1574
30013001700,124,57,259,1092
30013001800,203,107,29,1451
30013001900,90,82,231,2079
30013002100,210,226,132,1034
30013002201,120,107,328,1274
30013002202,139,372,193,1055
30013002301,118,72,12,1898
30013002302,114,6,188,1260
30013010100,694,166,1074,1604
30013010400,400,206,300,1680
30013010600,1282,11,626,3266
30013010700,804,11,1046,2907
30013010800,66,286,8,446
30015010200,1114,22,234,1950
30015010300,2719,5,383,3758
30017961300,1131,2,337,2140
30017961500,200,6,175,896
30017961600,299,54,143,890
30017961800,24,21,6,828
30017961900,165,24,71,796
30017962000,146,440,77,503
30019020300,1509,14,174,2021
30021000100,1340,0,248,2394
30021000200,425,6,401,1205
30021000300,441,62,130,2144
30023000300,261,528,51,770
30023000400,149,293,24,1586
30023000500,574,3,520,2207
30025000100,1351,22,519,2127
30027030100,2772,25,966,5946
30027030201,144,808,78,724
30027030202,296,633,356,778
30029000101,271,8,154,928
30029000102,632,15,541,1444
30029000201,508,75,766,2157
30029000202,215,13,518,1641
30029000203,260,97,147,1760
30029000301,138,92,120,1414
30029000302,224,32,107,1285
30029000402,326,43,165,1430
30029000403,163,13,113,1108
30029000404,264,48,176,1595
30029000601,560,29,417,2775
30029000602,310,7,501,2645
30029000700,431,35,1188,1905
30029000801,206,6,200,1214
30029000802,279,12,103,2524
30029000901,67,111,18,268
30029000902,48,3,4,740
30029000903,261,61,142,1009
30029001000,261,57,70,447
30029001101,149,123,57,864
30029001102,159,109,107,1071
30029001201,216,61,302,914
30029001202,333,41,900,1512
30029001303,362,35,195,1257
30029001304,204,20,83,1022
30029001305,180,0,162,1214
30029001306,333,7,250,2652
30029001401,384,20,229,1662
30029001402,365,10,229,1787
30029001701,389,10,666,2770
30029001702,163,12,294,1029
30029001703,402,0,324,1399
30031000101,717,33,631,2765
30031000104,42,172,160,611
30031000105,192,153,118,1383
30031000201,217,97,511,1608
30031000202,551,20,489,1913
30031000300,633,33,586,1796
30031000400,556,127,480,3063
30031000502,532,34,195,4202
30031000504,152,3,149,1306
30031000505,132,123,223,1482
30031000506,130,137,15,1658
30031000507,220,117,194,685
30031000600,389,95,243,411
30031000701,163,301,21,828
30031000703,69,59,130,357
30031000704,51,123,27,1070
30031000800,41,457,1,375
30031000900,122,361,154,394
30031001001,77,6,3,1257
30031001002,160,209,103,1298
30031001101,266,31,12,72
30031001102,223,102,178,934
30031001200,581,39,462,2992
30031001500,620,47,355,1164
30031001600,696,106,41,1493
30031001700,497,3,322,3952
30033000100,1099,4,280,1866
30035940200,1461,8,74,351
30035940400,2844,18,350,1074
30035976000,984,46,369,2123
30035980000,166,0,0,18
30037000100,464,0,145,1038
30039961701,480,4,161,967
