CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
37001020100,311,143,13,977
37001020200,177,102,12,1258
37001020301,132,94,67,1002
37001020302,261,22,270,925
37001020400,226,69,281,2014
37001020501,124,25,91,1335
37001020502,131,87,45,1079
37001020601,82,5,0,1248
37001020602,47,70,25,809
37001020701,210,85,29,1257
37001020702,178,180,15,1018
37001020801,251,25,85,567
37001020802,301,133,7,1855
37001020901,158,48,63,1226
37001020902,143,28,43,1335
37001021000,207,141,21,1046
37001021101,155,81,27,988
37001021102,172,75,59,1130
37001021201,626,14,498,1922
37001021204,555,4,406,1769
37001021205,305,191,48,1885
37001021206,375,69,174,1514
37001021207,236,37,133,1449
37001021300,645,15,919,3003
37001021400,266,3,215,1639
37001021500,424,0,367,2517
37001021600,390,38,239,2204
37001021701,138,81,29,994
37001021702,204,61,29,1239
37001021703,325,131,54,1317
37001021801,466,8,353,2575
37001021802,262,2,655,1465
37001021803,463,0,630,1566
37001021901,436,5,348,1980
37001021902,580,0,830,1973
37001022001,232,15,246,1461
37001022002,434,14,901,1584
37003040100,698,0,635,2382
37003040200,648,12,553,2341
37003040300,291,7,448,1910
37003040400,770,122,425,2985
37003040500,950,30,954,3551
37003040600,639,5,756,2787
37003040700,359,45,260,3413
37005950100,577,75,694,3367
37005950200,412,99,308,1759
37005950300,563,63,559,2936
37007920100,523,0,321,1622
37007920200,314,0,205,1119
37007920301,635,14,639,2825
37007920302,94,1,134,514
37007920400,584,21,105,1347
37007920501,185,0,184,499
37007920502,497,53,48,2004
37007920600,903,29,654,2650
37007980000,6,0,68,0
37009970200,438,0,390,1911
37009970300,539,0,387,2231
37009970400,580,21,360,2154
37009970501,466,20,252,1682
37009970502,376,6,298,1307
37009970701,248,3,435,2408
37009970702,281,0,324,1456
37009970801,317,0,333,1672
37009970802,471,3,399,2126
37011930100,750,102,745,1824
37011930200,727,201,1651,1892
37011930301,639,65,537,1840
37011930302,446,4,359,1594
37011930400,786,10,377,1759
37013930101,1138,1,509,1739
37013930102,500,19,213,733
37013930200,1206,19,1008,2714
37013930300,658,157,18,1164
37013930400,513,103,36,1675
37013930501,658,27,219,1760
37013930502,629,8,520,1328
37013930600,823,1,471,1709
37013930700,806,1,454,1943
37013930800,699,47,381,1072
37013930900,1121,3,570,2269
37013931001,805,0,738,779
37013931002,858,27,620,966
37015960100,664,2,727,3190
37015960200,382,1,579,1623
37015960300,563,1,546,1737
37015960401,342,33,267,1543
37015960402,485,26,481,1734
37017950101,596,4,171,2027
37017950102,1461,11,424,2675
37017950200,740,0,311,2013
37017950301,477,21,190,1431
37017950302,924,0,383,2314
37017950401,486,64,68,1846
37017950402,468,4,129,1451
37017950501,363,0,249,1851
37017950502,482,66,186,2000
37017950601,514,29,221,2001
37017950602,373,17,243,1670
37019020101,160,66,705,368
37019020102,165,28,343,1514
37019020105,173,67,346,2349
37019020106,104,25,215,990
37019020107,207,45,262,607
37019020108,168,34,248,1083
37019020201,149,19,24,1296
37019020203,148,98,327,787
37019020204,417,127,412,2410
37019020205,131,27,99,3045
37019020206,260,58,281,542
37019020304,291,93,466,3738
37019020305,400,28,93,1149
37019020306,392,27,42,1045
37019020307,153,5,0,1123
37019020308,30,12,5,2217
37019020311,114,108,409,1002
37019020312,72,26,178,338
37019020313,29,33,0,2580
37019020314,33,12,2,920
37019020315,147,144,355,1743
37019020316,114,20,49,420
37019020404,318,191,1088,820
37019020405,183,133,683,1036
37019020406,79,18,61,1622
37019020407,216,143,761,817
37019020408,188,181,1024,430
37019020409,105,193,1080,506
37019020504,104,44,44,777
37019020505,485,193,1006,1357
37019020508,206,39,111,1281
37019020510,134,147,583,1070
37019020511,145,92,444,1049
37019020512,155,35,77,2204
37019020513,166,67,447,245
37019020514,106,33,165,1284
37019020515,128,27,187,1116
37019020516,94,66,406,1303
37019020517,171,53,305,854
37019020518,199,110,344,1040
37019020601,669,160,846,1641
37019020602,414,191,1434,1360
37019020603,288,82,474,927
37021000100,160,9,1,14
37021000200,139,42,9,369
37021000300,121,74,27,460
37021000400,176,109,42,697
37021000500,132,179,14,1180
37021000600,171,90,16,643
37021000700,112,33,8,294
37021000800,233,93,34,983
37021000900,549,38,27,557
37021001000,265,80,67,1606
37021001100,237,123,77,1856
37021001200,298,141,181,1791
37021001300,219,109,253,1426
37021001401,206,211,596,811
37021001402,110,110,516,318
37021001500,184,79,191,750
37021001601,108,82,22,1424
37021001602,252,174,159,968
37021001700,129,105,29,1268
37021001801,211,147,29,788
37021001802,83,129,36,1505
37021001900,322,87,88,990
37021002000,497,146,187,2060
37021002101,145,107,1,636
37021002102,233,181,430,1349
37021002203,660,195,861,692
37021002204,500,196,174,1389
37021002205,203,112,177,2205
37021002206,192,113,238,1080
37021002303,229,204,327,1658
37021002304,104,81,118,709
