CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
38001965600,1770,7,1004,1580
38003967900,1922,0,329,1559
38003968000,2476,17,558,2386
38003968200,39,1273,20,36
38003968300,9,1636,3,24
38005940100,526,0,251,610
38005940200,842,2,565,230
38005956700,1320,19,576,2912
38007963100,1180,1,164,1282
38009952300,290,1,60,981
38009952400,2590,3,124,2957
38009952500,2138,0,62,1500
38011965200,354,13,290,766
38011965300,2979,1,159,488
38013953300,2802,1,51,2087
38015010100,235,330,23,612
38015010200,228,672,104,1308
38015010300,74,368,8,1418
38015010400,85,216,17,1297
38015010500,94,143,11,1571
38015010600,137,220,118,1406
38015010700,139,98,29,1170
38015010800,857,155,819,518
38015010900,196,216,20,1012
38015011001,574,201,524,1182
38015011002,161,11,748,3028
38015011101,87,392,11,980
38015011103,51,114,13,479
38015011104,28,16,19,2318
38015011105,186,47,87,2830
38015011200,234,204,418,2116
38015011300,644,18,379,3195
38015011400,736,14,398,2582
38015011500,748,13,292,2457
38017000100,35,9,24,2124
38017000203,28,123,85,571
38017000204,94,140,135,705
38017000300,518,0,6,455
38017000400,38,135,23,1316
38017000501,49,235,63,957
38017000502,41,201,55,418
38017000601,534,125,111,543
38017000602,357,95,35,580
38017000700,130,13,4,7
38017000801,67,157,63,731
38017000802,32,196,114,1479
38017000901,63,170,23,2105
38017000903,79,224,13,213
38017000904,48,215,2,898
38017001003,57,293,8,594
38017001004,99,271,17,613
38017010106,164,199,20,4
38017010107,574,83,305,4
38017010109,145,15,180,778
38017010110,65,0,0,574
38017010111,50,201,2,47
38017010201,347,28,12,1328
38017010205,86,6,8,999
38017010206,304,48,104,1668
38017010303,157,197,16,1119
38017010306,70,166,18,741
38017010307,29,17,4,694
38017010308,83,245,7,644
38017040100,1756,12,250,1748
38017040200,1110,10,209,1736
38017040300,1133,35,141,1766
38017040501,209,216,76,570
38017040502,253,1,5,1482
38017040503,115,5,89,1195
38017040504,178,321,10,889
38017040505,79,105,72,1212
38017040506,57,137,32,692
38017040507,5,0,2,876
38017040508,129,2,13,956
38017040509,287,18,233,999
38017040600,863,28,153,2041
38017040700,399,148,16,77
38017040800,604,4,113,2236
38019950900,320,1,45,843
38019951100,4721,16,103,1615
38021973200,575,1098,44,353
38021973300,2667,0,148,1036
38021973400,213,0,273,432
38023954500,3326,1,69,2237
38025962200,3468,0,749,3620
38027959200,2217,0,22,1430
38029966500,4330,7,44,2946
38031959600,2474,1,527,1616
38033962900,1423,138,114,1342
38035010100,219,5,40,1086
38035010200,158,4,48,2050
38035010301,149,0,0,33
38035010302,72,0,0,0
38035010400,278,13,327,771
38035010600,88,12,36,610
38035010700,131,0,14,1025
38035010801,273,15,8,1030
38035010804,281,10,12,406
38035010805,117,8,265,147
38035010806,188,19,8,387
38035010900,13,1,19,1067
38035011000,73,1,21,970
38035011100,45,0,16,2150
38035011201,155,4,114,597
38035011202,227,2,3,896
38035011400,586,0,219,2166
38035011701,847,0,278,1485
38035011702,547,15,111,2660
38035011800,311,0,54,1871
38035011900,498,0,0,0
38035012000,524,8,162,2342
38037965900,4027,201,365,1520
38039968600,961,205,402,2591
38041964700,1847,3,146,621
38041964800,1921,5,184,717
38043966800,3790,3,700,1072
38045972100,574,10,253,1599
38045972200,1431,14,506,3289
38047972500,3031,6,185,1114
38049955600,2271,0,56,2303
38049955900,2323,3,71,2661
38051972900,2876,698,269,1808
38053940100,532,0,261,330
38053962301,2478,0,331,1327
38053962302,1482,0,217,675
38053962400,829,2,110,986
38053962500,2483,0,371,1067
38055940100,1086,0,153,233
38055960800,2247,49,217,2667
38055961001,3819,21,510,3495
38057961600,235,8,584,720
38057961700,352,16,800,781
38057961800,3279,3,980,1554
38059020100,207,145,20,1847
38059020200,725,97,69,3336
38059020301,1469,132,63,1024
38059020302,83,77,39,1369
38059020303,606,37,33,527
38059020400,3510,86,219,2067
38059020500,2903,412,153,2071
38061940300,554,11,171,972
38061940400,690,1,690,1058
38061955200,2509,9,442,5050
38063959000,2980,8,512,1777
38065961200,2237,0,160,1101
38067950100,613,0,95,1068
38067950200,756,1,111,1160
38067950500,717,1,168,1216
38067950600,1056,4,198,1925
38069956100,1202,5,333,814
38069956200,2073,9,387,1247
38071957600,637,4,18,1236
38071957700,1549,1,233,4228
38071957800,698,7,36,1691
38073968900,681,0,418,972
38073969000,973,0,338,1874
38073969100,250,19,366,678
38075952900,1312,8,634,2374
38077970700,558,0,120,2398
38077970800,779,2,115,2508
38077970900,455,7,10,725
38077971000,368,4,12,1237
38077971100,545,0,89,1510
38077971400,833,0,187,3202
38079941800,1742,16,915,395
38079951600,796,44,29,168
38079951700,1682,8,625,1152
38079951900,1712,0,54,914
38081974000,373,0,118,1355
38081974200,948,12,313,2533
38083960200,2390,5,218,1168
38085940800,822,0,426,506
38085940900,410,0,273,505
38087965000,826,0,286,1331
38089963300,851,18,380,1532
38089963400,386,68,200,1450
38089963501,113,79,26,979
38089963502,250,122,27,739
38089963600,116,63,41,701
38089963700,128,129,28,1382
38089963800,318,65,536,1614
38089963900,1324,38,816,3045
38089964000,747,43,538,1388
38091968700,2261,1,43,1679
38093967000,2858,0,111,2376
38093967200,2567,2,79,2491
38093967300,234,0,277,545
38093967401,28,195,21,104
38093967402,63,247,543,932
38093967500,393,13,1085,664
38093967800,217,1042,365,621
38095951500,2290,8,307,1746
38097970100,1235,3,33,1704
38097970200,408,4,56,1017
38097970300,2015,0,19,1318
38097970400,248,4,5,752
38099957800,1447,0,234,832
38099957900,138,611,46,128
38099958000,234,81,265,889
38099958100,2093,2,226,1342
