CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
31001965400,540,9,85,3037
31001965500,189,73,17,1798
31001965600,425,64,10,2085
31001965700,56,122,4,349
31001965800,115,47,19,961
31001965900,95,39,12,1857
31001966000,522,124,82,1812
31001966100,259,159,130,347
31001966200,858,6,81,2979
31003979600,1105,1,88,3783
31003979700,233,21,32,979
31003979800,950,10,138,3156
31005958300,88,0,49,605
31007954000,431,0,85,1174
31009972400,190,0,176,708
31011960100,1489,2,75,4872
31011960200,197,6,43,954
31013951100,852,0,138,3145
31013951200,405,25,59,1942
31013951300,750,20,72,2012
31015975800,830,54,224,2846
31017975000,769,30,139,3174
31019968900,799,1,127,4020
31019969000,582,1,216,3337
31019969100,660,4,160,3485
31019969202,148,27,6,1047
31019969203,284,54,35,1807
31019969204,283,45,47,1783
31019969300,785,9,12,271
31019969400,194,37,14,1574
31019969500,223,31,11,829
31019969600,341,25,126,814
31019969700,611,90,148,2258
31021963200,398,11,91,2144
31021963300,835,10,161,1956
31021963400,594,49,187,2070
31023967600,1133,12,241,3886
31023967700,363,28,56,1605
31023967800,735,14,66,3016
31025965600,310,311,34,1259
31025965700,381,9,69,3870
31025965800,475,4,210,3026
31025965900,651,22,65,3530
31025966000,424,3,183,3053
31025966100,258,211,51,1418
31027977100,1111,1,101,5302
31027977200,1043,4,79,4804
31029961900,1112,10,234,3578
31031955800,759,54,269,3366
31031955900,484,0,112,2488
31033954800,1055,27,363,4420
31033954900,272,58,46,1767
31033955000,351,31,47,1111
31035962100,613,23,47,3145
31035962200,1410,7,111,2844
31037964600,413,8,77,2556
31037964700,322,0,137,3561
31037964800,502,5,84,2153
31039972700,622,139,61,3927
31039972800,562,371,81,2484
31039972900,461,162,67,2843
31041971700,1078,2,156,3863
31041971800,1023,75,102,3609
31041971900,379,64,71,2055
31041972000,454,7,88,1869
31043010101,205,68,29,796
31043010102,110,77,26,432
31043010200,182,109,42,1896
31043010300,497,38,243,1514
31043010400,468,12,122,2970
31045950600,706,2,323,3595
31045950700,399,383,187,1875
31047968000,504,3,145,2481
31047968100,425,0,94,2021
31047968200,410,14,102,1904
31047968300,354,38,77,1783
31047968400,491,366,135,1114
31047968500,200,723,22,1058
31047968600,371,0,119,2036
31049955400,511,0,77,2409
31051977600,592,4,208,2704
31051977800,605,12,96,3359
31053963600,777,32,160,5083
31053963700,598,10,119,3205
31053963800,437,245,126,1861
31053963900,126,73,45,1431
31053964000,66,66,2,1632
31053964100,95,62,19,1944
31053964200,206,75,14,1505
31053964300,182,144,12,1910
31053964400,288,35,400,1226
31055000200,141,16,1,1671
31055000300,39,30,3,930
31055000400,167,1,385,707
31055000500,377,18,27,359
31055000600,43,8,8,562
31055000700,97,15,10,448
31055000800,99,11,13,831
31055001100,159,35,11,655
31055001200,178,80,12,777
31055001600,112,2,1,0
31055001800,199,50,8,44
31055001900,57,44,6,136
31055002000,117,60,10,1021
31055002100,106,24,20,725
31055002200,36,30,5,448
31055002300,34,38,11,664
31055002400,83,47,7,1047
31055002500,206,24,5,987
31055002600,41,14,2,697
31055002700,136,19,10,727
31055002800,66,14,7,1145
31055002900,231,45,10,1254
31055003000,87,36,6,2781
31055003100,237,31,6,1484
31055003200,117,16,1,532
31055003300,108,24,5,697
31055003401,30,91,1,1356
31055003402,45,23,11,1177
31055003500,113,80,3,1738
31055003600,90,30,2,2119
31055003700,32,4,1,1195
31055003800,86,85,6,1061
31055003900,41,84,17,383
31055004000,126,120,12,129
31055004200,35,75,5,284
31055004300,124,140,9,340
31055004400,144,33,5,631
31055004500,44,55,1,1168
31055004600,34,51,2,939
31055004700,72,4,0,932
31055004800,53,202,3,1194
31055004900,158,207,15,1021
31055005000,54,209,7,856
31055005100,45,66,12,641
31055005200,40,34,4,479
31055005300,90,17,11,906
31055005400,45,18,8,1231
31055005500,41,121,1,2085
31055005600,109,41,14,1811
31055005700,89,67,6,1704
31055005800,56,66,4,1578
31055005901,41,10,4,973
31055005902,76,11,5,987
31055006000,92,22,17,1611
31055006101,20,55,1,855
31055006102,92,29,6,1635
31055006202,113,21,4,1901
31055006301,67,21,6,855
31055006302,64,53,3,1312
31055006303,38,44,0,982
31055006400,86,50,17,2149
31055006503,112,14,0,1092
31055006504,182,26,7,1371
31055006505,51,13,0,529
31055006506,72,61,5,994
31055006603,148,74,2,638
31055006604,92,36,1,1473
31055006605,34,93,3,294
31055006606,103,41,3,912
31055006701,216,67,7,1096
31055006703,120,84,5,842
31055006704,35,43,2,444
31055006803,65,72,0,701
31055006804,17,0,3,632
31055006805,64,14,0,1195
31055006806,64,74,6,417
31055006903,34,38,0,782
31055006904,44,56,0,1356
31055006905,85,14,0,719
31055006906,91,52,9,1146
31055007001,246,171,170,283
31055007002,21,46,4,1228
31055007003,311,18,9,1112
31055007101,206,20,10,1430
31055007102,199,21,4,1666
31055007303,160,2,31,1864
31055007304,69,0,99,672
31055007309,5,0,469,1303
31055007310,35,61,0,715
31055007311,59,65,2,640
31055007312,112,126,6,478
31055007314,9,2,14,1574
31055007315,41,22,18,2047
31055007316,3,29,9,1296
31055007317,228,7,101,2545
31055007318,166,29,125,3165
31055007319,84,20,45,1590
31055007320,54,3,0,1262
31055007406,65,92,3,1444
31055007407,77,61,3,948
31055007408,57,78,0,1443
31055007409,1009,18,16,882
31055007424,37,70,1,756
31055007429,64,26,0,1038
31055007431,49,46,1,1196
31055007432,46,16,389,754
31055007433,69,118,0,1122
31055007434,37,189,2,542
31055007435,46,68,0,1308
31055007436,75,116,0,1044
31055007438,17,1,1,728
31055007439,71,45,1,1539
31055007440,53,96,1,231
31055007441,9,0,0,905
31055007442,35,6,0,1745
31055007443,43,85,3,942
31055007444,77,287,7,109
31055007445,65,71,3,559
31055007446,16,29,0,1225
31055007447,6,45,0,861
31055007448,62,2,1,957
31055007449,74,7,6,986
31055007450,15,10,1,1270
31055007451,135,99,275,1344
31055007452,24,0,0,1660
31055007453,11,0,0,1159
31055007454,29,138,7,1271
31055007455,123,33,77,550
31055007456,48,67,0,801
31055007457,125,94,7,544
31055007458,19,74,0,657
31055007459,135,62,4,1095
31055007460,34,4,0,1277
31055007461,25,27,0,1766
31055007462,75,55,0,1516
31055007463,112,50,0,1393
31055007464,54,93,0,786
31055007465,42,75,4,1137
31055007466,36,181,0,1050
31055007467,123,145,0,1000
31055007468,93,43,11,742
31055007469,33,46,6,1436
31055007470,40,114,6,1408
31055007471,26,32,7,1162
31055007472,58,11,0,1595
31055007473,165,0,1,0
31055007474,29,0,1,560
31055007504,359,36,121,2127
31055007505,116,1,53,2145
31055007506,205,44,3,1125
31055007508,261,28,21,1718
31055007509,106,26,74,2885
31055007514,36,0,3,1474
31055007515,86,19,1,1518
31055007516,19,0,1,1541
31055007517,31,42,15,2384
31055007518,127,128,15,778
31055007519,91,37,42,1806
31055007520,29,20,11,1072
31055007521,29,0,8,1324
31055007522,22,4,76,576
31055007523,28,20,4,764
31055007524,121,67,7,1156
31057962300,798,3,201,2543
31059091600,875,11,81,2862
31059091700,1253,15,118,3029
31061964600,467,4,37,1827
31061964700,610,1,96,2078
31063961100,1136,9,411,2984
31065963900,1253,15,171,5003
31067964600,509,15,80,3518
31067964700,773,8,92,4725
31067964800,395,109,81,2096
31067964900,186,104,34,1648
31067965000,64,183,9,1433
31067965100,215,77,21,693
31067965200,538,4,118,2631
31069952100,597,4,167,2762
31071973200,521,5,291,1977
31073967600,560,0,208,2354
31075956300,140,2,106,722
31077970900,999,3,102,2923
31079000100,702,9,131,2713
31079000200,205,68,146,1505
31079000300,154,108,5,2152
31079000400,142,163,10,1889
31079000500,93,135,22,1859
31079000600,405,141,333,1551
31079000700,262,146,17,1375
31079000800,134,96,10,1192
31079000900,198,195,44,1209
31079001000,234,102,24,1537
31079001100,139,79,214,1247
31079001200,119,140,72,1128
31079001300,429,17,263,2190
31079001400,536,17,116,1633
31081969100,654,3,57,2720
31081969200,834,3,139,2908
31081969300,577,62,34,2248
31083964200,976,74,653,3414
31085961500,389,0,83,1522
31087962700,854,11,423,3207
31089974000,3036,4,152,703
31089974100,3793,0,264,1146
31089974200,1022,9,113,1083
31089974300,753,35,176,1872
31091956700,174,3,39,746
31093970500,398,0,31,2520
31093970600,906,33,91,3704
31095963600,1129,2,92,5378
31095963700,193,6,40,1773
31095963800,164,7,53,629
31097967500,595,8,143,2635
31097967600,418,28,132,1789
31099966600,870,2,251,4003
31099966700,347,17,71,1535
31101000100,51,280,7,512
31101000200,409,191,124,1403
31101000300,950,25,1227,3606
31103975400,423,2,50,1431
31105954500,956,112,446,3106
31107976200,802,9,281,3806
31107976300,573,12,50,2659
31107976400,715,69,234,3551
31109000100,297,81,33,1832
31109000201,80,105,29,2218
31109000202,100,181,2,1054
31109000300,122,158,7,1044
31109000400,165,178,39,1633
31109000500,127,46,17,516
31109000600,94,1,0,0
31109000700,66,76,10,305
31109000800,61,139,27,1120
31109000900,193,156,10,960
31109001001,63,30,8,1454
31109001002,73,70,6,244
31109001003,57,151,52,892
31109001101,27,63,0,1606
31109001102,27,40,2,1265
31109001200,120,50,1,2516
31109001301,51,39,30,1137
31109001302,30,7,4,1269
31109001400,84,189,14,1920
31109001500,111,75,6,1927
31109001600,101,258,26,2384
31109001700,63,277,20,704
31109001800,132,62,17,225
31109001900,128,10,2,4
31109002001,28,142,8,221
31109002002,46,133,3,223
31109002100,130,66,23,846
31109002200,272,182,35,2058
31109002300,41,200,39,2225
31109002400,25,18,1,1512
31109002500,78,101,6,2377
31109002701,69,193,12,653
31109002702,80,77,9,2160
31109002800,138,138,5,2169
31109002900,845,246,306,632
31109003002,93,78,11,1301
31109003003,272,129,299,1040
31109003004,32,68,9,669
31109003005,28,21,5,1172
31109003102,111,53,16,1744
31109003103,18,42,430,441
31109003104,79,81,864,1071
31109003202,58,337,2,364
31109003301,221,102,59,993
31109003302,149,5,37,1640
31109003401,62,21,16,1961
31109003402,157,117,202,1864
31109003500,8,0,13,0
31109003601,1,0,22,0
31109003604,572,38,18,2005
31109003605,148,54,11,1263
31109003607,78,65,2,937
31109003608,59,31,3,368
31109003609,42,13,8,780
31109003704,73,293,1,964
31109003708,69,49,2,1117
31109003709,25,51,2,1520
31109003713,33,21,3,865
31109003714,119,30,15,1642
31109003715,28,0,9,771
31109003716,42,51,7,1302
31109003718,159,15,16,1174
31109003719,167,49,17,1691
31109003721,33,90,2,1101
31109003722,25,42,7,340
31109003723,30,11,1,1349
31109003724,36,43,4,1292
31109003725,41,7,3,1287
31109003726,59,39,11,859
31109003727,21,14,4,878
31109003728,123,80,11,1099
31109003801,51,63,2,1279
31109003802,66,39,4,1186
31109010100,1597,38,49,3006
31109010202,2408,2,74,2221
31109010203,55,14,13,427
31109010204,38,73,15,1093
31109010300,2485,12,67,2350
31109010401,616,18,41,1966
31109010402,1796,14,28,2289
31109983200,187,0,1,10
31111959700,576,3,292,3556
31111959800,416,15,250,2470
31111959900,452,52,800,2100
31111960200,331,111,335,1445
31111960300,60,146,21,1889
31111960400,132,90,113,2521
