CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
33001965100,371,26,479,1327
33001965200,222,58,190,1627
33001965300,271,127,132,1583
33001965400,221,24,347,1399
33001965598,432,169,352,889
33001965600,162,81,138,1758
33001965700,200,62,228,1833
33001965801,285,47,443,1007
33001965802,217,55,592,898
33001965900,115,259,160,737
33001966000,232,343,59,1038
33001966100,192,586,220,1341
33001966200,459,373,221,852
33001966401,331,12,98,809
33001966403,180,54,280,1346
33001966404,203,11,14,900
33001966501,205,23,199,1224
33001966502,178,16,230,1034
33003955101,285,49,56,972
33003955102,409,235,136,1171
33003955301,329,228,165,966
33003955302,407,89,352,953
33003955401,177,56,70,951
33003955402,178,68,47,883
33003955500,226,49,145,1802
33003955601,372,140,553,918
33003955602,336,36,165,933
33003955801,93,15,95,858
33003955802,280,21,502,1144
33003955901,238,32,168,1378
33003955902,234,28,202,877
33003956000,502,46,998,2146
33003956101,237,124,128,1364
33003956102,270,71,19,1704
33003956301,212,101,267,1520
33003956302,420,6,417,1457
33003956400,160,38,55,1290
33005970100,352,73,205,2210
33005970200,429,243,52,1616
33005970401,227,143,34,1214
33005970402,289,47,365,1371
33005970500,426,127,78,1790
33005970600,397,42,111,1806
33005970700,197,49,124,1591
33005970800,358,156,121,1344
33005970901,281,48,158,1586
33005970902,240,61,236,687
33005971000,170,61,135,1459
33005971100,190,375,31,1094
33005971300,136,279,18,577
33005971402,165,67,5,1248
33005971403,398,127,51,594
33005971500,509,57,439,2314
33005971600,410,98,258,1192
33005971700,428,133,200,1363
33007950100,612,40,583,2437
33007950200,463,93,163,1618
33007950300,351,19,615,891
33007950400,384,75,328,1501
33007950500,729,111,943,253
33007950600,231,292,28,909
33007950700,70,180,14,1034
33007950800,159,182,14,431
33007950900,412,93,234,859
33007951000,583,9,269,1391
33007951100,430,54,527,1019
33009960101,180,86,233,891
33009960102,372,124,153,961
33009960200,735,47,996,1459
33009960300,682,69,788,2045
33009960401,192,40,300,1040
33009960402,502,198,555,493
33009960500,584,38,751,595
33009960600,626,72,727,1345
33009960700,600,33,943,916
33009960801,299,58,402,1159
33009960802,304,19,306,774
33009960900,557,52,834,1545
33009961001,272,23,169,300
33009961002,281,61,159,693
33009961101,207,53,227,553
33009961102,327,29,390,690
33009961201,261,108,197,907
33009961202,262,36,402,779
33009961300,287,33,560,1710
33009961400,453,35,790,1048
33009961500,359,50,513,1699
33009961601,171,28,113,1130
33009961603,307,27,38,424
33009961604,226,68,92,555
33009961701,283,173,144,806
33009961702,252,137,43,802
33009961801,274,61,62,948
33009961802,112,340,16,943
33011000103,44,226,16,1000
33011000104,55,108,1,749
33011000202,55,166,4,461
33011000203,48,63,2,95
33011000204,163,157,9,456
33011000300,66,363,0,118
33011000600,110,201,4,74
33011000700,27,226,2,551
33011000800,41,258,9,146
33011000901,66,67,3,779
33011000902,79,64,1,781
33011001000,282,156,27,1590
33011001100,119,154,4,1786
33011001200,17,210,5,323
33011001300,48,314,10,125
33011001400,105,87,7,21
33011001500,51,228,1,60
33011001600,93,397,3,157
33011001700,76,180,6,195
33011001800,81,523,12,858
33011001900,230,219,4,131
33011002000,67,199,1,63
33011002100,66,523,8,260
33011002200,33,212,4,737
33011002300,102,234,4,682
33011002400,114,378,6,1459
33011002500,237,157,12,1519
33011002600,253,93,73,1766
33011002701,105,67,33,1246
33011002702,233,131,131,1772
33011002801,62,10,1,374
33011002802,256,156,5,1106
33011002901,322,125,34,2186
33011002902,209,85,28,2003
33011002903,77,1,9,2975
33011010100,40,169,6,1637
33011010201,91,295,58,218
33011010202,264,69,15,281
33011010301,13,390,2,1122
33011010302,40,178,4,1034
33011010400,105,336,6,1188
