CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
34001000100,74,5,48,352
34001000200,54,20,8,345
34001000300,72,27,4,166
34001000400,113,16,9,57
34001000500,72,10,5,176
34001001100,79,14,6,72
34001001200,91,36,71,406
34001001300,119,19,52,413
34001001400,136,50,36,211
34001001500,71,11,1,43
34001001900,27,8,4,7
34001002300,139,7,16,103
34001002400,216,31,3,30
34001002500,171,16,34,222
34001010101,81,72,24,1898
34001010102,100,65,17,1396
34001010104,114,104,8,554
34001010105,59,102,14,775
34001010200,172,3,611,1304
34001010300,191,15,288,253
34001010401,434,72,30,2325
34001010403,161,9,199,1523
34001010501,421,96,97,2455
34001010503,387,184,25,447
34001010505,136,7,14,980
34001010506,259,14,19,1534
34001010600,235,40,68,1187
34001010700,381,4,40,2340
34001010800,196,17,29,1238
34001010900,302,43,24,2131
34001011000,276,28,6,1144
34001011100,197,8,30,1283
34001011201,208,0,14,838
34001011202,742,19,95,3307
34001011300,277,26,36,1713
34001011401,320,10,54,1858
34001011403,340,104,7,435
34001011404,896,106,182,1504
34001011500,211,27,74,2527
34001011600,665,14,405,2078
34001011702,693,8,122,662
34001011703,188,3,77,1465
34001011704,255,26,141,897
34001011803,173,133,130,883
34001011804,329,1,57,2324
34001011805,188,3,19,823
34001011806,109,2,55,2651
34001011807,134,25,48,1938
34001011808,102,1,17,1142
34001011901,170,20,44,672
34001011902,226,133,20,540
34001012000,139,69,47,985
34001012100,103,25,17,566
34001012200,219,25,116,1117
34001012302,173,1,107,935
34001012401,98,12,55,869
34001012402,68,7,32,755
34001012501,72,10,11,701
34001012502,75,2,57,407
34001012602,27,0,67,465
34001012701,46,34,1,968
34001012702,51,23,2,475
34001012801,137,60,10,733
34001012802,160,40,14,535
34001013000,85,24,26,2242
34001013101,31,0,19,981
34001013102,123,155,29,487
34001013201,97,28,12,334
34001013202,54,45,30,643
34001013301,66,22,56,1002
34001013302,86,23,27,955
34001013500,149,10,63,1520
34001983400,124,0,0,17
34003001001,123,1,4,1063
34003001002,84,3,4,1092
34003002100,104,0,1,835
34003002200,287,1,15,1560
34003002300,138,19,5,1646
34003003100,29,127,18,1102
34003003200,250,142,6,633
34003003300,89,217,9,1771
34003003401,21,40,0,792
34003003402,51,45,3,959
34003003500,35,98,10,538
34003004001,81,12,5,797
34003004002,86,29,4,1315
34003005000,637,25,31,1630
34003006101,33,96,6,378
34003006102,29,66,5,552
34003006201,53,64,12,704
34003006202,25,92,5,243
34003006301,45,67,9,401
34003006302,48,66,3,369
34003007001,103,13,13,1072
34003007002,140,0,31,1514
34003008001,108,4,46,1388
34003008002,49,6,167,862
34003009100,86,1,4,1616
34003009200,76,4,1,1071
34003010100,46,37,24,1604
34003010200,122,65,27,788
34003010300,71,9,11,2173
34003011100,62,115,21,1043
34003011200,22,93,8,1094
34003011300,143,17,4,1280
34003011400,191,45,14,1423
34003012001,384,66,12,924
34003012002,97,26,2,729
34003013002,258,141,21,362
34003013003,82,17,1,0
34003013004,90,28,0,24
34003014000,181,2,8,2414
34003015100,107,5,0,805
34003015200,81,63,6,1411
34003015300,115,32,7,1324
34003015401,207,33,2,424
34003015402,224,22,4,114
34003015500,110,94,9,1231
34003016000,199,2,5,1954
34003017101,49,27,4,1503
34003017102,26,14,22,524
34003017200,243,61,324,1283
34003017301,51,0,280,765
34003017302,54,0,66,933
34003017400,65,15,81,1684
34003017501,110,1,220,1280
34003017502,56,8,77,967
34003018101,54,53,12,469
34003018102,42,49,8,297
34003018200,234,106,33,848
34003019102,63,42,6,110
34003019103,54,87,22,209
34003019104,55,78,18,268
34003019202,153,31,14,97
34003019203,39,33,8,82
34003019204,94,65,25,225
34003019303,89,77,2,457
34003019304,18,21,7,737
34003019305,45,35,1,569
34003019306,29,15,2,405
34003020100,210,21,14,1433
34003020200,88,1,3,2497
34003021101,65,13,11,893
34003021102,45,13,3,463
34003021200,153,22,16,848
34003021300,66,18,7,857
34003021400,110,23,7,788
34003021500,137,31,7,550
34003021600,97,27,1,425
34003022100,67,3,7,1396
34003022200,136,1,6,2644
34003023100,317,31,0,78
34003023201,38,24,22,440
34003023202,139,31,76,400
34003023301,24,1,114,886
34003023303,11,17,3,43
34003023304,45,16,23,193
34003023401,40,95,5,107
34003023402,156,40,174,540
34003023501,126,20,32,313
34003023502,115,30,3,105
34003023601,176,161,146,214
34003023602,318,37,84,368
34003024100,214,49,5,1944
34003024200,72,3,0,1547
34003025100,148,71,51,1564
34003025200,82,9,13,1931
34003026100,63,10,3,1552
34003026200,141,2,5,1621
34003027000,73,7,3,1158
34003028001,132,59,5,987
34003028002,21,15,1,1154
34003029100,151,67,2,504
34003029200,263,42,5,1525
34003030100,295,45,11,968
34003030201,74,32,8,681
34003030202,96,28,3,497
34003030300,133,24,2,840
34003030401,10,90,4,443
34003030402,64,20,5,850
34003031100,223,26,17,1134
34003031200,112,17,5,1244
34003031300,112,21,10,1497
34003031400,125,32,3,1531
34003032102,174,63,163,1891
34003032103,264,73,5,211
34003032104,212,0,48,639
34003032201,113,109,19,1247
34003032202,165,13,73,1292
34003033100,38,0,2,1326
34003033200,97,11,3,804
34003033300,35,78,2,727
34003034001,199,6,13,825
34003034002,61,5,7,1278
34003035100,301,35,11,2406
34003035200,117,8,18,2087
34003036100,302,13,4,573
34003036200,548,2,3,659
34003037100,81,17,6,1758
34003037201,58,1,2,1365
