CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
35001000107,9,26,4,913
35001000108,43,44,2,706
35001000109,66,18,6,848
35001000110,51,105,2,847
35001000111,38,7,1,1110
35001000112,13,83,2,615
35001000113,47,132,0,861
35001000114,64,48,0,1183
35001000115,84,78,1,892
35001000116,44,61,4,1041
35001000117,60,12,2,856
35001000118,51,82,1,629
35001000119,50,21,4,679
35001000120,68,32,0,877
35001000121,136,81,4,1781
35001000122,211,57,16,1573
35001000123,108,57,5,1987
35001000124,81,135,6,578
35001000125,10,16,0,1743
35001000126,57,89,5,766
35001000127,64,0,4,1132
35001000128,48,16,0,1279
35001000129,44,287,2,563
35001000203,123,44,5,414
35001000204,82,42,0,1002
35001000205,80,49,4,860
35001000206,45,0,1,1296
35001000207,155,22,3,1413
35001000208,223,28,74,1262
35001000300,152,107,13,2192
35001000401,71,76,7,1689
35001000402,87,186,3,1423
35001000501,145,71,7,599
35001000503,156,366,15,935
35001000504,136,100,9,295
35001000601,160,90,5,1207
35001000603,211,474,35,574
35001000605,248,269,127,654
35001000704,121,37,16,1262
35001000711,15,45,4,1561
35001000712,35,94,1,1069
35001000713,81,201,741,353
35001000714,57,63,419,1099
35001000715,242,0,768,8
35001000716,149,154,83,1020
35001000717,42,74,99,40
35001000718,193,62,234,1252
35001000719,0,0,0,777
35001000720,49,8,22,1922
35001000904,68,220,1,1152
35001000905,30,152,6,554
35001000906,172,213,3,20
35001000907,65,153,152,301
35001000908,57,394,17,136
35001001101,84,167,3,2017
35001001102,45,271,7,672
35001001201,84,207,15,763
35001001202,583,132,216,453
35001001300,304,240,61,1201
35001001400,153,171,9,580
35001001500,148,402,40,673
35001001701,120,126,8,987
35001001702,70,519,8,312
35001001800,250,22,2,24
35001002000,196,195,26,405
35001002100,190,58,6,35
35001002200,198,334,21,760
35001002301,48,32,114,524
35001002302,101,137,83,1056
35001002303,113,207,105,851
35001002401,101,93,17,1847
35001002403,76,143,10,1194
35001002404,113,36,16,1164
35001002700,555,404,31,1176
35001002900,495,241,56,1249
35001003001,121,167,4,1559
35001003002,93,122,65,1618
35001003100,67,118,1,1300
35001003201,373,144,47,1100
35001003202,504,322,61,2002
35001003400,733,222,292,145
35001003501,491,299,303,1793
35001003502,279,319,102,2467
35001003600,324,239,623,2389
35001003707,98,97,7,1130
35001003712,36,4,4,2071
35001003715,81,32,1,1455
35001003717,22,183,7,1215
35001003718,78,22,0,857
35001003719,123,143,10,1124
35001003722,237,3,172,1814
35001003723,238,174,1529,937
35001003724,65,26,3,1197
35001003725,83,111,14,1275
35001003726,17,23,0,841
35001003728,22,249,3,1064
35001003729,32,7,1,857
35001003730,12,1,2,1737
35001003731,39,9,0,1572
35001003733,344,113,17,0
35001003736,1015,19,255,293
35001003737,8,22,3,970
35001003738,26,173,3,882
35001003739,21,37,0,617
35001003740,96,181,0,268
35001003741,8,2,0,887
35001003742,22,70,3,1663
35001003743,80,110,10,1652
35001003744,5,0,0,482
35001003745,217,74,296,311
35001003746,205,145,189,1629
35001003803,90,26,64,1454
35001003804,122,46,179,2434
35001003805,110,43,120,835
35001003806,156,45,151,1428
35001003807,303,71,469,1448
35001004001,1350,109,753,1525
35001004300,162,377,91,1473
35001004401,100,151,188,983
35001004402,210,180,150,1531
35001004501,97,176,156,834
35001004502,188,187,130,1079
35001004602,150,100,365,1956
35001004603,183,76,177,1381
35001004604,127,91,242,2017
35001004712,98,4,259,1808
35001004713,37,13,8,2012
35001004715,219,84,706,1199
35001004716,179,92,1,337
35001004720,7,83,13,1023
35001004722,143,197,4,1102
35001004723,22,15,3,2485
35001004724,49,3,2,1171
35001004725,26,2,4,1294
35001004726,4,2,0,908
35001004727,5,4,3,753
35001004728,20,75,2,1730
35001004729,127,54,13,1337
35001004733,79,0,7,1976
35001004734,36,0,533,1375
35001004735,94,7,288,389
35001004736,14,0,420,1
35001004737,5,0,0,1846
35001004738,78,98,311,1373
35001004739,48,2,184,1657
35001004742,150,36,2,1814
35001004743,25,0,0,1181
35001004744,23,0,1,1722
35001004745,19,31,16,1791
35001004747,72,28,3,1538
35001004749,69,78,7,447
35001004750,39,25,6,2046
35001004752,90,93,2,798
35001004753,68,57,3,1055
35001004754,2,0,5,1460
35001004755,23,0,0,1076
35001004756,47,18,1,1091
35001004757,1,0,0,1382
35001004758,23,0,0,1249
35001004759,110,5,380,650
35001004760,251,95,34,430
35001004761,95,9,42,559
35001004762,38,50,8,1445
35001004763,8,90,10,1120
35001004764,81,57,0,603
35001004800,310,194,116,1080
35001004900,161,417,10,511
35001940500,92,32,35,1262
35001940601,34,57,0,2139
35001940602,801,0,45,45
35001940700,1189,0,75,0
35001940800,60,0,0,0
35001980000,2492,1,0,1
35001980300,112,0,0,0
35001980500,0,0,12,0
35001980600,18,0,0,0
35003976401,1057,6,487,716
35003976402,2440,0,314,522
35005000201,307,0,2,1627
35005000202,120,9,2,1443
35005000301,109,2,12,1788
35005000302,351,2,102,713
35005000400,323,0,38,1505
35005000500,176,0,4,800
35005000600,337,0,45,1616
35005000700,204,0,180,1482
35005000800,180,3,48,1906
35005000900,186,0,80,1320
35005001001,93,0,4,1940
35005001002,189,23,84,1754
35005001101,677,0,326,1838
35005001102,752,0,402,2664
35005001200,755,0,165,860
35005001300,796,0,192,1009
35005001400,591,0,416,1080
35006941500,1110,0,0,13
35006945800,1068,0,55,214
35006946100,1871,0,5,9
35006974201,276,44,419,944
35006974202,90,53,89,938
35006974401,261,2,86,369
35006974402,335,16,395,509
35006974701,827,1,631,1691
35006974702,327,1,198,635
35007950500,813,11,536,2081
35007950600,534,1,393,1264
35007950700,2369,19,1250,3235
35009000100,374,35,99,1296
35009000201,65,15,12,1578
35009000202,96,12,46,1438
35009000303,246,0,121,1393
35009000305,164,0,40,750
35009000306,212,0,31,1562
35009000307,39,0,15,1037
35009000308,110,0,22,1480
35009000400,542,0,171,1428
35009000500,354,0,126,933
35009000601,886,0,92,629
35009000602,1722,0,255,2211
35009000603,892,0,252,2224
35009000900,963,0,0,0
35011960100,1046,0,187,1349
35013000102,58,27,0,1207
35013000103,137,52,264,853
35013000104,199,37,53,1523
35013000203,95,65,39,780
35013000204,161,4,261,1032
35013000205,512,14,225,304
35013000206,313,38,378,384
35013000300,125,92,39,1022
35013000401,167,121,22,685
35013000402,195,60,279,1242
35013000500,307,127,44,744
35013000600,328,104,19,687
35013000700,80,162,4,985
35013000800,61,158,19,537
35013000901,199,159,29,178
35013000902,109,228,49,583
35013001000,474,0,4,0
35013001102,151,100,35,966
35013001103,217,19,134,1192
35013001105,164,30,143,371
35013001106,120,4,85,503
35013001203,139,154,4,640
35013001204,72,13,13,1805
35013001205,70,66,15,1007
35013001206,215,154,19,530
35013001207,173,12,255,854
35013001208,56,60,0,1810
35013001209,74,56,8,701
35013001210,42,60,6,893
35013001308,82,2,252,1366
35013001309,254,9,431,1072
35013001310,41,2,16,1851
35013001311,117,24,60,1262
35013001312,45,26,22,296
35013001313,101,0,371,724
35013001314,124,5,296,490
35013001315,55,1,405,658
35013001316,72,2,263,911
35013001317,163,12,224,1132
35013001318,298,3,140,1728
35013001401,339,3,586,849
35013001402,321,41,228,576
35013001501,396,18,118,1778
35013001502,253,4,286,989
35013001600,266,8,171,738
35013001701,572,56,19,2345
35013001702,240,0,171,609
35013001703,406,15,239,1403
35013001705,376,39,249,570
35013001706,79,48,120,796
35013001707,132,61,458,770
35013001805,57,11,307,759
35013001807,90,75,64,294
35013001808,98,11,222,673
35013001809,259,9,573,641
35013001810,436,5,1169,1004
35013001811,242,5,271,604
35013001812,318,0,751,685
35013001813,105,0,525,487
35013001814,316,7,311,862
35013001900,1410,0,0,4
35015000100,351,0,10,502
35015000200,262,26,82,2074
35015000300,304,0,26,2190
35015000401,495,0,288,1504
35015000402,236,9,69,1797
35015000500,216,2,32,1282
35015000600,733,13,497,1788
35015000700,1471,0,1038,1720
35015000800,994,0,290,915
35015000900,2198,0,809,2451
35015001001,371,0,282,956
35015001002,940,8,108,1048
35015001100,448,8,108,2738
35017964100,535,11,459,1538
35017964200,342,0,279,1211
35017964300,239,65,333,1863
35017964401,323,29,146,700
35017964402,155,33,201,984
35017964500,241,18,316,1016
35017964600,400,9,189,1405
35017964701,172,20,247,1429
35017964702,215,0,699,1103
35017964800,198,1,82,1098
35019961600,1853,25,1193,698
35021000100,512,0,174,787
