CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
32001950100,548,235,622,1000
32001950301,273,315,318,766
32001950302,363,258,72,1601
32001950400,366,0,0,0
32001950500,465,142,159,456
32001950600,269,164,1162,1940
32001950700,380,444,1085,2507
32003000101,167,1,7,1962
32003000103,103,95,0,1265
32003000105,153,0,0,1137
32003000106,67,64,15,1016
32003000107,111,97,4,843
32003000108,30,62,0,916
32003000109,15,30,2,824
32003000201,124,80,21,1046
32003000203,263,186,6,773
32003000204,200,1,2,455
32003000301,268,214,5,625
32003000302,177,349,0,829
32003000401,131,87,9,176
32003000402,84,258,2,169
32003000403,32,274,12,250
32003000510,45,89,0,1051
32003000513,392,85,5,782
32003000514,566,202,20,539
32003000515,303,67,0,914
32003000516,427,63,24,717
32003000517,76,99,16,941
32003000518,370,169,1,843
32003000519,38,22,1,995
32003000520,17,24,6,521
32003000521,51,167,14,442
32003000522,43,195,1,41
32003000523,146,175,1,91
32003000524,98,121,2,164
32003000525,22,81,0,513
32003000526,16,25,0,666
32003000527,3,54,1,783
32003000528,149,183,67,155
32003000600,54,104,13,390
32003000700,144,49,38,26
32003001003,203,91,45,992
32003001004,175,314,21,1403
32003001005,156,0,4,903
32003001006,129,71,1,1428
32003001100,230,202,24,31
32003001200,221,122,24,994
32003001300,130,172,1,1408
32003001401,85,100,3,706
32003001402,185,2,1,1180
32003001501,330,241,91,34
32003001502,1221,136,251,259
32003001607,537,33,652,142
32003001608,239,30,163,249
32003001609,36,34,3,1069
32003001610,39,0,6,851
32003001611,58,74,21,1064
32003001613,77,166,17,870
32003001614,396,160,46,2
32003001615,228,390,33,0
32003001706,136,36,71,549
32003001707,76,16,4,315
32003001708,16,24,3,568
32003001709,40,18,6,511
32003001710,80,93,6,839
32003001711,122,156,130,272
32003001712,97,30,7,1025
32003001713,16,12,4,1037
32003001714,10,23,2,1041
32003001715,24,74,0,615
32003001716,55,0,0,516
32003001717,105,0,3,612
32003001718,29,83,3,422
32003001801,462,97,238,756
32003001803,42,88,7,599
32003001804,43,130,188,395
32003001901,107,333,9,415
32003001902,77,93,22,835
32003002000,132,171,7,354
32003002201,742,136,3,460
32003002203,41,105,9,633
32003002204,54,142,28,185
32003002206,272,174,21,261
32003002207,21,222,0,0
32003002302,167,41,36,0
32003002303,16,4,0,0
32003002403,60,234,35,40
32003002404,89,318,22,0
32003002405,32,204,9,20
32003002406,90,88,22,0
32003002501,151,241,62,789
32003002504,77,309,13,304
32003002505,77,116,27,54
32003002506,71,230,2,24
32003002603,223,101,9,0
32003002604,61,181,56,0
32003002605,12,34,23,0
32003002706,98,208,33,86
32003002707,64,113,16,978
32003002708,24,217,8,90
32003002808,211,48,5,766
32003002810,156,365,11,2
32003002811,134,29,33,1460
32003002814,80,59,86,1312
32003002821,171,351,75,442
32003002822,30,43,1,1077
32003002823,78,205,172,105
32003002824,75,0,6,747
32003002825,96,0,2,1038
32003002826,25,0,0,1103
32003002827,32,78,31,610
32003002828,53,85,93,1169
32003002829,17,0,0,1427
32003002830,67,193,4,1431
32003002831,119,173,99,197
32003002833,2,0,0,1913
32003002834,33,109,37,1303
32003002835,20,39,89,655
32003002836,22,104,0,674
32003002837,129,0,19,2496
32003002838,56,95,5,1899
32003002841,88,110,25,1382
32003002842,33,0,1,478
32003002844,24,96,38,1567
32003002845,12,234,26,1095
32003002846,45,186,8,1310
32003002847,761,253,14,564
32003002848,31,127,22,1161
32003002849,14,29,0,513
32003002850,16,61,0,960
32003002851,29,102,6,1467
32003002852,2,0,0,440
32003002853,35,1,2,473
32003002901,13,0,0,1459
32003002902,61,32,1,1019
32003002905,214,367,38,555
32003002915,183,213,14,1203
32003002916,277,102,6,762
32003002919,83,34,47,1226
32003002935,86,0,3,568
32003002936,51,67,3,864
32003002937,98,286,31,649
32003002938,176,45,28,533
32003002939,116,0,11,940
32003002940,6,71,62,987
32003002941,36,0,1,1522
32003002942,12,85,55,1148
32003002944,19,33,35,1527
32003002946,57,39,49,526
32003002947,202,0,12,1228
32003002948,387,17,3,792
32003002949,50,9,13,795
32003002950,85,98,74,878
32003002952,226,47,139,455
32003002953,3,0,4,1562
32003002954,593,190,13,217
32003002956,501,187,10,4
32003002957,10,0,0,927
32003002958,86,362,111,615
32003002961,198,38,6,641
32003002962,1274,12,61,334
32003002964,57,277,157,10
32003002965,450,69,817,0
32003002966,28,412,113,0
32003002967,63,202,117,204
32003002968,3,0,2,974
32003002969,41,115,13,86
32003002970,67,315,152,2
32003002974,116,136,107,1430
32003002975,231,121,73,1612
32003002976,235,183,49,1342
32003002977,41,15,29,1236
32003002978,80,34,22,2066
32003002979,147,65,12,937
32003002980,36,71,0,2069
32003002981,11,78,0,1259
32003002982,33,159,0,1945
32003002983,53,0,3,1124
32003002985,103,0,2,1817
32003002995,124,159,17,0
32003002996,38,329,71,6
32003002997,68,174,77,523
32003002998,60,78,1,1339
32003003001,39,10,0,1116
32003003003,40,255,100,1242
32003003004,45,175,28,188
32003003005,34,0,3,1240
32003003006,29,0,1,1182
32003003102,62,102,18,1026
32003003103,11,54,15,892
32003003104,56,184,0,650
32003003204,35,96,92,2285
32003003208,11,0,7,1288
32003003210,7,0,0,1411
32003003211,14,0,0,1732
32003003213,21,0,0,1164
32003003214,31,0,1,836
32003003215,38,74,1,1339
32003003218,172,27,0,2080
32003003219,58,113,29,1794
32003003220,83,523,63,1143
32003003222,148,168,38,1310
32003003223,96,142,35,827
32003003226,36,11,0,924
32003003227,102,182,2,948
32003003228,60,59,51,582
32003003229,21,25,37,969
32003003233,28,23,0,1808
32003003234,39,54,62,962
32003003235,64,1,3,581
32003003236,128,0,1,917
32003003237,16,65,23,1066
32003003239,12,76,0,1242
32003003240,47,0,0,1446
32003003241,66,128,5,981
32003003242,13,0,0,758
32003003243,13,0,0,1582
32003003244,84,0,2,1265
32003003245,6,0,0,1654
32003003246,62,64,7,1243
32003003247,4,40,62,1261
32003003248,10,34,54,987
32003003249,15,0,0,1301
32003003250,50,45,25,1764
32003003251,12,0,2,915
32003003252,35,41,1,1625
32003003253,30,39,36,1234
32003003254,65,49,23,927
32003003260,65,200,52,600
32003003261,38,130,27,672
32003003262,8,0,0,1527
