CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
39001770100,1728,55,291,2775
39001770200,1209,34,364,3181
39001770301,1144,4,345,2800
39001770302,1077,2,347,2041
39001770400,1114,91,279,2201
39001770500,1521,1,290,2360
39001770600,1076,42,218,1751
39003010100,363,68,10,1608
39003010200,1120,18,94,2537
39003010300,446,14,29,1026
39003010600,972,59,92,2750
39003010801,276,56,12,2046
39003010802,178,51,27,1505
39003010900,333,150,109,1342
39003011000,340,370,70,1409
39003011200,300,36,98,721
39003011301,379,117,295,1634
39003011302,224,6,31,1609
39003011400,650,37,156,1829
39003011500,588,6,113,1762
39003011600,691,15,323,1342
39003011800,599,61,16,1013
39003011900,459,59,238,1314
39003012000,51,74,0,1070
39003012100,240,57,7,1586
39003012200,47,73,0,1012
39003012300,92,71,6,1744
39003012400,152,125,5,890
39003012600,149,40,75,791
39003012700,82,86,0,599
39003012900,57,114,0,452
39003013000,169,131,176,1438
39003013100,56,23,0,1089
39003013200,56,85,0,661
39003013300,53,80,2,361
39003013400,209,145,0,741
39003013600,72,42,5,539
39003013700,46,48,2,473
39003013800,279,70,26,1164
39003013900,543,68,63,1692
39003014000,349,40,39,1592
39003014100,336,109,1,412
39005970101,621,28,249,1246
39005970102,1795,41,191,3294
39005970200,2006,41,338,3204
39005970300,499,114,14,1772
39005970400,488,98,139,1594
39005970500,164,186,3,929
39005970600,386,124,14,1707
39005970700,487,203,30,2161
39005970800,476,127,13,1456
39005970900,1856,30,155,2876
39005971000,1517,47,125,2913
39005971100,872,120,106,1823
39007000101,300,39,97,1121
39007000102,412,71,36,1506
39007000103,188,172,4,958
39007000200,305,59,33,1793
39007000300,602,15,128,1164
39007000400,240,114,7,605
39007000500,375,102,80,1837
39007000601,372,146,6,898
39007000602,123,38,2,1737
39007000603,523,117,115,1675
39007000701,329,131,8,923
39007000702,326,25,42,1773
39007000703,310,77,45,1317
39007000704,324,150,18,1793
39007000801,654,52,115,801
39007000802,316,136,174,1814
39007000900,539,151,43,1994
39007001001,654,46,41,3724
39007001002,586,21,24,2149
39007001101,238,3,73,1276
39007001102,656,124,29,3199
39007001201,369,0,96,1910
39007001202,390,7,58,1436
39007001301,701,29,56,1626
39007001303,339,31,54,1246
39007001304,846,0,19,270
39007001401,447,38,68,2282
39007001402,631,67,167,2514
39007990000,1,0,0,0
39009972600,728,27,251,1965
39009972700,440,118,170,1331
39009972800,581,127,235,1066
39009972900,628,185,217,1609
39009973000,170,168,19,1032
39009973101,159,87,2,145
39009973200,410,120,380,1359
39009973300,441,61,47,1348
39009973400,636,47,110,1241
39009973500,1757,9,224,1361
39009973600,1504,5,357,1775
39009973700,1945,32,292,1609
39009973800,1341,49,378,2468
39009973901,137,25,0,13
39009973902,112,115,3,173
39011040100,1373,12,44,2435
39011040200,815,76,121,1912
39011040300,395,104,73,1312
39011040400,264,146,142,2746
39011040500,2014,32,23,3032
39011040600,840,63,33,1711
39011040900,732,95,4,1501
39011041000,890,84,10,1489
39011041100,2313,48,52,2293
39011041201,280,31,138,963
39011041202,279,125,80,1845
39013010100,260,68,25,1134
39013010200,185,69,97,970
39013010300,262,7,58,1955
39013010600,596,35,196,2222
39013010700,473,18,190,1746
39013010802,252,21,142,1174
39013010901,301,0,51,1417
39013010902,459,65,162,2310
39013011000,945,40,365,3761
39013011200,486,6,208,2403
39013011300,148,94,64,1299
39013011400,273,45,69,1913
39013011500,171,69,6,466
39013011600,54,49,4,258
39013011700,88,107,0,220
39013011900,60,78,1,621
39013012000,82,52,2,560
39013012100,179,46,0,124
39013012201,263,6,85,1244
39013012202,253,36,69,906
39013012300,307,88,38,1631
39013012400,407,138,92,1794
39015951201,471,14,533,2472
39015951202,392,6,1331,2075
39015951301,481,75,464,1835
39015951302,194,36,565,992
39015951400,592,21,796,2621
39015951500,1145,10,995,3837
39015951600,587,51,692,1665
39015951700,500,24,285,1392
39015951800,727,117,338,2288
39015951900,888,19,1375,3226
39017000100,101,58,0,1591
39017000200,245,92,4,1085
39017000300,271,87,4,544
39017000400,391,89,6,627
39017000500,193,88,3,1103
39017000600,302,102,12,969
39017001001,100,170,1,1609
39017001002,212,187,4,1377
39017001100,219,103,7,1002
39017001300,77,107,4,1395
39017010102,331,126,52,752
39017010103,180,186,1,1315
39017010104,120,0,0,0
39017010105,113,212,22,396
39017010106,98,192,8,302
39017010201,75,0,0,9
39017010202,1662,82,9,2481
39017010203,1268,18,203,2986
39017010301,1263,18,83,2422
39017010302,1113,15,11,1952
39017010500,167,15,16,940
39017010600,823,39,15,1813
39017010800,1091,78,54,3002
39017010901,152,63,0,1587
39017010903,175,7,0,1728
39017010904,129,90,1,1510
39017010906,452,163,138,1020
39017010907,49,32,1,923
39017010909,437,116,7,415
39017010910,102,35,0,1422
39017010911,59,23,0,1502
39017010912,157,58,1,451
39017010913,297,134,0,169
39017011003,32,33,1,2247
39017011004,394,115,115,1364
39017011005,187,27,1,2597
39017011006,167,21,0,2178
39017011109,288,165,4,1217
39017011110,72,8,0,2194
39017011111,351,12,18,2326
39017011112,39,0,1,2136
39017011118,71,61,85,850
39017011120,269,92,5,2254
39017011122,118,168,0,727
39017011123,1200,162,15,226
39017011125,152,21,2,1252
39017011126,106,67,0,1035
39017011127,51,0,0,1400
39017011128,88,0,0,805
39017011129,67,52,0,1368
39017011130,191,55,151,1421
39017011131,377,8,0,1160
39017011132,113,27,11,1384
39017011133,77,0,0,1383
39017011134,208,27,3,2745
39017011135,453,3,62,1866
39017011136,47,0,8,1637
39017011137,24,0,0,1185
39017011200,452,200,42,2603
39017011300,641,0,16,1805
39017011800,114,50,2,2252
39017012100,576,15,0,1308
39017012200,319,51,74,934
39017012300,74,48,6,898
39017012400,39,24,2,951
39017012500,79,25,6,1953
39017012600,97,28,0,895
39017012700,85,75,1,1335
39017013000,143,60,3,418
39017013100,177,59,2,616
39017013200,141,121,2,1017
39017013300,107,13,3,976
39017013400,18,162,1,526
39017013500,46,74,127,944
39017013600,181,239,48,911
39017013900,220,36,4,1303
39017014000,207,52,67,708
39017014100,585,71,10,722
39017014300,582,8,19,2769
39017014400,224,77,3,176
39017014600,172,54,5,55
39017014700,326,106,7,1031
39017014800,213,63,2,2518
39017014900,156,25,1,1744
39017015000,1171,22,131,3943
39017015100,280,145,3,2246
39019720100,665,21,211,2592
39019720200,501,86,180,1597
39019720300,879,63,258,2748
39019720400,1183,33,239,2889
39019720500,786,192,183,2301
39019720600,876,7,226,2803
39019720700,1040,24,208,2349
39021010100,206,6,185,1232
39021010200,659,99,338,4873
39021010400,259,300,120,1407
39021010500,262,288,21,1226
39021010600,261,183,22,1328
39021011001,178,22,100,1924
39021011501,422,10,300,3270
39021011504,432,9,442,3066
39021011505,238,36,176,1341
39021011506,211,51,215,1416
39023000200,93,170,4,360
39023000300,64,103,2,339
39023000400,128,198,6,499
39023000500,179,113,16,499
39023000600,51,262,2,654
39023000700,188,169,4,105
39023000901,154,225,6,479
39023000902,82,32,1,527
39023001000,55,36,3,613
39023001101,29,131,0,417
39023001102,101,57,3,1184
39023001200,272,211,9,1098
39023001300,234,109,3,1942
39023001400,125,66,4,1646
39023001500,118,108,36,1788
39023001600,223,78,78,1638
39023001700,177,80,7,831
39023001900,296,46,6,1280
39023002000,127,47,7,1092
39023002100,263,107,26,554
39023002200,755,46,23,2248
39023002301,682,23,164,1412
39023002403,16,52,7,1577
39023002404,49,228,20,925
39023002501,109,362,24,419
39023002502,476,188,103,1049
39023002601,1229,20,11,1727
39023002602,843,40,189,1814
39023002605,521,35,8,1899
39023002607,54,132,26,1188
39023002608,77,331,26,1253
39023002701,127,17,5,1260
39023002702,180,105,48,932
39023002800,796,67,10,2590
39023002901,141,16,23,1576
39023002902,304,44,555,1843
39023003001,174,69,2,1291
39023003002,476,29,41,1888
39023003101,91,52,27,975
39023003102,106,33,155,767
39023003200,758,31,12,1558
39023003301,900,32,221,1712
39023003302,748,46,23,1127
39023003400,340,266,3,847
39023003700,197,227,12,1626
39025040101,1017,7,688,2042
39025040102,293,5,275,1171
39025040202,255,7,87,1200
39025040203,440,47,266,2416
39025040205,99,2,408,586
39025040206,178,45,410,1499
39025040301,120,3,1,1372
39025040302,119,48,0,1218
39025040303,73,11,0,2395
39025040401,254,87,7,1229
39025040403,133,44,3,597
39025040404,89,43,11,1034
39025040405,78,21,12,895
39025040500,338,141,74,1273
39025040600,323,22,81,2574
39025040702,120,9,72,1423
39025040703,97,35,0,1331
39025040704,150,47,207,729
39025040800,842,77,150,2886
39025040900,901,72,139,2360
39025041001,605,13,473,1511
39025041002,350,15,18,967
39025041101,215,40,5,939
39025041102,221,110,17,995
39025041104,94,9,0,1131
39025041105,136,80,59,1363
39025041201,128,142,5,999
39025041202,210,65,4,1562
39025041303,143,38,7,1618
39025041304,13,0,0,16
39025041305,63,68,0,1543
39025041306,213,100,7,624
39025041307,183,114,10,1529
39025041403,190,53,2,1386
39025041404,128,190,9,917
39025041405,132,86,0,1498
39025041406,85,10,1,1838
39025041503,148,41,62,1273
39025041504,184,16,7,1564
39025041505,123,72,1,979
39025041506,279,2,0,1299
39025041600,520,55,387,1850
39025041701,380,12,1075,964
39025041702,516,5,476,1387
39025041800,326,65,18,1331
39025041900,1140,5,102,3080
39025042001,1121,26,876,1160
39025042002,926,2,584,719
39027964300,753,46,344,1470
39027964400,2118,13,287,2308
39027964501,242,133,22,967
39027964502,311,76,8,1032
39027964600,240,146,18,796
39027964700,684,117,189,1444
39027964800,1304,16,545,1822
39027964900,555,115,90,1869
39027965000,1299,14,414,1467
39027965100,1734,31,432,1666
39029950100,965,97,378,2314
39029950200,679,180,91,1616
39029950300,604,80,168,1610
39029950400,1032,15,282,1488
39029950500,474,228,76,2191
39029950600,242,210,42,1724
39029950700,544,139,53,2414
39029950800,1154,50,222,2052
39029950900,1239,13,329,1904
39029951000,1973,35,727,2356
39029951100,598,106,195,1178
39029951200,1406,23,505,1616
39029951300,767,3,400,1195
39029951401,636,17,421,732
39029951402,804,5,392,845
39029951500,512,91,234,1870
39029951600,917,45,518,1876
39029951700,549,14,423,1867
39029951800,205,51,78,573
39029951900,286,21,135,995
39029952000,228,50,33,926
39029952100,153,53,9,219
39029952200,222,10,3,455
39029952300,107,48,11,465
39029952400,291,32,117,1209
39031960900,872,5,8,3964
39031961000,445,16,35,2359
39031961100,1175,1,12,4079
39031961200,545,1,11,1785
39031961300,343,61,17,1078
39031961400,463,118,93,580
39031961500,118,100,8,593
39031961600,116,18,1,848
39031961700,90,34,10,891
39031961800,679,50,145,3034
39033974100,708,0,69,3234
39033974200,654,0,87,3208
39033974300,151,52,28,1068
39033974400,300,6,181,1462
39033974500,234,19,39,1650
39033974600,241,36,73,1144
39033974700,545,3,137,3396
39033974800,107,39,98,1089
39033974900,292,11,116,1704
39033975000,216,144,15,1728
39033975100,120,441,11,866
39033975200,119,91,66,1409
39033975300,205,211,98,1423
39035101101,42,148,5,199
39035101102,57,535,4,687
39035101201,154,220,15,263
39035101300,96,141,11,134
39035101400,129,226,7,536
39035101501,57,243,3,433
39035101603,95,238,4,565
39035101700,101,198,4,454
39035101800,126,253,21,465
39035101901,95,213,4,255
39035102101,67,474,2,708
39035102102,78,134,7,946
39035102200,56,358,5,867
39035102300,62,229,2,545
39035102401,72,207,4,514
39035102402,94,301,6,708
39035102700,358,475,25,890
39035102800,118,250,11,328
39035102900,114,253,8,332
39035103300,103,4,1,5
39035103500,108,301,16,398
39035103602,260,261,16,336
39035103800,147,260,12,352
39035104400,115,212,4,228
39035104800,251,295,18,231
39035105100,423,434,14,658
39035105300,104,353,6,728
39035105400,90,386,1,825
39035105500,49,246,3,305
39035105602,140,243,9,432
39035105700,89,140,6,1415
39035105900,144,178,93,1269
39035106100,77,92,11,1731
39035106200,34,262,15,1542
39035106500,94,160,24,1145
39035106600,146,258,5,1321
39035106800,91,272,9,700
39035106900,53,165,13,1562
39035107000,144,34,23,842
39035107101,121,7,2,1
39035107701,184,4,5,0
39035107802,239,18,4,4
