CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
40001376600,638,1,298,1367
40001376700,1099,5,441,2788
40001376800,869,0,188,2486
40001376900,553,24,713,1129
40001377000,706,0,273,2498
40003955600,939,2,292,1958
40003955700,375,4,110,1082
40003956000,677,2,274,1914
40005587600,623,1,158,1273
40005587700,655,41,313,1785
40005587800,835,0,360,2916
40005587900,877,0,330,3176
40007951600,643,1,460,2178
40007951700,681,5,83,2800
40007951800,206,8,195,873
40009966100,1161,100,528,3131
40009966200,1326,17,705,3294
40009966500,650,3,175,1712
40009966800,1055,18,463,3017
40011958600,392,9,86,1252
40011958700,447,7,402,1135
40011958800,616,4,191,1441
40011958900,441,40,221,1660
40011959000,419,1,199,1324
40013795600,690,4,201,2404
40013795700,661,16,327,2691
40013795900,306,0,266,1159
40013796002,513,49,552,2554
40013796003,513,1,631,2381
40013796004,218,0,574,1021
40013796101,318,66,107,2077
40013796102,355,42,229,1608
40013796200,152,134,98,1005
40013796300,236,48,26,655
40013796400,251,37,111,787
40013796500,299,6,204,1170
40013796600,643,13,863,2924
40015161601,429,9,325,875
40015161602,760,0,282,1883
40015161700,485,0,255,1252
40015161800,577,6,575,2286
40015161900,463,5,151,1015
40015162000,831,0,294,2260
40015162101,342,4,241,1186
40015162102,388,18,217,1283
40015162200,434,0,362,1502
40015162300,530,11,335,1753
40017300100,676,2,206,2161
40017300201,401,10,151,3272
40017300202,1078,0,319,2685
40017300300,69,21,30,1391
40017300400,91,0,20,433
40017300500,123,15,40,1206
40017300600,82,6,34,1362
40017300701,107,3,4,421
40017300702,891,1,336,2208
40017300802,34,58,5,1043
40017300803,134,0,73,1733
40017300804,26,0,2,903
40017300805,130,20,14,2052
40017300806,42,0,8,1456
40017300901,154,0,9,2205
40017300902,83,0,1,802
40017300904,1002,31,3,787
40017300905,39,27,20,1736
40017301001,330,25,8,251
40017301003,105,91,7,2217
40017301006,43,0,1,1195
40017301010,18,0,28,957
40017301011,78,0,335,1282
40017301012,10,0,4,756
40017301013,41,78,1,1819
40017301014,51,41,4,1412
40017301015,145,33,0,134
40017301100,223,12,30,1952
