CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
41001950100,457,12,756,2387
41001950200,220,52,267,1388
41001950300,291,38,442,1316
41001950400,156,55,330,1225
41001950500,420,27,263,1239
41001950600,538,5,486,1969
41003000101,131,115,136,1113
41003000102,78,82,153,811
41003000202,105,89,23,1801
41003000401,46,21,0,905
41003000402,46,120,0,1439
41003000500,57,6,77,1364
41003000600,160,129,636,1070
41003000900,35,93,3,1642
41003001001,131,88,105,705
41003001002,56,24,6,1016
41003001101,44,98,6,356
41003001102,102,91,16,885
41003010101,67,4,63,1555
41003010102,39,0,99,3007
41003010200,252,0,405,2380
41003010300,147,1,564,1984
41003010400,234,6,821,2314
41003010601,195,82,12,298
41003010602,124,39,2,111
41003010702,237,34,5,375
41003010800,238,45,238,1072
41003010900,182,111,169,1772
41005020101,19,42,0,648
41005020102,74,54,0,658
41005020201,154,118,2,760
41005020202,50,25,4,641
41005020302,130,45,0,914
41005020303,37,237,3,742
41005020304,36,160,0,1352
41005020401,119,45,3,1356
41005020403,10,0,1,1135
41005020404,30,6,4,1083
41005020503,13,8,2,788
41005020504,40,56,4,1988
41005020505,66,55,2,801
41005020506,73,53,6,843
41005020507,18,52,1,879
41005020601,59,23,6,978
41005020602,46,64,0,1592
41005020700,71,50,1,1260
41005020800,224,177,0,768
41005020900,38,152,0,1264
41005021000,73,74,2,1639
41005021100,53,98,52,1790
41005021200,52,186,48,613
41005021300,80,137,70,1852
41005021400,78,86,41,1513
41005021500,217,64,29,1557
41005021601,176,189,372,1135
41005021602,108,144,59,1220
41005021700,148,173,276,1510
41005021801,14,11,16,2109
41005021802,70,120,116,799
41005021900,104,151,3,847
41005022000,93,121,25,2017
41005022101,41,70,370,1856
41005022105,182,72,271,1538
41005022107,157,210,1,265
41005022108,427,97,497,265
41005022109,45,24,9,843
41005022110,48,43,65,1093
41005022201,134,190,170,312
41005022205,44,96,2,937
41005022206,43,67,0,1845
41005022207,30,0,4,1972
41005022208,69,64,40,2462
41005022301,293,27,26,1888
41005022302,90,38,539,1949
41005022400,179,115,3,1118
41005022501,28,91,3,1100
41005022502,131,165,6,978
41005022602,65,2,36,1891
41005022603,158,47,59,873
41005022605,148,171,139,1744
41005022606,26,21,69,1896
41005022702,247,26,47,3142
41005022707,220,51,25,1254
41005022708,120,47,87,1408
41005022710,57,124,5,278
41005022800,236,81,64,1688
41005022901,145,51,153,1590
41005022904,160,102,2,840
41005022905,72,33,5,1507
41005022906,99,39,267,592
41005022907,96,126,170,671
41005023001,85,1,36,1899
41005023002,141,1,173,2383
41005023100,287,1,156,4255
41005023201,111,0,51,2553
41005023202,127,1,181,2832
41005023300,325,5,64,3182
41005023401,303,0,225,2676
41005023403,49,65,22,1481
41005023404,255,112,185,1758
41005023500,371,7,503,3154
41005023600,181,1,166,2608
41005023700,233,7,205,3459
41005023800,677,1,434,5325
41005023901,121,71,93,1707
41005023902,313,133,107,1946
41005024000,152,0,174,1909
41005024100,244,4,187,3466
41005024200,288,77,198,2724
41005024302,202,14,149,2550
41005024303,111,32,150,1067
41005024304,193,48,73,1242
41005024401,23,148,11,493
41005024402,119,197,8,402
41005980000,81,0,0,35
41007950100,94,128,36,947
41007950200,183,110,28,905
41007950300,181,120,9,706
41007950400,266,21,342,1813
41007950500,392,148,346,1491
41007950600,321,56,181,1359
41007950700,208,32,132,1587
41007950900,266,184,212,1972
41007951100,338,169,312,2751
41007951200,316,6,522,1377
41007951300,205,26,245,1387
41007990000,20,0,0,0
41009970201,144,238,598,1252
41009970202,286,415,426,1155
41009970300,282,367,580,1322
41009970400,74,240,540,952
41009970500,180,293,640,2349
41009970600,266,405,448,2812
41009970700,149,362,53,998
41009970800,229,286,74,1626
41009970900,287,156,334,1260
41009971000,150,268,194,1687
41009971100,242,298,488,1434
41011000101,147,2,404,541
41011000102,313,1,320,414
41011000103,525,6,231,643
41011000200,620,0,264,823
41011000300,136,76,161,924
41011000401,163,46,74,841
41011000402,84,73,98,1117
41011000502,384,6,460,775
41011000503,104,72,83,704
41011000505,166,140,487,698
41011000506,84,12,266,383
41011000600,73,29,21,849
41011000701,391,79,224,1185
41011000702,247,23,248,717
41011000800,226,40,207,869
41011000901,347,31,280,1206
41011000902,697,23,306,1049
41011001001,377,62,475,1460
41011001002,1137,13,558,1439
41011001101,720,4,401,962
41011001102,707,29,453,1348
41013950101,115,4,127,1454
41013950102,288,10,196,2144
41013950200,585,17,682,2231
41013950301,292,3,368,2644
41013950302,191,40,174,875
41013950401,49,0,837,1024
41013950402,173,0,794,1348
41015950100,489,25,461,1795
41015950201,407,48,603,1196
41015950202,172,6,338,1100
41015950301,358,78,755,1612
41015950302,366,182,215,1666
41015950401,171,2,684,777
41015950402,168,11,644,433
41017000100,262,0,72,1318
41017000201,410,32,558,1086
41017000202,298,1,767,1545
41017000301,311,27,930,1975
41017000302,410,1,1676,2175
41017000401,139,1,727,1365
41017000403,168,154,26,2473
41017000404,143,1,169,926
41017000501,139,24,35,2571
41017000502,486,66,287,1694
41017000601,303,0,265,1069
41017000602,479,1,204,2009
41017000603,319,36,230,2507
41017000701,223,89,369,1122
41017000702,444,0,759,2312
41017000800,333,98,282,2132
41017000901,452,243,74,828
41017000902,111,114,11,716
41017001002,249,3,461,1041
41017001003,145,54,160,1828
41017001004,27,91,169,1713
41017001005,302,13,230,1466
41017001101,393,94,17,2169
41017001102,294,22,210,2914
41017001200,768,9,449,3536
41017001301,71,104,12,2351
41017001302,212,164,4,2751
41017001401,90,75,42,2197
41017001402,201,3,7,707
41017001501,209,203,37,918
41017001502,279,108,14,807
41017001601,192,299,16,785
41017001602,360,60,17,621
41017001701,57,91,121,1526
41017001702,16,63,2,1041
41017001801,104,333,78,361
41017001802,204,111,109,1293
41017001901,184,0,62,1181
41017001903,86,160,146,1328
41017001904,67,0,142,1626
41017002001,18,0,8,571
41017002002,173,93,209,2578
41017002101,89,124,496,896
41017002102,66,46,66,751
41017002103,15,3,221,2079
41019010000,475,50,333,712
41019020000,341,41,166,1460
41019030000,1104,13,359,1859
41019040000,893,4,264,1261
41019050001,988,30,293,2207
41019050003,328,59,450,1060
41019050004,165,80,205,1045
41019060000,930,0,163,1881
41019070000,1175,2,318,2750
41019080001,269,73,31,1248
41019080002,231,76,37,1647
41019090001,191,105,673,1361
41019090002,252,0,51,560
41019100000,590,17,258,1375
41019110000,1183,2,212,1394
41019120001,258,87,26,866
41019120002,557,174,240,1160
41019130001,194,54,57,755
41019130002,177,60,31,872
41019140000,243,134,93,1697
41019150001,249,42,482,1333
41019150002,49,31,44,1110
41019160001,448,53,127,881
41019160002,396,72,208,1661
41019170000,837,2,483,1478
41019180000,661,48,187,2065
41019190000,333,33,239,1761
41019200000,739,52,404,1744
41019210000,1166,16,467,1805
41021960100,676,0,445,1438
41023960100,1627,21,866,416
41023960201,1076,0,541,194
41023960202,1300,2,890,266
41025960101,240,122,164,933
41025960102,881,209,631,507
41025960200,2022,48,738,210
41027950100,722,53,594,1704
41027950201,537,6,348,1712
41027950202,115,27,138,1056
41027950301,181,122,67,709
41027950302,125,48,48,786
41027950400,811,12,634,1661
41029000100,519,94,67,197
41029000201,129,192,34,853
41029000202,64,212,21,918
41029000203,27,126,10,1313
41029000300,220,199,354,1143
41029000403,22,21,23,1500
41029000404,1,2,7,1887
41029000405,99,208,37,830
41029000406,85,163,27,1130
41029000501,125,145,17,848
41029000502,190,326,23,908
41029000603,45,0,4,1535
41029000604,53,45,9,1254
41029000605,101,122,24,891
41029000606,111,24,70,478
41029000701,111,35,301,1598
41029000702,60,54,119,2206
41029000800,315,112,585,2054
41029000901,259,0,91,1955
41029000902,74,50,59,1875
41029001001,109,151,392,1852
41029001002,124,118,67,1194
41029001100,345,42,845,2104
41029001200,571,178,64,1141
41029001301,938,34,662,1714
41029001303,17,6,783,853
41029001304,100,3,516,2142
41029001401,86,79,228,1440
41029001402,136,2,314,952
41029001403,101,42,311,1499
41029001500,194,30,363,2270
41029001601,194,54,1170,80
41029001602,261,135,411,2112
41029001701,109,64,267,684
41029001702,176,170,411,1166
41029001801,266,88,219,1038
41029001802,109,18,55,1579
41029001900,148,114,21,380
41029002000,141,111,35,548
41029002100,59,106,55,1074
41029002200,39,74,17,1728
41029002300,81,0,103,1010
41029002400,186,0,119,1375
41029002500,255,0,281,1755
41029002600,263,7,490,1487
41029002701,179,9,695,1701
41029002702,145,30,748,1043
41029002800,237,15,924,2466
41029002901,184,59,312,1123
41029002902,101,0,596,1902
41029003001,112,19,640,1805
41029003002,234,6,533,2509
41031940000,870,0,0,2
41031960100,1222,0,376,135
41031960201,404,32,382,506
41031960202,611,24,432,1463
41031960301,93,0,2089,1514
41031960303,232,0,306,686
41031960304,619,2,318,435
41031960305,559,0,394,302
41033360100,118,2,205,920
41033360300,308,6,651,2260
41033360400,148,3,229,2171
41033360500,290,241,13,1250
41033360601,207,104,27,610
41033360602,73,57,135,1166
41033360701,188,163,19,950
41033360703,38,57,79,701
41033360704,116,135,8,665
41033360800,98,10,438,2370
41033360900,57,1,234,1106
41033361000,73,0,341,2311
41033361101,95,132,135,1436
41033361102,17,82,70,1298
41033361201,83,57,99,842
41033361202,122,45,88,972
41033361301,51,4,157,1180
41033361302,24,3,219,982
41033361400,132,0,201,1128
41033361500,121,1,239,897
41033361601,409,35,563,1630
41033361602,158,0,299,1462
41035970100,511,0,1413,1727
