CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
42001030101,145,3,92,1518
42001030103,73,0,22,1168
42001030104,147,20,235,1497
42001030200,386,62,343,2763
42001030300,270,40,146,2201
42001030400,434,34,208,2698
42001030500,316,62,184,1993
42001030600,542,31,208,2191
42001030700,338,37,369,2804
42001030801,241,27,348,1047
42001030802,103,27,14,509
42001030803,146,6,172,1285
42001030901,208,75,54,967
42001030902,439,32,60,1182
42001031000,103,13,9,699
42001031101,156,214,21,1573
42001031102,88,22,32,1427
42001031201,237,12,76,2348
42001031202,204,9,56,1491
42001031203,167,10,49,1788
42001031300,159,181,7,1361
42001031401,242,54,194,1599
42001031402,183,18,83,1281
42001031501,147,32,2,238
42001031502,334,141,43,650
42001031600,380,22,113,3734
42001031700,197,19,102,1505
42003010301,8,0,2,0
42003010302,105,30,1,60
42003020100,154,12,7,1
42003020300,195,15,3,19
42003030500,77,111,14,213
42003040200,81,31,4,191
42003040400,64,10,1,12
42003040500,78,205,8,94
42003040600,19,139,2,65
42003040900,59,170,27,333
42003050100,125,77,31,329
42003050600,28,85,29,539
42003050900,43,46,3,39
42003051000,88,53,1,37
42003051100,75,0,0,4
42003060300,151,115,4,297
42003060500,52,105,15,238
42003070300,47,188,7,285
42003070500,55,238,6,206
42003070600,12,136,3,164
42003070800,38,117,9,109
42003070900,62,109,4,384
42003080200,52,105,4,314
42003080400,71,111,1,192
42003080600,22,263,10,311
42003080700,21,231,0,83
42003080900,48,155,5,226
42003090100,121,82,8,241
42003090200,44,92,4,293
42003090300,56,105,7,239
42003100500,7,41,9,657
42003101100,110,85,17,391
42003101400,50,183,8,1035
42003101800,23,30,5,1088
42003101900,66,104,21,554
42003110200,29,315,6,722
42003110600,2,127,0,805
42003111300,31,329,4,286
42003111400,24,99,12,260
42003111500,100,201,13,117
42003120300,51,64,24,546
42003120900,177,115,66,366
42003130200,46,58,23,454
42003130600,72,114,20,683
42003130700,114,111,63,602
42003130800,168,166,43,473
42003140100,81,45,1,777
42003140200,41,50,4,410
42003140300,25,227,1,758
42003140400,24,76,2,767
42003140500,33,240,6,288
42003140800,42,272,2,907
42003141100,4,28,4,599
42003141200,39,253,1,1237
42003141300,24,219,4,640
42003141400,31,155,6,1383
42003151600,39,73,8,879
42003151700,50,251,9,1570
42003160800,31,153,17,914
42003160900,148,123,7,216
42003161000,61,99,24,999
42003170200,203,206,7,437
42003170600,39,117,16,467
42003180300,81,114,31,713
42003180700,8,153,5,599
42003190300,33,180,5,538
42003191100,54,101,12,864
42003191400,53,269,13,684
42003191500,37,130,8,665
42003191600,65,218,29,1299
42003191700,45,53,2,1297
42003191800,44,155,3,2152
42003191900,51,104,7,774
42003192000,63,121,7,1152
42003202200,64,92,11,796
42003202300,97,71,25,1186
42003241300,131,179,27,743
42003250900,12,61,12,312
42003260200,55,84,26,767
42003260700,6,99,6,533
42003261300,97,22,8,477
42003261400,70,106,40,660
42003261500,36,70,17,483
42003262000,28,77,18,746
42003270100,38,155,4,855
42003270300,27,109,10,510
42003270800,19,71,9,1016
42003271600,107,155,39,1388
42003281400,36,71,5,664
42003281500,22,55,7,541
42003290100,82,71,10,755
