CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
44001030100,84,68,7,1792
44001030200,181,93,4,1139
44001030300,63,68,20,1580
44001030400,91,40,5,1430
44001030500,272,352,65,183
44001030601,231,65,70,1018
44001030602,240,113,97,973
44001030700,207,386,26,208
44001030800,253,293,45,656
44001030901,143,30,40,1861
44001030902,395,283,54,1888
44003020101,125,171,5,1686
44003020102,194,274,20,973
44003020200,160,375,7,884
44003020300,171,572,11,770
44003020400,103,297,5,633
44003020500,155,390,10,855
44003020601,105,167,136,1893
44003020602,270,159,232,617
44003020603,216,216,283,1736
44003020604,169,242,34,1434
44003020701,85,16,25,749
44003020702,103,35,177,1401
44003020703,192,60,136,1746
44003020800,437,76,1030,968
44003020901,236,238,3,910
44003020903,400,97,4,2163
44003020904,79,31,9,1291
44003021001,49,29,3,913
44003021002,104,183,7,1663
44003021100,681,159,13,1628
44003021200,139,50,1,1181
44003021300,57,184,3,2014
44003021401,78,40,0,1467
44003021402,93,67,4,1257
44003021501,113,154,10,1157
44003021502,118,124,49,1699
44003021600,50,46,5,682
44003021700,175,150,18,1881
44003021800,158,40,1,1212
44003021901,195,26,0,1180
44003021902,93,23,1,859
44003021903,51,35,2,1664
44003022000,226,143,19,1103
44003022100,373,127,10,1774
44003022201,147,85,11,2177
44003022202,162,152,50,431
44003022300,275,315,112,566
44003022400,91,44,7,973
44003980000,58,0,0,0
44005040101,217,115,57,1530
44005040102,186,161,27,2342
44005040104,407,196,23,1531
44005040105,199,91,10,1144
44005040200,258,104,0,0
44005040302,209,134,23,896
44005040303,175,74,2,602
44005040304,190,200,10,767
44005040400,420,474,41,2631
44005040500,312,247,62,621
44005040600,112,556,21,883
44005040700,102,371,25,1013
44005040800,162,305,17,573
44005040900,314,400,14,1307
44005041000,208,290,18,369
44005041100,81,201,12,412
44005041200,137,16,2,5
44005041300,305,83,83,3285
44005041400,408,31,257,2779
44005041601,126,231,11,947
44005041602,150,196,14,1483
44005041701,228,162,288,1007
44005041702,212,139,208,2389
44005990000,2,0,3,0
44007000101,325,342,7,508
44007000102,176,410,7,733
44007000200,91,609,7,348
44007000301,65,249,2,80
44007000302,97,403,9,201
44007000400,103,283,23,295
44007000500,72,213,12,274
44007000600,332,132,5,136
44007000700,104,124,3,111
44007000800,145,13,0,7
44007000900,110,231,8,33
44007001000,72,287,3,45
44007001100,135,371,5,58
44007001200,85,174,8,97
44007001300,41,543,4,93
44007001400,158,609,9,296
44007001500,102,262,1,460
44007001601,115,337,5,93
44007001602,57,627,0,245
44007001700,108,521,12,277
44007001800,180,491,10,688
44007001900,226,548,23,146
44007002000,95,395,12,569
44007002101,12,244,4,503
44007002102,74,628,7,613
44007002200,165,583,3,155
44007002300,64,601,9,816
44007002400,214,275,10,1677
44007002500,148,341,0,36
44007002600,118,434,1,134
44007002700,141,432,5,297
44007002801,33,311,9,485
44007002802,86,275,6,231
44007002900,239,752,25,910
44007003100,96,402,19,214
44007003200,48,469,11,427
44007003300,115,474,27,781
44007003400,53,247,10,1399
44007003500,118,502,13,409
44007003601,230,161,10,108
44007003602,207,132,4,198
44007003700,171,496,9,161
44007010101,140,184,37,1082
44007010102,187,79,1,1131
44007010200,370,643,10,1194
44007010300,274,246,93,986
44007010400,177,636,7,1114
44007010501,185,190,18,1191
44007010502,206,194,41,1145
44007010600,127,307,18,1683
44007010701,50,36,37,820
