CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
45001950100,832,0,722,1188
45001950200,914,0,846,1519
45001950300,1248,0,1157,1428
45001950401,706,0,233,1263
45001950402,500,0,410,1397
45001950500,1380,22,797,1864
45001950600,867,0,483,974
45003020100,1433,0,831,2796
45003020200,1057,16,655,3353
45003020301,416,2,416,1106
45003020303,210,16,198,779
45003020304,316,29,200,1764
45003020401,364,7,187,2288
45003020402,244,20,57,835
45003020500,368,20,110,3145
45003020601,215,0,74,1607
45003020603,68,1,12,1337
45003020604,214,18,171,1258
45003020701,111,48,16,2482
45003020702,262,128,88,1470
45003020801,63,0,0,1328
45003020802,301,153,10,1964
45003020901,401,2,185,1085
45003020903,242,0,273,1644
45003020904,529,16,252,1551
45003021001,457,6,195,2635
45003021003,202,7,185,1535
45003021004,226,24,64,828
45003021101,244,8,159,1237
45003021102,218,9,153,1896
45003021201,182,26,23,2633
45003021202,144,69,2,1453
45003021204,208,32,15,840
45003021205,195,3,43,3118
45003021300,479,40,60,1911
45003021401,235,41,12,999
45003021402,246,84,37,1185
45003021500,257,100,28,2225
45003021601,697,26,434,2117
45003021603,234,43,107,1198
45003021604,380,4,52,2246
45003021700,1138,2,674,2593
45003021800,614,1,291,1562
45003021901,513,3,566,1789
45003021902,415,0,503,1706
45003022001,387,11,330,2505
45003022003,544,7,297,2435
45003022004,440,13,255,1299
45003022100,590,13,314,1606
45003980100,725,0,0,2
45005970201,508,21,99,1018
45005970202,673,17,130,979
45005970500,997,12,269,1731
45007000200,301,66,0,1424
45007000300,265,98,12,1258
45007000500,113,35,55,1092
45007000600,347,60,32,1163
45007000701,241,33,33,1126
45007000702,314,20,85,787
45007000800,272,8,102,932
45007000900,209,53,9,1275
45007001000,316,38,16,632
45007001100,277,35,14,1915
45007010103,669,16,527,3623
45007010105,537,14,84,640
45007010106,485,17,179,2371
45007010107,127,140,123,1811
45007010108,615,34,610,2117
45007010200,678,125,612,2266
45007010300,563,56,290,2113
45007010403,246,11,130,1522
45007010404,424,12,158,1353
45007010405,475,104,619,1467
45007010406,722,13,620,1337
45007010501,609,17,158,1923
45007010502,480,90,422,1692
45007010601,514,10,651,1843
45007010602,578,25,300,1847
45007010701,925,113,73,825
45007010702,315,30,229,1642
45007010800,864,35,501,2376
45007010900,2035,12,809,2442
45007011001,860,26,377,2543
45007011002,167,46,74,2009
45007011100,307,12,67,648
45007011201,238,22,20,2252
45007011203,174,17,142,1883
45007011204,290,40,29,1763
45007011301,352,9,480,1663
45007011302,547,23,563,1694
45007011401,291,45,127,2222
45007011402,457,18,346,1570
45007011501,362,31,228,1908
45007011502,469,15,423,1457
45007011600,373,7,448,1176
45007011701,360,8,616,804
45007011702,611,21,497,2055
45007011800,430,6,839,1682
45007011901,462,89,510,2126
45007011902,293,16,282,1108
45007012001,263,57,98,1921
45007012002,502,25,292,2509
45007012200,991,47,1002,2417
45007012300,317,73,75,1257
45009960101,515,0,111,652
45009960102,953,2,77,803
45009960201,517,20,34,895
45009960202,975,0,207,1590
45009960300,425,0,132,824
45009960400,533,6,160,1073
45011970101,465,12,131,753
45011970102,965,8,264,1576
45011970200,925,5,257,1168
45011970300,736,44,136,1280
45011970401,469,7,174,969
45011970402,448,24,169,1278
45011970500,1257,3,389,1362
45011980100,377,0,0,10
45013000100,727,13,412,1756
45013000200,639,5,560,931
45013000300,1136,0,46,363
45013000400,275,0,1,2
45013000501,428,35,493,1551
45013000502,360,77,296,1312
45013000503,328,36,163,1742
45013000600,141,73,29,739
45013000700,426,78,80,2107
45013000800,299,186,91,1002
45013000901,221,0,82,1363
45013000902,412,26,118,3122
45013000903,238,12,27,895
45013001000,582,0,0,0
45013001101,559,0,232,1751
45013001103,278,0,161,512
45013001104,671,0,329,981
45013001200,132,7,18,1349
45013002101,137,9,11,388
45013002102,288,2,58,2740
45013002103,204,32,150,2665
45013002105,143,10,24,1307
45013002106,201,34,22,3599
45013002107,672,112,241,2048
45013002108,245,55,146,1022
45013002109,20,0,0,2335
45013002110,124,0,7,3633
45013002201,343,2,32,3517
45013002202,266,49,50,1956
45013010100,127,3,64,1336
45013010200,163,4,55,1094
45013010300,295,116,54,1175
45013010400,279,49,89,1647
45013010500,263,49,91,791
45013010600,128,109,17,1607
45013010700,92,10,12,2084
45013010800,486,67,53,210
45013010900,66,27,2,935
45013011000,238,17,51,451
45013011100,288,80,207,1115
45013011200,114,11,67,306
45013011300,101,54,77,83
45013990100,2,0,0,0
45015020101,177,0,1063,782
45015020102,259,0,1096,1106
45015020201,423,19,842,952
45015020202,384,0,1136,1098
45015020301,196,0,918,938
45015020303,138,0,666,482
45015020304,418,0,1464,1513
45015020401,464,0,1337,1428
45015020404,513,56,163,1787
45015020405,484,1,732,1036
45015020406,152,4,2,920
45015020407,286,49,43,2448
45015020503,377,20,1217,1824
45015020504,326,55,373,1237
45015020505,91,2,189,1452
45015020506,594,85,334,1847
45015020601,150,0,326,1518
45015020602,907,1,145,2797
45015020707,732,54,409,2222
45015020710,285,41,433,2001
45015020711,498,2,489,4056
45015020712,167,1,1335,618
45015020713,191,17,305,1452
45015020714,217,36,101,1661
45015020715,83,21,196,1363
45015020716,212,5,566,2699
45015020717,96,5,356,1478
45015020718,226,47,947,565
45015020719,57,23,1,1419
45015020720,55,44,1,1600
45015020721,128,0,181,1126
45015020722,32,0,0,1175
45015020723,121,42,16,1110
45015020724,654,0,2,24
45015020725,356,0,0,0
45015020804,119,11,52,858
45015020806,43,0,10,1540
45015020807,264,1,84,3445
45015020808,55,0,458,940
45015020809,116,6,195,1187
45015020810,50,3,315,908
45015020811,25,164,5,656
45015020812,116,14,17,1831
45015020901,46,21,88,499
45015020903,83,52,42,1234
45015020904,92,84,25,1094
45015021000,360,90,265,1063
45015980100,130,0,0,0
45017950100,1715,0,765,2273
45017950201,565,0,63,677
45017950202,1207,9,363,1340
45017950400,1717,0,462,1413
45019000100,29,89,0,694
45019000200,98,53,6,560
45019000400,198,76,12,212
45019000500,63,83,3,460
45019000600,119,83,5,177
45019000700,133,83,9,262
45019000900,110,47,0,367
45019001000,106,122,5,558
45019001100,104,89,4,627
45019001500,45,24,0,599
45019001901,240,105,32,1927
45019001902,187,230,12,891
45019002002,178,118,6,2355
45019002004,120,46,22,1297
45019002005,104,79,4,2923
45019002006,101,69,27,1946
45019002007,49,62,0,1474
45019002008,174,148,73,1127
45019002009,217,68,55,1559
45019002103,804,131,395,1896
45019002104,309,272,10,2412
45019002105,240,108,1,1444
45019002106,267,86,66,1416
