CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
46003973600,851,2,98,3755
46005956600,254,0,213,3060
46005956700,236,0,237,2797
46005956800,428,0,149,929
46005956900,222,7,121,852
46005957000,445,19,266,2022
46005957100,112,86,56,1146
46007941000,304,1,318,215
46007941200,1240,0,478,597
46009967600,1435,142,241,3113
46009967700,1010,112,179,2593
46011958600,886,2,275,4331
46011958700,730,2,267,5225
46011958803,252,4,133,1768
46011958804,210,0,13,1051
46011958805,432,2,237,627
46011958900,392,3,25,1453
46011959000,341,5,50,1346
46013951300,314,155,131,2368
46013951400,339,164,32,2664
46013951500,143,242,4,562
46013951600,122,138,3,1435
46013951700,421,114,342,1570
46013951800,420,76,91,1573
46013951900,812,10,247,2846
46013952000,1312,2,384,5417
46015973100,1120,105,224,3329
46015973200,383,269,118,920
46017940200,688,0,278,598
46019967600,1316,476,956,1616
46019967701,210,767,404,1100
46019967702,303,276,338,772
46021964100,1315,0,219,2145
46023940200,1533,6,306,1407
46023940300,903,2,612,1940
46023970100,1838,0,271,2198
46025955800,1197,13,335,4195
46027965700,331,143,271,1520
46027965800,262,5,180,4375
46027965900,208,75,105,866
46029954100,208,2,137,3475
46029954301,217,11,21,1330
46029954302,106,1,24,2012
46029954401,170,0,42,1055
46029954402,215,3,13,856
46029954501,979,0,144,536
46029954502,633,3,113,2285
46029954600,175,0,221,3277
46031941000,879,0,278,1773
46031941100,542,0,318,863
46033965100,893,62,1091,4212
46033965200,272,26,252,1049
46035962600,654,1,150,3842
46035962700,389,14,36,2137
46035962801,220,8,38,977
46035962802,100,0,22,1381
46035962900,844,0,179,1854
46037952700,840,0,250,2364
46037952800,369,3,148,994
46037952900,897,0,655,2385
46039953600,1702,1,336,4135
46039953700,192,0,42,784
46041941500,284,2,503,370
46041941700,1814,0,812,910
46043969600,2187,0,184,3029
46045962100,862,1,412,1984
46045962200,657,0,92,2191
46047964100,509,0,830,3137
46047964200,440,4,349,2091
46049961100,1014,10,238,2958
46051953100,692,17,355,3566
46051953300,397,0,300,3018
46053971100,534,2,202,2019
46053971200,858,8,263,2838
46055960100,1503,8,479,1256
46057955100,675,0,515,2340
46057955200,858,0,108,2642
46059975600,1382,2,422,2841
46059975700,440,0,620,619
46061964100,754,10,237,3823
46063968700,851,12,455,2158
46065977700,213,25,156,2086
46065977800,579,9,489,1744
46065977900,506,14,280,765
46065978000,500,5,619,2756
46067968600,2044,0,224,2817
46067968700,714,1,85,1633
46067968800,1927,2,116,2081
46069976700,371,0,133,2218
46071941200,662,0,203,829
46071961100,514,2,197,1161
46073974100,323,1,162,2574
46075091600,1061,0,151,763
46077958100,699,4,284,3843
46077958200,614,0,138,2079
46079960100,935,4,169,3186
46079960201,445,7,71,895
46079960202,163,9,33,1256
46079960300,497,0,243,2608
46081966101,436,5,191,2477
46081966102,234,1,31,1515
46081966200,309,6,83,1042
46081966301,312,0,230,1902
46081966303,115,1,12,1022
46081966304,209,0,289,584
46081966601,358,0,96,2388
46081966602,143,3,11,1165
46083010103,49,0,284,1689
46083010107,317,4,36,2118
46083010109,200,9,23,1500
46083010110,330,7,18,1220
46083010111,88,0,0,1091
46083010112,155,6,24,1136
46083010113,109,18,22,651
46083010114,339,0,36,2164
46083010115,704,4,33,2180
46083010116,81,2,8,1070
46083010200,349,6,43,1856
46083010300,424,15,84,2869
46083010400,750,1,47,3098
46085940100,351,0,200,298
46085972600,1254,0,756,2166
46087964600,735,15,164,3023
46087964700,540,5,120,2932
46089963100,2233,9,318,2278
46091950800,2235,2,507,3502
46093020200,490,0,0,0
46093020302,916,3,979,3374
46093020303,421,0,528,2293
46093020304,261,0,258,882
46093020401,241,0,218,1051
46093020402,410,2,104,1664
46093020500,1494,1,738,3386
46095940300,876,1,251,1346
46097961600,1414,2,160,2836
46099000100,1050,23,103,855
46099000201,228,66,15,783
46099000202,322,56,9,411
46099000300,325,28,5,1073
46099000401,38,23,6,954
46099000405,103,85,121,879
46099000406,56,42,1,894
46099000407,81,41,93,768
46099000408,109,73,71,828
46099000500,206,57,13,992
46099000600,68,55,9,591
46099000701,109,26,1,39
46099000702,48,47,10,707
46099000900,112,41,24,1164
46099001001,324,0,864,453
46099001002,319,78,445,422
46099001105,14,68,9,2129
46099001107,62,44,10,977
46099001108,62,124,34,924
46099001109,205,52,20,0
46099001110,172,200,4,46
46099001111,100,24,8,2116
46099001112,40,3,14,1329
46099001200,97,62,23,1388
46099001501,314,58,16,765
46099001502,71,20,4,625
46099001600,14,11,3,1182
46099001700,41,9,3,789
46099001801,62,134,8,1743
46099001804,28,32,1,1241
46099001805,17,13,3,1182
46099001806,91,47,8,1119
46099001901,34,7,1,677
46099001902,74,29,0,1848
46099010101,403,13,169,3844
46099010102,263,26,78,1717
46099010200,415,8,134,3375
46099010300,463,23,135,3575
46099010401,99,1,12,1083
46099010402,256,8,92,2071
46099010403,48,3,4,928
46099010404,460,7,210,2584
46099010405,320,32,62,1127
46099010406,238,23,121,1409
46099010501,190,48,13,1551
46099010502,87,17,12,1335
46099010600,116,8,9,1480
46101959600,1523,0,122,4400
46101959700,505,0,173,1708
46102941000,1032,0,846,378
46102941100,1436,0,642,296
46102941200,550,0,355,57
46103010201,14,68,35,1073
46103010202,248,68,16,216
46103010300,86,87,46,629
46103010400,156,62,343,810
46103010500,322,62,182,514
46103010600,84,82,83,1123
46103010700,29,173,43,1565
46103010800,96,87,55,1322
46103010904,75,34,118,1451
46103010905,107,80,37,1432
46103010906,223,8,586,1793
46103010907,299,6,255,805
46103010908,116,31,802,2142
46103011001,127,1,12,966
46103011002,104,28,91,1991
46103011004,117,16,176,2664
46103011005,228,10,513,1284
46103011100,85,111,27,870
46103011200,176,58,17,1017
46103011300,126,77,209,2844
46103011400,690,98,1285,1824
46103011601,222,16,497,1607
46103011602,846,5,692,2916
46103011700,406,17,533,2713
46103011800,276,20,374,436
46105968300,1671,0,633,3949
46107000100,1527,0,1442,2073
46109940400,262,913,215,100
46109940700,988,0,495,2416
46109940800,951,2,623,1000
46109950400,989,0,867,1310
46111962100,895,1,279,2646
46115000100,766,3,220,2618
46115000200,336,13,168,1088
46115000300,884,8,231,2469
46117960100,1289,25,1221,523
46119979100,1198,0,921,1473
46121940100,630,0,684,461
46121940200,1175,1,982,926
46123971600,387,0,399,4598
46123971700,419,20,147,1591
46125965100,769,0,167,4691
46125965200,1016,1,190,5155
46127020100,791,18,74,3960
46127020200,398,37,105,1942
46127020301,151,67,51,1384
46127020302,387,26,152,2118
46129965100,1101,5,467,2354
46129965200,325,79,272,1759
46135966100,371,1,245,803
46135966200,628,8,209,1797
46135966301,730,0,287,1427
46135966302,443,6,216,1669
46135966400,1272,0,681,4469
46137941600,1470,0,730,457
