CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
47001020100,190,166,9,427
47001020201,129,57,6,1033
47001020202,258,59,11,1372
47001020300,34,50,0,1513
47001020400,164,287,7,1468
47001020500,134,240,2,914
47001020600,5,0,0,890
47001020700,163,6,208,621
47001020800,371,21,364,1919
47001020901,444,28,371,3242
47001020902,593,3,310,2807
47001021001,165,1,346,1313
47001021002,198,20,104,1320
47001021100,120,17,138,1654
47001021201,166,9,385,2059
47001021202,328,127,80,1431
47001021301,178,8,116,1710
47001021303,164,6,172,1520
47001021304,171,5,279,1214
47001980100,461,0,0,0
47003950100,363,14,136,2513
47003950201,263,2,168,2276
47003950202,212,1,410,2267
47003950300,359,3,505,2938
47003950401,278,71,68,2388
47003950402,578,74,312,2544
47003950500,360,62,132,2420
47003950600,488,164,92,2171
47003950700,285,5,173,1849
47003950800,326,1,219,2353
47005963000,286,7,600,1902
47005963100,246,1,465,1653
47005963200,208,0,336,915
47005963300,342,45,132,1583
47005963400,445,11,638,1985
47007953000,380,5,792,2157
47007953101,222,0,292,1342
47007953102,573,51,389,2417
47007953200,439,3,701,2196
47009010100,201,48,16,1071
47009010200,173,82,251,2410
47009010301,217,113,309,1247
47009010302,255,40,198,1423
47009010400,203,16,181,1448
47009010500,330,54,19,602
47009010600,164,89,3,968
47009010700,148,66,9,1792
47009010800,140,47,70,1146
47009010900,133,40,56,2691
47009011001,194,94,207,2444
47009011002,137,5,209,2202
47009011101,87,70,250,2180
47009011102,133,60,23,3004
47009011201,296,101,342,1316
47009011202,167,85,73,1154
47009011301,153,21,216,2787
47009011302,157,12,625,2397
47009011401,149,4,141,1145
47009011403,76,1,208,981
47009011404,227,0,219,1742
47009011501,92,0,234,1020
47009011502,160,1,582,2226
47009011503,119,27,252,3818
47009011603,229,13,483,2260
47009011604,118,13,313,1826
47009011605,190,0,235,1944
47009011606,290,9,442,2824
47009011607,124,29,149,1668
47009980100,110,0,0,0
47009980200,50,0,0,1
47011010100,299,169,11,1300
47011010201,92,74,15,645
47011010202,144,103,22,869
47011010300,323,36,183,1003
47011010400,216,76,66,468
47011010500,233,64,2,636
47011010600,203,102,6,1091
47011010700,496,105,25,1268
47011010800,243,85,55,887
47011010900,233,34,135,1325
47011011000,159,24,190,2114
47011011101,180,20,272,2347
47011011102,243,3,165,1610
47011011201,553,74,140,2583
47011011203,332,25,97,1666
47011011204,98,139,26,1793
47011011301,286,5,329,2734
47011011302,240,19,271,1126
47011011402,151,115,64,773
47011011403,149,129,34,1585
47011011404,102,14,135,1606
47011011501,539,19,358,2541
47011011502,240,10,305,1872
47011011601,340,17,576,2083
47011011602,505,18,657,2437
47013950100,403,2,470,1414
47013950200,269,25,204,844
47013950300,147,7,277,1005
47013950400,470,17,496,2123
47013950500,331,94,207,2051
47013950601,200,38,81,639
47013950602,128,19,54,999
47013950701,114,7,64,889
47013950702,195,23,44,1030
47013950800,337,12,453,1703
47013950900,274,19,508,2036
47013951000,220,11,290,1499
47013951100,494,21,694,2976
47015960100,463,8,456,2658
47015960201,190,24,54,930
47015960202,276,11,538,2656
47015960300,211,0,499,2297
47017962000,486,14,460,2291
47017962101,358,15,286,1485
47017962102,417,65,136,1798
47017962201,349,42,208,1571
47017962202,342,54,208,1892
47017962300,499,6,437,2579
47017962400,214,0,306,991
47017962500,223,0,274,782
47017980100,188,0,0,0
47019070100,275,38,16,752
47019070200,267,47,124,1581
47019070300,291,89,147,2022
47019070400,39,34,36,909
47019070500,200,29,434,2082
47019070600,100,6,219,1264
47019070700,148,27,396,1551
47019070800,98,118,200,819
47019070900,174,83,84,930
47019071000,127,34,305,1347
47019071100,91,8,251,833
47019071200,313,55,420,1740
47019071301,195,7,509,2291
47019071302,185,30,402,1709
47019071400,315,26,339,1717
47019071500,121,1,336,1463
47019071600,185,0,213,1070
47019071700,332,23,386,2115
47021070102,221,13,150,1896
47021070103,122,31,115,1684
47021070104,201,43,266,2056
47021070201,179,32,38,1874
47021070202,236,1,179,2766
47021070203,327,1,157,2093
47021070300,258,57,42,1186
47021070401,128,3,46,1281
47021070402,217,35,133,2911
47023970101,197,0,189,974
47023970102,301,2,278,1308
47023970200,339,150,35,1366
47023970301,103,2,122,797
47023970302,330,34,214,1681
47025970100,237,4,160,1797
47025970200,137,29,67,1366
47025970300,453,7,238,1919
47025970400,95,0,94,384
47025970500,417,0,178,2154
47025970600,506,7,436,2953
47025970700,502,43,270,2492
47025970800,368,17,254,2255
47025970900,643,22,310,2414
47027955000,866,12,708,3288
47027955100,538,1,398,2122
47029920100,359,1,586,2182
47029920200,705,75,542,2047
47029920300,468,11,564,2607
47029920400,240,0,204,1155
47029920501,747,57,817,2214
47029920502,341,11,590,2711
47029920600,283,58,176,1843
47029920700,355,16,519,2022
47029980100,7,0,4,4
47031970100,373,17,523,2138
47031970201,169,1,469,1412
47031970202,205,19,368,1685
47031970300,158,0,249,939
47031970401,107,1,173,934
47031970402,334,50,181,1663
47031970501,69,10,15,472
47031970502,178,131,29,1469
47031970600,507,154,273,1613
47031970700,315,11,629,2258
47031970801,232,99,62,1404
47031970803,277,4,257,1355
47031970804,57,37,41,1421
47031970900,500,145,108,1160
47031971001,183,32,14,273
47031971002,170,58,37,2082
47031980100,286,0,0,2
