CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
48001950100,1497,16,396,2236
48001950401,166,7,66,14
48001950402,171,0,72,0
48001950500,422,59,29,1565
48001950600,407,23,163,1954
48001950700,383,52,33,864
48001950800,288,108,16,1898
48001950901,1197,2,563,1680
48001950902,1540,19,478,2172
48001951001,1239,5,327,1684
48001951002,1050,37,274,1437
48001951100,2940,26,465,2315
48003950100,1727,3,248,1125
48003950200,295,47,44,2846
48003950300,628,29,594,1265
48003950400,1562,5,1111,1340
48005000102,320,0,344,2041
48005000103,426,5,406,1187
48005000104,358,0,571,1203
48005000201,224,5,377,1266
48005000202,379,4,531,1117
48005000301,527,4,426,2028
48005000302,436,11,509,1758
48005000400,789,63,66,1456
48005000500,452,128,128,1183
48005000600,605,18,187,1837
48005000700,381,96,17,810
48005000800,601,52,49,2365
48005000902,247,97,63,819
48005000903,69,70,11,1006
48005000904,178,32,6,931
48005001001,470,7,249,1325
48005001002,519,6,343,1496
48005001101,444,13,393,1488
48005001102,316,12,560,1063
48005001200,707,0,797,1571
48005001300,656,0,862,2163
48007950101,399,39,165,1324
48007950102,427,90,872,1056
48007950103,273,4,959,387
48007950200,173,80,823,193
48007950301,450,41,529,1358
48007950302,168,32,274,717
48007950400,300,90,790,1006
48007950501,395,2,789,905
48007950502,211,9,417,399
48007950503,505,3,1035,794
48007990000,1,0,0,0
48009020100,1027,0,153,1524
48009020200,2035,20,135,1279
48009020300,2157,3,208,1928
48011950100,1339,1,147,1421
48013960101,802,35,1181,778
48013960102,1254,32,1475,956
48013960203,740,24,427,928
48013960204,543,0,1671,975
48013960205,699,6,2137,1126
48013960206,605,0,1751,908
48013960300,451,74,472,965
48013960401,429,0,687,400
48013960403,517,94,245,1265
48013960404,327,47,314,1420
48013960500,798,0,1122,620
48013960601,530,48,674,449
48013960602,917,21,1211,1224
48015760100,564,11,341,1163
48015760201,350,6,291,907
48015760202,614,20,578,1536
48015760301,513,27,158,1266
48015760302,856,23,645,2012
48015760400,2973,0,608,3140
48015760501,1612,23,456,3024
48015760502,1313,71,454,2215
48017950101,740,1126,14,42
48017950102,2345,156,172,1025
48019000101,1941,468,359,2071
48019000103,2749,286,629,978
48019000104,1174,51,70,247
48019000200,4568,170,78,762
48019000301,1281,71,755,844
48019000302,2124,85,160,335
48019000400,548,88,293,1618
48021950101,273,0,931,1774
48021950102,482,0,1140,1949
48021950201,187,66,200,988
48021950202,344,88,56,1533
48021950301,474,28,263,1767
48021950302,310,57,531,1514
48021950303,422,9,791,2152
48021950401,605,110,295,1457
48021950402,104,58,12,793
48021950403,307,50,103,1004
48021950503,545,7,751,1702
48021950504,386,0,646,1464
48021950505,309,4,857,1049
48021950506,265,0,744,719
48021950601,680,0,872,2325
48021950602,465,0,577,1228
48021950700,500,76,208,1889
48021950803,68,4,458,501
48021950804,240,0,958,1225
48021950805,103,0,1332,851
48021950806,281,6,716,971
48023950301,539,0,22,873
48023950302,2574,0,48,1396
48025950100,1709,0,278,821
48025950201,633,3,128,365
48025950203,1425,21,290,827
48025950204,1618,6,308,1258
48025950300,452,93,15,1836
48025950400,307,17,10,848
48025950501,330,60,26,827
48025950502,493,119,4,870
48025950600,1532,0,251,1036
48027020101,1026,6,523,752
48027020102,2571,43,210,1241
48027020201,393,3,89,3225
48027020203,355,6,495,1669
48027020204,1440,5,456,740
48027020301,432,84,25,3052
48027020302,656,46,128,1615
48027020401,758,136,100,818
48027020402,897,10,77,819
48027020500,141,34,3,1502
48027020600,82,36,1,1108
48027020701,240,65,1,262
48027020702,471,55,5,592
48027020800,451,107,35,913
48027020900,310,131,14,663
48027021000,244,140,5,1288
48027021101,164,102,1,394
48027021102,133,34,5,1349
48027021201,70,216,5,564
48027021202,121,138,8,979
48027021203,540,91,21,1386
48027021301,28,38,29,1639
48027021302,61,97,2,1017
48027021304,146,399,6,681
48027021305,256,41,4,2573
48027021400,1253,15,220,1461
48027021501,258,75,210,971
48027021502,1021,69,142,978
48027021601,533,174,182,1696
48027021602,298,49,34,303
48027021701,452,51,84,1787
48027021702,265,121,2,1228
48027021801,473,121,496,1389
48027021802,534,28,445,1461
48027021901,207,131,164,975
48027021905,107,86,103,1435
48027021906,51,1,0,1602
48027021907,161,161,66,1246
48027021908,296,149,481,1859
48027022001,468,211,489,541
48027022002,578,77,550,1210
48027022101,84,93,0,1298
48027022103,11,25,0,1845
48027022104,32,285,0,915
48027022105,25,33,0,816
48027022200,185,195,5,509
48027022300,432,187,253,793
48027022401,121,143,0,1606
48027022402,40,0,0,2044
48027022403,31,11,1,1633
48027022405,133,134,0,309
48027022406,53,56,2,1177
48027022407,33,0,45,1320
48027022501,107,109,2,1077
48027022503,189,256,1,1097
48027022504,226,119,180,2092
48027022600,133,343,9,861
48027022801,80,226,10,360
48027022900,181,196,79,697
48027023001,38,71,191,1880
48027023002,179,105,203,1144
48027023103,112,139,4,1227
48027023104,46,89,3,953
48027023109,26,161,7,1104
48027023110,98,327,248,187
48027023111,141,213,1,1282
48027023112,27,272,3,990
48027023113,19,162,2,1205
48027023114,14,186,0,1238
48027023115,30,174,2,1146
48027023116,360,126,11,1676
48027023117,175,225,95,1308
48027023118,233,0,128,2027
48027023201,553,0,0,0
48027023202,1044,0,0,0
48027023203,456,0,0,0
48027023204,658,0,0,2
48027023301,1391,6,622,2150
48027023302,671,14,296,1417
48027023402,2478,25,389,1162
48027023404,2318,45,262,1341
48027023405,705,6,61,1224
48027023406,1362,39,284,1293
48027023500,260,150,0,376
48027980001,138,0,0,0
48027980002,123,0,0,0
48027980003,153,0,0,0
48029110100,490,59,2,20
48029110300,145,66,3,704
48029110500,213,44,0,237
48029110600,248,113,7,529
48029110700,183,87,3,232
48029111000,214,137,2,488
48029111100,441,189,11,368
48029120100,1638,0,0,2
48029120301,139,143,4,1022
48029120302,124,61,4,1738
48029120401,34,23,4,952
48029120402,27,0,0,1668
48029120502,215,139,141,1344
48029120503,93,120,1,655
48029120504,133,176,0,1490
48029120601,57,177,0,577
48029120602,99,222,1,1023
48029120701,330,249,13,1017
48029120702,203,102,16,864
48029120800,72,114,5,2691
48029120901,74,54,5,472
48029120902,161,394,14,1101
48029121000,453,186,7,2037
48029121110,75,11,3,1819
48029121111,144,151,4,2139
48029121112,217,122,6,920
48029121115,51,84,4,1849
48029121116,136,84,28,1367
48029121117,49,118,6,1160
48029121118,96,172,11,1468
48029121119,111,48,2,1627
48029121120,107,133,5,1829
48029121121,55,0,6,1141
48029121122,91,0,5,2054
48029121123,129,133,1,1169
48029121124,11,14,7,1015
48029121203,668,82,38,1183
48029121204,221,383,8,805
48029121205,339,135,4,608
48029121206,133,34,7,2513
48029121300,143,65,69,2071
48029121402,71,116,370,2507
48029121403,147,210,125,1000
48029121404,317,136,197,898
48029121501,175,88,12,3101
48029121504,95,47,303,2258
48029121505,261,1,260,1512
48029121506,145,36,8,1478
48029121507,43,17,318,1689
48029121508,173,84,3,1307
48029121601,243,200,1,916
48029121604,288,105,8,2922
48029121605,62,20,4,773
48029121606,100,100,2,1436
48029121701,156,55,2,1339
48029121702,174,95,138,2234
48029121802,342,208,322,2844
48029121803,156,39,1,1575
48029121804,70,281,3,1475
48029121808,63,1,5,1120
48029121809,54,20,3,1881
48029121810,30,0,2,1532
48029121811,34,44,3,1556
48029121812,58,27,12,1959
48029121813,40,0,2,614
48029121903,51,62,1,1790
48029121904,13,0,3,1169
48029121905,88,119,9,1627
48029121906,156,177,6,1451
48029121908,149,0,19,1341
48029121909,469,236,5,2029
48029121910,207,27,16,2409
48029121911,131,25,20,2596
48029121912,178,75,20,3190
48029130200,68,43,4,607
48029130300,89,67,3,1104
48029130401,99,71,4,1356
48029130402,126,111,0,977
48029130500,237,64,2,1359
48029130600,121,136,5,1434
48029130700,124,102,5,504
48029130800,426,114,3,1185
48029130900,565,161,5,964
48029131000,163,58,9,1964
48029131100,80,40,0,858
48029131200,167,64,22,1006
48029131300,231,13,3,2409
48029131401,327,1,900,2701
48029131402,646,0,7,761
48029131503,125,46,4,1218
48029131504,438,4,0,1192
48029131505,20,37,31,1293
48029131506,236,17,112,1792
48029131507,28,5,0,2007
48029131601,2366,16,190,2770
48029131606,1758,5,127,2508
48029131608,327,115,14,1533
48029131609,522,26,22,2478
48029131610,52,31,243,1573
48029131612,201,0,2,803
48029131614,87,87,236,1192
48029131615,656,144,114,3521
48029131616,1323,3,62,2456
48029131700,686,0,4,0
48029131801,2419,0,304,878
48029131802,5710,30,725,2677
48029140100,126,40,15,542
48029140200,172,107,7,871
48029140300,103,105,3,1010
48029140400,40,89,8,1391
48029140500,25,79,9,1594
48029140600,39,47,1,828
48029140700,65,68,1,1746
48029140800,112,113,6,1729
48029140900,47,7,0,848
