CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
49001100100,1049,35,914,1127
49001100200,814,6,439,995
49003960100,2453,13,9,1811
49003960200,968,21,18,3484
49003960301,408,18,5,1601
49003960302,284,94,19,1376
49003960400,1465,0,15,2946
49003960500,533,47,7,1734
49003960601,92,22,5,1321
49003960602,67,12,1,886
49003960701,206,39,12,1513
49003960702,123,92,17,636
49003960801,439,9,19,2307
49003960802,242,13,19,1659
49005000101,606,17,56,2492
49005000102,395,0,4,1170
49005000201,317,47,41,1479
49005000202,243,73,36,2568
49005000301,433,1,6,1564
49005000302,641,82,257,1601
49005000401,210,119,83,674
49005000402,55,8,5,1482
49005000403,373,48,12,2036
49005000501,171,311,202,826
49005000502,267,296,65,401
49005000601,37,188,5,310
49005000602,89,154,1,388
49005000701,65,19,6,1358
49005000702,208,5,0,1
49005000800,130,469,20,481
49005000900,58,200,5,805
49005001001,41,56,6,757
49005001002,266,281,60,800
49005001101,321,55,31,1575
49005001102,45,44,7,1571
49005001201,138,7,5,2062
49005001202,280,0,32,1961
49005001300,385,18,15,2926
49005001401,240,15,18,1548
49005001402,249,24,97,1302
49005001500,237,1,10,1302
49005980100,123,0,281,100
49007000100,369,10,30,1351
49007000200,554,6,41,1794
49007000300,600,20,46,1480
49007000500,807,3,70,2118
49007000600,935,0,91,2620
49009960100,494,1,525,1097
49011125102,114,147,4,1311
49011125103,287,243,206,1482
49011125104,65,104,5,1794
49011125201,574,0,0,5
49011125301,236,123,1,1504
49011125304,51,2,17,1684
49011125305,53,108,3,1859
49011125306,35,12,0,1218
49011125307,176,123,14,2754
49011125407,183,67,10,2478
49011125408,152,359,8,1607
49011125409,54,95,2,1317
49011125410,24,18,1,1173
49011125411,252,108,25,1850
49011125412,36,1,1,821
49011125413,67,5,4,1627
49011125414,19,1,1,1345
49011125415,49,83,5,1097
49011125501,91,89,260,1630
49011125502,103,53,82,1538
49011125503,46,18,5,1578
49011125600,224,1,0,19
49011125701,282,115,30,467
49011125702,146,56,12,1195
49011125801,259,181,94,1355
49011125804,132,23,2,1992
49011125805,196,68,24,1576
49011125807,381,74,198,288
49011125809,302,88,71,472
49011125810,128,109,7,267
49011125905,93,189,27,1790
49011125906,96,137,101,1999
49011125907,53,35,59,689
49011125908,70,44,0,1521
49011126001,269,32,218,1166
49011126002,249,93,5,2164
49011126101,223,148,5,1839
49011126105,45,51,1,1684
49011126106,150,254,2,1017
49011126107,25,486,3,612
49011126108,125,744,3,1010
49011126203,68,357,7,985
49011126204,253,194,7,1391
49011126205,102,309,13,976
49011126206,172,382,23,1261
49011126303,33,83,2,1300
49011126304,280,116,9,1853
49011126305,15,21,0,805
49011126306,270,185,57,1506
49011126402,40,51,1,1045
49011126404,140,247,4,1717
49011126405,19,42,2,1140
49011126406,129,172,4,1060
49011126500,78,28,14,2045
49011126600,215,139,20,1214
49011126700,299,198,12,775
49011126801,40,17,0,1113
49011126802,72,11,0,1486
49011126901,324,190,18,1291
49011126902,153,186,3,1647
49011127002,1032,248,389,1440
49011127003,432,232,39,2181
49011127005,210,0,82,1040
49011127006,250,41,3,1179
49011127100,174,212,123,2233
49011980000,778,0,0,0
49013940300,1598,6,1593,1912
49013940501,296,54,164,642
49013940502,793,24,277,1611
49013940600,1944,4,1419,3132
49015976200,992,4,598,1371
49015976300,663,0,282,1286
49015976500,861,0,430,1207
49017000300,307,0,23,2182
49017000400,659,2,49,2206
49019000200,572,11,62,1700
49019000301,220,1,24,1691
49019000302,831,2,45,1663
49021110100,656,9,70,2813
49021110201,80,0,10,1504
49021110202,182,5,47,1855
49021110300,934,0,29,2191
49021110400,146,0,8,1128
49021110501,215,4,89,1150
49021110502,459,0,55,1050
49021110601,137,0,9,492
49021110602,140,0,19,1260
49021110702,300,0,21,2582
49021110703,41,0,14,1407
49021110704,517,0,11,984
49023010100,529,46,147,2401
49023010200,1013,2,480,1859
49025130100,915,3,138,3578
49025130200,648,0,5,2639
49027974100,960,0,27,1970
49027974200,1078,0,10,1868
49027974300,1354,0,31,2658
49029970101,385,0,6,2187
49029970102,394,9,10,1762
49029970200,242,0,4,1091
49031960100,657,3,60,1181
49033950100,1061,36,555,2728
49035100100,563,98,5,314
49035100200,77,136,2,386
49035100306,136,203,5,671
49035100307,15,32,0,1065
49035100308,98,113,2,418
49035100500,74,150,9,1643
49035100600,307,160,138,1574
49035100700,87,182,0,502
49035100800,70,122,2,88
49035101000,42,158,2,1129
49035101101,58,137,5,332
49035101102,66,134,4,224
49035101200,85,184,17,1028
49035101401,86,0,45,0
49035101402,406,29,3,0
49035101500,70,202,4,485
49035101600,63,133,11,765
49035101700,101,214,4,277
49035101800,89,210,4,550
49035101900,180,93,15,54
49035102000,108,172,11,454
49035102100,115,39,1,2
49035102300,151,80,3,203
49035102501,92,26,3,3
49035102502,91,13,8,0
49035102600,213,103,33,1135
49035102701,39,147,129,1199
49035102702,144,98,113,538
49035102801,143,168,8,1739
49035102802,464,130,13,952
49035102900,825,227,30,613
49035103000,119,120,9,974
49035103100,70,220,3,1329
49035103200,67,190,19,1498
49035103300,163,216,8,1044
49035103400,83,237,9,1478
49035103500,32,218,11,1506
49035103600,15,38,3,1071
49035103700,19,77,9,1167
49035103800,30,130,6,873
49035103900,31,103,1,1557
49035104000,23,65,2,1326
49035104100,35,81,3,1086
49035104200,153,108,5,2050
49035104300,55,76,3,793
49035104400,23,15,1,723
49035104700,114,157,3,1815
49035104800,111,226,5,1966
49035104900,69,206,5,878
49035110103,444,241,48,840
49035110104,58,120,5,2072
49035110105,11,11,1,714
49035110106,412,100,95,651
49035110200,85,96,3,2189
49035110300,177,256,15,2032
49035110401,142,173,15,671
49035110402,131,110,0,1106
49035110500,97,82,4,2289
49035110600,51,42,3,2046
49035110701,83,254,0,781
49035110702,98,282,4,1347
49035110800,289,295,18,1011
49035110900,84,167,0,1513
49035111001,144,146,12,1925
49035111002,146,186,13,1533
49035111104,75,153,9,936
49035111105,155,78,289,696
49035111106,80,126,10,701
49035111107,28,272,4,528
49035111108,50,281,3,783
49035111109,132,175,1,591
49035111201,74,76,1,743
49035111202,143,183,5,1037
49035111302,45,93,0,2203
49035111304,40,308,6,1005
49035111305,79,105,3,1207
49035111306,84,85,0,604
49035111400,174,323,22,1625
49035111500,923,143,16,205
49035111601,1026,51,19,52
49035111602,375,260,23,181
49035111701,273,358,8,489
49035111702,135,303,41,1024
49035111801,233,358,18,1208
49035111802,137,146,5,686
49035111903,105,268,4,961
49035111904,146,256,9,465
49035111905,234,179,4,402
49035111906,202,203,36,313
49035112001,135,161,174,469
49035112002,255,279,8,792
49035112101,510,127,28,209
49035112102,254,183,16,1020
49035112201,77,14,222,1748
49035112202,453,155,6,1352
49035112301,176,128,6,962
49035112302,138,53,6,1233
49035112402,339,231,65,1533
49035112404,239,182,98,562
49035112405,341,263,42,232
49035112406,171,178,3,359
49035112501,118,341,3,946
49035112503,123,302,9,1220
49035112504,162,140,32,261
49035112505,159,225,4,662
49035112604,73,3,4,1689
49035112608,47,17,4,1660
49035112609,29,14,0,1813
49035112610,211,257,60,934
49035112611,103,119,4,1852
49035112612,154,167,1,853
49035112613,56,24,4,1569
49035112614,20,63,4,1141
49035112615,18,50,0,705
49035112616,34,36,2,1422
49035112617,10,0,0,1097
49035112618,62,71,3,1120
49035112619,24,101,1,976
49035112620,36,67,3,1042
49035112621,393,273,168,238
49035112700,166,159,12,1570
49035112804,47,16,2,1660
49035112805,62,101,6,1478
49035112812,57,1,1,1946
49035112813,49,50,4,1931
49035112814,47,713,4,1008
49035112815,43,265,2,1433
49035112816,240,101,23,1642
49035112818,69,0,42,0
49035112821,45,199,6,1962
49035112822,90,54,260,1000
49035112823,254,627,7,531
49035112824,122,163,6,716
49035112825,359,142,19,953
49035112826,102,120,20,2189
49035112827,327,95,6,1573
49035112828,69,9,4,1416
