CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
51001090101,499,22,22,1998
51001090102,607,26,19,2141
51001090201,646,1,71,2206
51001090202,900,2,69,1544
51001090300,438,1,0,1555
51001090401,542,0,0,1336
51001090402,656,4,24,1299
51001090500,524,11,3,1630
51001090600,608,15,6,2589
51001090700,923,9,2,2964
51001090800,640,4,6,2047
51001980100,21,0,0,0
51001980200,184,0,0,0
51001990200,2,0,0,0
51003010100,306,2,166,3963
51003010201,149,0,20,2202
51003010202,87,1,4,1948
51003010301,278,4,6,292
51003010302,12,0,3,473
51003010303,93,30,142,1573
51003010401,241,2,98,2894
51003010402,177,9,34,1696
51003010501,37,14,19,1059
51003010502,147,76,48,137
51003010602,43,32,3,894
51003010603,51,43,15,179
51003010604,82,14,0,1141
51003010701,49,37,2,154
51003010702,235,48,6,508
51003010801,24,107,20,493
51003010802,171,46,3,518
51003010901,109,12,1,14
51003010904,256,0,0,28
51003011000,225,31,4,3296
51003011101,131,4,29,1107
51003011102,83,1,2,873
51003011103,99,28,7,1437
51003011201,192,1,71,2375
51003011202,140,4,48,1847
51003011301,178,19,260,2878
51003011302,51,63,284,199
51003011303,144,29,12,801
51003011400,283,10,193,2599
51005070100,453,15,88,1235
51005080100,656,1,311,1917
51005080201,414,10,150,1469
51005080202,319,0,243,1603
51005080301,349,1,196,1267
51005080302,325,2,251,1158
51007930101,972,3,3,1396
51007930102,1808,0,9,2553
51007930200,2335,5,5,3591
51009010100,1113,1,686,3280
51009010201,664,50,120,1772
51009010202,443,4,392,1070
51009010300,300,1,103,1717
51009010401,244,6,415,959
51009010402,241,37,120,1110
51009010504,252,21,137,1457
51009010505,167,5,61,338
51009010506,195,15,84,527
51009010600,279,14,438,1011
51011040101,581,12,389,1617
51011040102,763,31,255,1573
51011040200,1319,1,1048,1976
51011040300,1378,0,1102,1687
51013100100,31,1,1,1737
51013100200,70,1,0,2226
51013100300,47,0,0,2147
51013100400,18,0,2,1342
51013100500,59,8,2,1456
51013100600,37,31,1,789
51013100700,48,29,4,1197
51013100800,24,16,1,445
51013100900,33,55,0,1259
51013101000,34,13,0,973
51013101100,43,7,2,1611
51013101200,20,7,4,1090
51013101300,42,34,0,2115
51013101401,19,12,1,109
51013101402,32,24,15,258
51013101405,16,2,1,0
51013101406,24,15,0,7
51013101407,9,10,0,0
51013101408,13,1,0,0
51013101409,9,1,2,0
51013101501,5,35,2,54
51013101502,53,25,4,526
51013101503,39,25,2,500
51013101601,12,26,1,124
51013101602,7,30,0,5
51013101603,33,40,1,41
51013101701,22,40,1,12
51013101703,3,51,4,14
51013101704,3,9,0,0
51013101705,29,37,2,8
51013101801,13,25,0,124
51013101803,28,62,22,699
51013101804,6,18,0,65
51013101805,20,18,1,11
51013101900,41,31,1,857
51013102001,4,33,0,16
51013102002,4,38,1,93
51013102003,29,140,1,79
51013102100,19,5,1,672
51013102200,16,72,0,258
51013102301,37,0,0,433
51013102302,47,26,4,822
51013102400,20,65,1,766
51013102500,53,47,1,480
51013102600,10,28,0,658
51013102701,5,70,0,65
51013102702,0,39,0,113
51013102802,45,54,0,281
51013102803,17,16,0,166
51013102804,4,21,0,394
51013102901,35,177,6,53
51013102903,42,27,65,7
51013102904,23,35,1,0
51013103000,3,274,8,30
51013103100,72,39,10,790
51013103200,66,65,2,234
51013103300,4,30,1,227
51013103401,195,0,0,0
51013103403,26,2,2,0
51013103404,24,8,1,0
51013103405,47,6,4,0
51013103501,0,17,0,18
51013103503,3,15,6,0
51013103504,4,7,1,0
51013103505,28,30,7,9
51013103601,15,51,0,816
51013103602,21,8,3,3
51013103700,59,3,0,967
51013103800,37,81,2,157
51013980100,137,0,2,0
51013980200,84,0,1,0
51015070100,323,4,403,1846
51015070200,546,1,353,2832
51015070300,559,10,180,3837
51015070400,311,3,751,2527
51015070500,229,0,295,2829
51015070601,183,13,28,1441
51015070602,288,51,323,750
51015070603,95,23,69,1771
51015070701,379,24,129,1872
51015070702,135,6,62,1352
51015070801,119,6,106,1536
51015070802,314,0,206,2780
51015070900,383,46,102,3026
