CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
50001960100,212,0,405,1974
50001960200,279,90,156,1897
50001960300,281,25,21,788
50001960400,780,19,322,3429
50001960500,212,52,226,1474
50001960600,197,11,336,1614
50001960700,403,70,123,1533
50001960800,584,119,9,666
50001960900,647,5,380,4176
50001961000,310,9,330,1125
50003970401,641,48,439,872
50003970402,426,26,254,506
50003970500,222,90,521,1143
50003970601,186,17,156,1199
50003970800,269,3,211,2067
50003970900,152,46,230,620
50003971000,432,49,142,1248
50003971100,238,24,150,1597
50003971200,503,97,55,1164
50003971300,190,11,396,1593
50003971400,271,17,138,1947
50003971600,281,46,165,2192
50005957000,396,17,979,2456
50005957100,174,119,201,1083
50005957200,292,108,203,839
50005957300,238,133,201,956
50005957400,278,214,56,940
50005957500,245,120,177,1212
50005957600,242,27,295,1383
50005957700,354,20,325,1332
50005957800,477,10,345,1726
50005957900,294,1,234,1799
50007000100,34,160,117,1217
50007000200,83,254,13,1472
50007000300,133,586,28,389
50007000600,158,285,32,417
50007000800,54,132,10,622
50007000900,56,188,30,208
50007001000,291,151,4,39
50007001100,63,236,6,424
50007002101,178,30,38,1228
50007002103,155,39,66,1575
50007002104,274,33,268,954
50007002201,440,67,0,92
50007002202,385,140,62,1221
50007002301,132,27,17,517
50007002303,158,182,77,1750
50007002304,191,169,82,739
50007002400,75,12,43,772
50007002501,61,8,16,591
50007002502,68,15,5,102
50007002601,282,150,72,1435
50007002602,207,57,18,980
50007002701,417,92,48,1439
50007002702,188,63,56,1640
50007002800,230,20,26,1768
50007002900,171,96,173,2343
50007003000,385,5,115,1580
50007003101,867,74,232,1813
50007003102,72,6,89,882
50007003301,282,196,97,1079
50007003304,336,134,53,978
50007003401,250,84,95,1858
50007003402,316,31,96,645
50007003501,260,160,82,2072
50007003502,319,23,230,1907
50007003503,89,9,121,1037
50007003600,347,88,34,530
50007003900,243,66,10,279
50007004002,430,128,39,1055
50007004100,59,131,14,37
50007004200,75,409,58,153
50007980000,94,0,0,0
50009950100,504,30,445,1118
50009950200,144,10,176,676
50009950500,275,10,627,1755
50011010101,462,5,451,1322
50011010102,599,13,233,969
50011010200,345,33,421,1971
50011010300,190,11,193,1766
50011010400,484,6,164,1167
50011010500,476,441,554,2281
50011010600,748,109,386,2108
50011010700,200,237,30,652
50011010800,71,205,23,811
50011010900,249,25,212,2125
50011011000,163,43,113,2358
50013020100,581,56,812,2693
50013020200,371,21,663,2378
50015953000,159,3,383,1028
50015953100,209,85,136,1168
50015953200,235,69,251,899
50015953300,155,26,303,1224
50015953400,139,9,345,1317
50015953500,425,136,191,2118
50015953600,591,256,174,2471
50017959000,290,8,275,1118
50017959101,203,2,284,1198
50017959102,256,2,402,1764
50017959200,321,16,433,1368
50017959300,345,1,597,1015
50017959400,382,28,248,2076
50017959500,481,25,392,2734
50017959600,248,0,140,1622
50017959700,320,33,130,926
50017959800,226,34,101,1266
50019951100,229,4,556,1735
50019951200,219,45,301,1288
50019951300,289,36,215,871
50019951400,146,58,36,592
50019951500,187,129,22,696
50019951600,480,60,312,2074
50019951700,684,5,826,1362
50019951800,414,13,418,1017
50019951900,359,10,550,1436
50019952000,440,10,325,1102
50021962100,142,22,116,1005
50021962200,244,114,267,1876
50021962300,293,14,471,1672
50021962400,283,120,192,1398
50021962500,64,99,21,695
50021962600,150,86,50,1103
50021962700,336,79,92,1838
50021962800,481,358,147,2045
50021963000,180,23,8,1826
50021963100,134,125,13,753
50021963200,187,59,24,1062
50021963300,499,116,146,1497
50021963400,250,34,229,1269
50021963500,163,8,168,1087
50021963600,330,184,285,1799
50021963700,177,85,182,1054
50021963800,367,66,541,2354
50021964000,136,55,212,2443
50021964200,203,4,326,716
50021964300,116,17,54,1094
50023954000,410,39,370,2413
50023954100,127,10,401,1510
50023954200,98,13,149,1260
50023954300,331,156,190,1930
50023954400,149,26,230,1502
50023954500,388,10,363,1028
50023954600,146,86,7,702
50023954700,82,54,15,527
50023954800,94,142,11,430
50023954900,151,79,20,585
50023955000,179,16,119,1360
50023955100,132,452,26,982
50023955200,240,401,45,1047
50023955300,84,16,61,1990
50023955400,301,49,118,1715
50023955501,81,41,138,771
50023955502,241,32,248,1240
50023955600,150,226,82,1270
50023955700,213,31,122,991
50023955800,83,59,43,959
50025967000,193,26,26,857
50025967100,164,46,135,998
50025967200,282,17,208,2224
50025967300,176,8,47,1547
50025967400,115,3,139,848
50025967500,550,13,93,839
50025967600,224,8,207,1531
50025967700,210,51,108,963
50025967800,91,2,82,909
50025967900,1227,48,97,519
50025968000,239,59,41,1747
50025968100,145,0,37,852
50025968200,130,13,81,1157
50025968300,166,2,73,997
50025968400,97,69,239,1238
50025968500,325,119,30,1317
50025968600,360,78,45,714
50025968700,284,17,297,2042
50027965000,131,26,59,1998
50027965100,215,35,241,1313
50027965400,415,55,347,2641
50027965501,1054,130,236,1042
50027965502,314,112,135,821
50027965600,555,102,270,1113
50027965700,153,53,395,1880
50027965800,336,33,86,1818
50027965901,221,29,205,1351
50027965902,94,21,56,1348
50027966000,257,29,86,1291
50027966100,228,6,346,1628
50027966200,145,19,149,1020
50027966300,522,85,136,2038
50027966501,237,49,167,1483
50027966502,506,12,52,877
50027966600,289,197,159,1969
50027966700,220,130,142,1559
50027966800,317,17,337,1675
