CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
53001950100,492,18,319,1759
53001950200,627,4,361,1182
53001950301,391,0,330,638
53001950302,122,41,493,332
53001950303,111,4,441,638
53001950400,228,57,34,615
53001950500,271,88,179,1173
53003960100,760,50,240,2369
53003960200,264,60,352,2213
53003960300,309,140,72,1117
53003960400,37,63,125,905
53003960500,74,141,66,1175
53003960600,191,52,199,1609
53005010100,115,83,4,1684
53005010201,468,110,86,1948
53005010203,87,84,249,791
53005010204,30,148,5,231
53005010300,72,161,57,1959
53005010400,11,101,14,1465
53005010500,230,379,5,445
53005010600,268,363,18,793
53005010701,93,2,849,425
53005010703,344,16,539,940
53005010705,40,10,37,2208
53005010707,25,1,81,1234
53005010708,182,39,80,1397
53005010807,75,13,374,313
53005010809,145,263,314,1002
53005010810,53,91,7,1488
53005010811,34,4,124,1951
53005010814,88,0,295,1925
53005010815,180,114,67,2594
53005010816,63,43,185,1482
53005010817,37,102,18,1937
53005010818,114,10,311,703
53005010819,53,0,14,1175
53005010820,154,58,76,877
53005010901,347,211,72,875
53005010902,154,149,278,1141
53005011001,136,132,93,1026
53005011002,134,240,146,897
53005011100,129,170,212,2145
53005011201,70,230,8,675
53005011202,69,146,3,270
53005011300,460,107,82,1392
53005011401,52,66,232,956
53005011402,39,30,262,2096
53005011501,318,19,2325,1763
53005011504,46,0,264,1095
53005011505,99,45,553,1010
53005011506,51,0,62,2182
53005011600,481,1,164,329
53005011701,250,49,330,684
53005011702,175,80,150,1409
53005011801,496,0,790,1018
53005011802,561,6,450,1146
53005011900,429,23,1218,1620
53005012000,916,0,87,0
53007960100,271,10,529,967
53007960201,234,149,259,2009
53007960202,214,0,690,886
53007960203,234,15,720,628
53007960301,163,61,322,1573
53007960302,404,46,291,931
53007960303,84,91,211,1016
53007960400,262,201,615,2100
53007960501,163,12,305,1283
53007960502,356,13,594,1881
53007960600,253,57,172,1400
53007960700,287,5,226,1537
53007960801,42,4,156,1100
53007960803,158,137,116,681
53007960804,272,159,334,938
53007961001,24,79,14,728
53007961002,286,97,16,738
53007961101,69,44,83,1087
53007961102,96,46,314,1314
53007961200,372,12,519,1619
53007961301,7,20,13,539
53007961303,26,228,13,1045
53007961304,20,107,35,1457
53009000300,367,62,791,1238
53009000600,346,2,563,1474
53009000700,235,38,203,1335
53009000800,107,67,134,1657
53009000900,137,52,40,1194
53009001000,175,43,40,1011
53009001100,65,42,88,1182
53009001200,177,66,89,1746
53009001300,203,16,563,1246
53009001400,175,8,718,2265
53009001500,246,0,273,1004
53009001600,150,6,823,1629
53009001701,177,4,469,930
53009001702,110,9,265,1753
53009001800,225,6,757,1501
53009001901,127,15,444,1644
53009001902,156,132,280,1351
53009002001,144,153,374,910
53009002002,46,94,189,1380
53009002100,299,115,256,1029
53009002301,105,2,296,756
53009002302,91,0,324,1223
53009002400,498,20,594,1131
53009940000,221,0,411,110
53011040101,276,4,1021,2133
53011040102,109,4,367,1644
53011040201,118,33,717,2578
53011040202,116,0,759,2037
53011040203,136,0,688,2797
53011040301,89,0,199,1051
53011040303,129,4,128,1471
53011040304,26,0,41,985
53011040305,86,38,38,1021
53011040403,162,5,407,2518
53011040407,186,79,182,1378
53011040408,87,8,166,1949
53011040409,55,41,22,964
53011040411,86,47,34,346
53011040412,41,140,11,1403
53011040413,73,26,33,926
53011040414,80,43,115,1932
53011040415,83,73,30,1393
53011040416,43,1,112,1663
53011040504,62,1,282,2248
53011040505,117,7,251,3163
53011040507,162,49,292,472
53011040509,109,120,23,826
53011040510,105,19,335,2489
53011040511,34,1,172,1053
53011040512,16,20,8,669
53011040513,52,80,10,1503
53011040603,95,6,296,2572
53011040604,100,1,221,2461
53011040605,116,44,332,2046
53011040608,107,10,28,1424
53011040609,19,2,7,1508
53011040610,19,1,4,1226
53011040703,193,17,279,2046
53011040706,88,93,251,792
53011040707,45,10,35,1136
53011040709,126,56,80,1818
53011040711,132,82,15,738
53011040712,10,0,69,2168
53011040713,28,4,23,1532
53011040714,36,138,19,538
53011040715,88,13,244,1332
53011040803,56,37,60,1673
53011040806,34,10,25,1540
53011040808,183,13,172,511
53011040809,40,60,103,1385
53011040810,97,25,75,864
53011040811,25,7,22,1376
53011040812,89,66,125,1747
53011040904,102,110,78,1597
53011040905,107,2,194,1956
53011040907,48,0,15,2335
53011040908,30,12,35,2382
53011040909,57,180,71,1432
53011040910,214,0,117,1318
53011041003,22,71,15,1502
53011041005,462,99,198,616
53011041007,65,97,23,1057
53011041008,19,19,3,1500
53011041009,126,150,112,875
53011041010,199,142,303,781
53011041011,141,76,48,1307
53011041104,28,89,40,991
53011041105,214,90,192,2049
53011041107,21,2,21,1034
53011041110,34,149,68,1915
53011041111,44,250,18,96
53011041112,53,258,62,1296
53011041113,61,220,21,99
53011041114,52,201,103,603
53011041203,159,179,11,1234
53011041205,78,284,45,908
53011041206,53,138,42,1847
53011041207,47,117,17,497
53011041208,12,276,24,1040
53011041309,4,159,13,1255
53011041310,75,96,28,1696
53011041312,237,187,471,531
53011041313,112,213,2,305
53011041317,122,268,37,894
53011041319,77,194,39,1807
53011041320,66,258,11,1404
53011041321,84,46,276,669
53011041322,112,343,55,628
53011041323,67,249,195,1021
53011041325,58,2,200,1448
53011041326,63,2,73,786
53011041328,76,221,5,1192
53011041329,91,116,57,1185
53011041330,19,21,72,1638
53011041331,68,56,77,513
53011041332,12,8,24,1242
53011041333,18,0,36,1112
53011041334,8,0,7,801
53011041335,41,0,18,1719
53011041336,28,167,114,419
53011041337,118,108,18,711
53011041400,99,149,31,1845
53011041500,223,93,23,711
53011041600,182,247,102,338
53011041700,48,261,32,818
53011041800,37,257,84,1212
53011041900,62,105,6,680
53011042000,21,43,1,662
53011042100,60,213,6,1036
53011042300,94,157,6,769
53011042400,134,11,6,14
53011042500,140,57,9,358
53011042601,269,88,43,12
53011042602,229,292,23,630
53011042700,27,422,202,525
53011042800,47,119,10,1082
53011042900,111,4,12,449
53011043000,21,88,6,525
53011043100,41,46,20,1697
53013960200,1454,47,308,2074
53015000400,105,285,10,935
53015000501,17,0,2,1476
53015000502,13,178,7,1379
53015000601,23,81,5,946
53015000602,57,0,0,1485
53015000702,25,0,6,1365
53015000703,77,22,385,202
53015000705,99,120,55,996
53015000706,40,66,159,866
53015000801,33,6,33,1345
53015000802,30,29,105,1478
53015000901,66,30,263,1057
53015000902,22,46,146,1159
53015001000,116,47,10,279
53015001100,302,217,222,1684
53015001200,82,65,239,1525
53015001300,57,127,155,1189
53015001501,224,5,616,1347
53015001503,171,46,460,1805
53015001504,401,80,173,903
53015001601,292,47,474,1399
53015001602,85,2,375,1094
53015001700,216,1,818,2533
53015001800,136,2,361,839
53015001900,254,4,744,2351
53015002001,180,6,672,2010
53015002003,199,54,445,1939
53015002004,115,0,335,980
53015002100,443,257,29,396
53015980000,798,11,159,0
53017950101,379,11,587,1546
53017950102,395,38,471,1091
53017950200,503,8,587,1517
53017950300,457,62,1011,2047
53017950400,64,77,330,2380
53017950500,154,207,102,579
53017950600,24,48,54,1545
53017950700,55,158,216,1004
53017950800,121,50,454,1499
53019940000,758,0,332,546
53019970100,827,2,521,1407
53019970200,664,14,588,1696
53021020101,377,44,77,320
53021020102,348,21,481,739
53021020103,61,56,97,571
53021020201,68,77,14,334
53021020202,130,120,57,585
53021020300,117,86,71,1274
53021020401,110,12,208,131
53021020402,30,38,2,173
53021020403,51,63,14,781
53021020404,130,72,85,100
53021020501,65,46,152,2095
53021020503,28,11,33,1516
53021020504,105,119,155,1901
53021020603,15,45,9,993
53021020605,110,0,11,3195
53021020606,91,94,1,2146
53021020607,9,0,36,1748
53021020608,651,12,1021,2398
53021020700,594,0,527,690
53021020801,494,14,537,1203
53021020802,536,40,397,889
53021980100,112,0,0,0
53023970300,1331,13,148,1162
53025010100,909,35,878,1683
53025010200,827,2,869,1042
53025010300,433,105,1021,1314
53025010401,284,70,110,1021
53025010402,285,85,506,1561
53025010500,1230,29,974,919
53025010600,392,120,288,1299
53025010700,1146,44,1023,844
53025010800,291,342,154,652
53025010901,101,11,261,448
53025010903,348,104,701,675
53025010904,128,55,391,2080
53025011001,146,83,71,2002
53025011002,801,75,351,2081
53025011101,105,72,267,1282
53025011102,315,192,204,520
53025011200,1137,14,1613,1490
53025011300,684,53,595,668
53025011401,558,10,774,240
53025011403,355,90,770,198
53025011404,467,10,271,127
53025011405,648,69,434,303
53025011406,997,0,809,309
53027000201,346,71,82,4688
53027000202,453,36,227,1682
53027000300,483,7,137,2302
53027000401,303,36,55,1606
53027000402,302,72,113,1501
53027000501,339,25,160,1580
53027000502,236,92,269,1445
53027000600,146,43,116,1789
53027000700,591,4,132,2799
53027000800,172,34,158,1814
53027000900,239,89,265,1845
53027001000,292,149,93,686
53027001100,40,84,50,1519
53027001200,272,101,46,1316
53027001300,191,102,94,1287
53027001400,84,27,45,813
53027001500,244,97,31,1172
53027001601,309,67,205,1537
53027001602,240,30,142,1380
53027940000,167,0,111,287
53029970100,38,0,365,891
53029970200,275,0,20,37
53029970300,170,0,676,2171
53029970401,34,2,50,1115
53029970402,290,10,452,415
53029970500,136,13,89,2399
53029970601,53,47,120,742
53029970602,79,68,55,787
53029970700,234,63,5,351
53029970800,85,19,28,826
53029970900,1061,7,3,21
53029971000,241,26,478,2033
53029971100,256,5,361,1672
53029971301,100,0,142,1530
53029971302,78,0,247,1588
53029971400,85,0,284,2428
53029971500,231,15,168,2214
53029971600,61,1,487,1688
53029971700,39,1,387,2147
53029971800,157,21,100,1679
53029971900,175,10,393,1826
53029972000,319,30,147,1624
53029972100,149,0,143,2042
53031950202,345,3,293,1100
53031950301,370,12,365,1917
53031950302,152,6,170,1509
53031950400,293,37,596,1187
53031950501,437,37,538,1611
53031950502,109,4,237,887
53031950602,94,157,209,1090
53031950603,189,322,72,927
53031950604,103,303,35,1383
53031950702,429,2,472,795
53033000101,33,89,3,136
53033000102,63,56,10,858
53033000201,36,108,3,661
