CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
55001950100,283,3,11,3538
55001950201,269,25,14,1669
55001950203,154,0,4,1092
55001950204,546,0,18,2143
55001950400,859,4,65,3026
55001950501,377,0,23,2180
55001950502,593,3,60,2874
55001950700,1152,90,55,3330
55003940000,306,0,233,720
55003950300,164,4,6,1137
55003950400,220,11,26,945
55003950500,359,0,88,1715
55003950600,220,7,44,1172
55003950700,318,9,88,2099
55003950800,443,6,47,2134
55003990000,9,0,0,0
55005000100,644,14,126,3688
55005000200,672,14,81,3016
55005000300,674,11,71,3600
55005000400,754,2,59,2923
55005000500,358,3,30,1806
55005000601,344,1,9,694
55005000602,384,6,22,1560
55005000800,662,7,49,3205
55005000900,986,4,157,4501
55005001001,440,0,101,1494
55005001003,163,10,23,1200
55005001004,588,64,69,2626
55007960100,883,0,63,1677
55007960200,286,0,63,2398
55007960300,260,1,86,2492
55007960401,305,0,55,1888
55007960402,609,0,179,2856
55007960600,420,2,71,3246
55009000100,333,0,21,841
55009000200,105,12,19,2465
55009000302,177,10,8,1102
55009000303,124,2,8,663
55009000401,201,20,17,1154
55009000402,55,0,5,981
55009000500,60,2,16,1053
55009000600,21,0,3,1836
55009000700,112,1,7,2020
55009000800,237,1,20,389
55009000900,333,0,39,1097
55009001000,191,8,6,165
55009001100,98,1,28,584
55009001200,88,5,23,520
55009001300,73,4,24,923
55009001400,75,3,11,1537
55009001600,328,20,4,1508
55009001701,209,2,6,724
55009001702,253,15,14,390
55009001801,94,80,13,1169
55009001802,229,5,22,1660
55009002001,164,27,12,2428
55009002002,145,12,5,1307
55009002003,155,1,4,1262
55009010100,88,28,1,2162
55009010201,266,18,22,989
55009010202,232,19,12,1630
55009010300,369,98,8,2190
55009020100,614,65,44,3663
55009020203,243,46,13,2696
55009020204,106,36,3,2558
55009020502,801,11,7,1244
55009020504,139,21,4,2076
55009020505,135,7,11,1676
55009020506,38,27,4,773
55009020600,628,2,37,3207
55009020702,535,52,44,2838
55009020703,376,27,35,2372
55009020704,978,106,19,1746
55009020800,108,18,15,903
55009020900,29,3,10,1119
55009021000,50,0,7,1109
55009021200,48,35,5,1870
55009021301,72,8,3,1097
55009021302,156,18,1,2101
55009021303,644,25,3,693
55009021304,256,1,1,496
55009021400,573,39,26,3670
55009021500,534,0,42,2243
55009021600,598,11,29,2675
55009940002,122,15,3,1496
55009940003,248,4,4,812
55009940004,195,2,5,715
55009940005,342,7,6,1868
55009940006,307,0,31,1819
55009940007,124,36,16,897
55009940008,481,125,12,1341
55009980000,3,0,11,0
55011960100,1583,0,304,2108
55011960200,397,0,26,1357
55011960300,920,0,153,1340
55011960400,1032,0,171,1799
55011960500,1967,0,289,1866
55013970400,589,16,95,6634
55013970600,281,0,26,2882
55013970700,365,17,57,3444
55013970800,334,1,34,2235
55013970900,269,2,26,2263
55013971000,151,0,25,2630
55015020100,833,0,27,1874
55015020200,1166,3,9,2190
55015020303,27,106,6,1427
55015020304,26,154,4,988
55015020306,519,0,12,2800
55015020308,162,25,19,1628
55015020400,806,0,12,2494
55015020500,788,1,17,2168
55015020600,780,3,21,2479
55015020700,19,0,6,1411
55015020800,88,54,45,1692
55017010100,438,4,29,1307
55017010200,577,35,95,2803
55017010300,164,40,21,1812
55017010400,1941,7,163,2292
55017010500,550,43,28,1164
55017010700,672,24,151,3377
55017010800,2166,1,198,2200
55017010900,1975,34,251,1808
55017011001,1233,133,151,1332
55017011002,1503,6,159,1495
55017011100,2340,4,221,2144
55017011200,2207,11,126,2830
55019950100,544,4,83,2518
55019950200,486,3,103,2910
55019950300,468,0,135,3129
55019950400,542,0,110,3159
55019950500,711,1,127,3615
55019950600,743,0,153,4266
55019950700,435,1,61,2022
55019950800,469,0,172,3151
55021970100,1021,2,138,3049
55021970200,663,10,176,3184
55021970300,591,48,38,2499
55021970401,316,15,25,401
55021970402,141,6,5,1630
55021970500,445,16,10,1515
55021970600,833,149,186,2826
55021970700,424,12,67,2060
55021970800,804,35,84,2540
55021970900,553,42,58,2636
55021971000,731,1,117,2971
55021971100,517,5,88,2323
55021971200,434,42,33,1979
55023960100,1854,7,106,1145
55023960200,1448,2,100,1404
55023960300,1950,0,71,1355
55023960400,1580,0,227,1028
55023960500,168,0,9,957
55023960600,362,3,25,1247
55025000100,49,35,1,1034
55025000201,28,21,1,963
55025000202,22,62,4,688
55025000204,35,75,6,938
55025000205,21,86,4,1464
55025000301,37,38,3,82
55025000302,5,43,1,799
55025000401,11,1,3,1438
55025000402,33,56,0,946
55025000406,46,55,8,473
55025000407,23,279,7,1177
55025000408,330,45,10,3
55025000409,24,65,6,727
55025000410,70,59,0,27
55025000501,54,110,9,1472
55025000504,19,205,4,1642
55025000505,8,129,3,845
55025000506,91,18,1,604
55025000600,212,126,4,638
55025000700,23,45,3,1223
55025000800,47,108,8,1354
55025000901,20,17,3,785
55025000902,41,215,13,948
55025001000,47,39,4,777
55025001101,114,68,1,11
55025001102,146,0,0,0
55025001200,92,509,16,1109
55025001300,111,158,4,840
55025001401,380,171,32,573
55025001402,193,182,11,628
55025001404,86,112,3,667
55025001405,347,88,7,381
55025001501,26,43,4,448
55025001502,328,90,3,1008
55025001603,35,35,1,4
55025001604,30,124,20,41
55025001605,29,177,3,36
55025001606,43,146,4,36
55025001704,32,58,3,28
55025001706,48,128,6,45
55025001707,16,135,8,39
55025001802,24,273,2,450
55025001804,69,231,2,304
55025001901,178,462,8,480
55025001902,54,242,0,595
55025002000,120,526,7,2000
55025002100,188,420,7,1668
55025002200,53,196,6,1369
55025002301,22,86,4,873
55025002302,46,51,16,360
55025002401,5,13,1,1535
55025002402,33,45,9,851
55025002500,289,114,390,170
55025002601,127,107,3,663
55025002602,138,198,13,1023
55025002603,206,158,12,1009
55025002700,93,56,2,1870
55025002800,51,39,5,1235
55025002900,120,138,7,1078
55025003001,120,75,7,1934
55025003002,12,164,5,365
55025003100,461,115,5,2329
55025003200,155,0,0,13
55025010100,48,8,2,659
55025010200,10,0,0,660
55025010300,40,54,2,1487
55025010400,42,89,9,1113
55025010501,324,50,6,1099
55025010503,72,126,3,1534
55025010504,93,119,11,1060
55025010600,590,15,14,2700
55025010701,94,92,8,1871
55025010702,530,54,23,2490
55025010801,121,67,8,1427
55025010802,168,64,6,1712
55025010903,62,29,2,1159
55025010905,199,101,13,488
55025010906,35,32,1,935
55025010907,392,21,3,1595
55025010908,940,4,12,1690
55025011000,112,40,11,1299
55025011101,185,50,9,1036
55025011103,106,172,3,999
55025011104,91,79,1,1284
55025011201,271,17,8,1195
55025011202,649,107,11,1735
55025011301,229,107,10,1969
55025011302,246,39,2,837
55025011403,11,32,9,660
55025011404,183,204,8,1689
55025011405,296,37,18,782
55025011406,33,21,3,874
55025011407,128,24,4,469
55025011504,138,196,26,841
55025011505,149,151,14,968
55025011506,287,191,11,962
55025011507,55,121,4,1252
55025011508,38,106,2,1158
55025011600,245,230,9,1909
55025011700,960,10,6,2019
55025011800,1066,63,306,2202
55025011900,1253,87,59,2999
55025012002,1119,0,26,2589
55025012003,167,129,9,1811
55025012004,121,53,3,809
55025012100,981,1,18,1483
55025012201,171,35,15,623
55025012202,82,161,7,1854
55025012300,275,85,14,1913
55025012400,750,14,5,2522
55025012501,227,152,25,2007
55025012502,332,46,46,1568
55025012600,1648,24,20,1960
55025012700,970,0,47,2204
55025012800,417,266,27,2295
55025012900,1440,0,17,2080
55025013000,286,61,16,1385
55025013100,713,6,27,2090
55025013201,1451,2,13,1526
55025013202,564,94,19,2029
55025013301,243,13,14,1385
55025013302,154,57,5,1523
55025013700,421,47,7,1712
55025991702,1,0,0,1
55025991703,1,0,0,3
55027960100,1573,173,31,2056
55027960200,1296,45,118,1897
55027960300,300,104,59,2085
55027960400,1463,36,28,2159
55027960500,601,68,33,1452
55027960600,1152,39,22,2026
55027960700,285,52,24,1479
55027960800,67,63,9,1497
55027960900,175,70,20,1223
55027961000,278,142,15,1311
55027961100,874,61,50,1913
55027961200,211,128,62,1368
55027961300,287,141,57,1947
55027961400,1401,49,74,2155
55027961500,1051,71,45,2812
55027961600,1003,282,24,2353
55027961700,1363,44,48,1438
55027961800,2315,104,21,2050
55027961900,178,85,9,2047
55027962000,84,113,7,779
55029100100,625,177,78,3984
55029100300,766,324,142,2884
55029100400,780,455,94,3351
55029100500,756,106,17,2949
55029100600,1086,1,39,2169
55029100700,550,24,68,1530
55029100800,536,136,66,2279
55029100900,629,27,36,1177
55029101000,650,72,22,1784
55029990000,7,0,5,0
55031020300,240,3,26,978
55031020400,110,11,31,1486
55031020500,65,0,9,1001
55031020600,200,4,21,1290
55031020700,159,0,24,2160
55031020800,475,3,46,1544
55031020900,128,1,21,1076
55031021000,206,1,32,833
55031021100,522,2,39,427
55031030101,279,0,53,3639
55031030102,215,0,31,1836
55031030200,291,1,115,3934
55031030301,395,4,82,3664
55031030302,283,3,63,2450
55033970100,570,6,145,3716
55033970200,998,0,258,3114
