CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
54001965500,572,129,348,2206
54001965600,328,82,119,1133
54001965700,935,154,365,3160
54001965800,369,71,221,1576
54003971101,218,33,310,1521
54003971103,80,47,302,707
54003971104,81,39,748,1485
54003971105,65,19,364,1034
54003971203,135,32,204,1485
54003971204,91,24,100,1598
54003971205,161,21,168,1506
54003971206,139,22,249,2834
54003971301,334,211,262,930
54003971302,117,40,363,1402
54003971401,136,27,153,1995
54003971402,176,76,245,1409
54003971500,199,113,106,1117
54003971600,251,148,17,1303
54003971700,280,207,45,1478
54003971801,140,32,167,1858
54003971802,201,37,210,2239
54003971901,375,44,356,2057
54003971902,152,24,216,1448
54003972001,227,48,198,1700
54003972002,109,30,452,489
54003972003,182,31,123,1732
54003972101,217,26,378,2351
54003972103,206,31,158,1347
54003972104,117,11,180,1534
54003972105,174,24,72,1342
54005958200,334,10,648,1231
54005958300,378,3,712,1351
54005958400,225,15,268,705
54005958501,336,15,511,785
54005958502,264,38,530,1109
54005958600,182,5,314,545
54005958700,259,2,296,729
54005958800,230,5,562,964
54007967900,940,176,751,2608
54007968000,888,86,660,2358
54007968100,692,104,581,2262
54009031102,155,38,156,1940
54009031103,154,41,17,915
54009031104,293,23,160,828
54009031200,180,38,167,1128
54009031401,200,69,21,739
54009031402,113,21,178,1002
54009031600,390,13,107,1483
54009031700,258,13,134,1169
54011000101,103,11,149,654
54011000102,119,40,32,665
54011000200,195,60,117,1031
54011000300,128,76,96,821
54011000400,199,55,15,454
54011000500,89,56,2,36
54011000600,132,53,6,35
54011000900,220,72,22,284
54011001000,131,67,42,651
54011001100,128,68,41,523
54011001200,44,72,17,884
54011001300,65,184,29,399
54011001400,90,160,20,575
54011001500,55,60,19,663
54011001600,51,36,6,255
54011001800,104,52,24,1113
54011001900,50,7,10,960
54011002000,23,11,13,1398
54011002100,105,9,64,1202
54011010103,349,5,299,1028
54011010104,241,16,149,1096
54011010202,250,63,218,1356
54011010203,82,114,39,1208
54011010204,68,25,24,496
54011010300,470,18,324,836
54011010401,246,44,110,810
54011010402,173,37,143,917
54011010500,533,2,558,2103
54011010600,524,13,647,1398
54011010701,784,1,578,1038
54011010702,311,15,313,1487
54011010801,226,12,349,825
54011010802,411,75,352,1221
54011010900,267,81,11,91
54013962600,891,22,211,1856
54013962700,1149,35,238,2445
54015957900,580,21,351,1857
54015958000,623,22,395,1546
