CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
56001962700,331,15,900,1573
56001962800,100,84,411,756
56001962900,129,17,365,353
56001963000,162,120,156,237
56001963101,15,22,29,1145
56001963102,29,117,11,713
56001963400,129,165,22,588
56001963500,181,2,9,2
56001963600,78,126,16,1452
56001963700,225,143,116,1519
56001963900,593,22,949,3215
56003962600,441,18,495,1766
56003962700,458,28,617,2184
56003962800,632,34,827,2771
56005000101,691,0,1215,906
56005000102,228,51,784,1859
56005000103,580,18,662,852
56005000200,612,256,637,2090
56005000300,590,203,573,949
56005000400,218,78,206,914
56005000500,84,107,190,2085
56005000600,667,70,525,1123
56005000701,446,0,1026,1005
56005000702,471,46,2250,1478
56007967600,1071,24,500,1127
56007967700,401,66,548,1053
56007967800,251,66,268,1833
56007968000,536,46,756,2860
56007968100,614,22,481,1420
56009956400,575,100,774,2029
56009956500,183,94,513,752
56009956600,1291,5,929,3165
56009956700,183,44,315,929
56011950200,947,16,1497,3115
56011950300,455,15,698,2051
56013000100,358,65,465,1446
56013000200,216,75,100,1519
56013000301,480,16,417,1824
56013000302,681,5,541,1189
56013000400,354,16,486,1939
56013940100,1047,0,593,941
56013940201,564,1,1153,2477
56013940202,693,3,751,1397
56013940301,387,20,257,536
56013940302,154,18,425,1177
56013940400,331,96,374,2184
56013940500,210,80,67,1027
56015957700,411,1,352,1865
56015957800,348,46,223,1851
56015957900,222,80,241,1845
56015958000,579,11,533,3370
56017967800,208,57,280,1331
56017967900,604,7,676,1280
56019955100,923,1,1082,2772
56019955201,167,35,157,1025
56019955202,360,57,548,1533
56021000200,444,225,118,1624
56021000300,93,46,55,1300
56021000401,373,32,1018,1297
56021000403,395,64,663,843
56021000404,176,31,337,580
56021000502,11,30,15,941
56021000503,87,84,2,1606
56021000601,61,130,6,1246
56021000602,45,185,13,1081
56021000701,154,275,33,1068
56021000702,281,229,91,175
56021000800,26,61,2,939
56021000900,92,113,13,1388
56021001000,107,209,133,1147
56021001100,819,0,0,0
56021001200,113,95,17,1752
56021001301,59,80,17,1043
56021001302,54,45,29,2147
56021001401,90,66,27,1344
56021001402,118,37,27,936
56021001501,100,68,311,2152
56021001502,270,151,392,1508
56021001901,198,26,440,3400
56021001902,665,39,787,3228
56021002001,408,430,996,2058
56021002002,752,199,752,2948
56021980801,94,1,3,0
56023978001,483,42,502,2450
56023978002,320,40,512,2436
56023978100,858,67,626,3627
56023978200,810,8,680,1295
56023978400,263,40,351,1241
56025000200,640,110,271,1019
56025000300,252,143,42,1548
56025000400,161,58,120,1716
56025000501,47,163,20,1427
56025000502,100,19,112,678
56025000601,19,82,24,850
56025000602,53,35,68,2067
56025000700,76,89,22,1133
56025000800,133,46,30,1741
56025000901,111,54,13,1823
56025000902,50,14,10,1228
56025001000,256,40,69,1572
56025001100,245,18,458,955
56025001200,562,10,607,444
56025001401,1065,9,1335,2610
56025001602,478,47,444,2230
56025001603,115,0,72,1703
56025001700,320,12,187,2020
56025001801,561,35,365,1424
56025001802,1218,3,838,1777
56027957200,761,26,700,2254
56029965100,576,3,916,3644
56029965200,482,154,175,2399
56029965301,612,47,584,3041
56029965302,603,41,616,3617
56029965401,164,80,119,1046
56029965402,459,118,285,1358
56029965500,284,103,123,1761
56031959100,688,16,514,1828
56031959401,576,69,781,3255
56031959402,537,16,343,1879
56033000100,401,96,237,2174
56033000200,57,100,49,1611
56033000300,222,99,42,1546
56033000400,185,85,201,2192
56033000501,567,4,343,3285
56033000502,234,53,278,2939
56033000600,594,54,341,3291
56035000101,1194,31,687,2712
56035000103,412,25,387,2383
56035000104,392,38,345,2092
56037970500,720,22,469,920
56037970601,248,64,821,755
56037970602,12,29,6,1097
56037970700,277,47,181,1256
56037970800,294,60,900,1232
56037970902,161,213,121,1203
56037970903,240,38,250,419
56037970904,180,0,924,760
56037970905,106,85,243,1295
56037971000,97,12,245,616
56037971100,77,59,195,1111
56037971200,62,21,23,1059
56037971600,1152,11,814,794
56039967601,731,17,324,1669
56039967602,719,16,128,1933
56039967701,191,36,172,538
56039967703,132,18,84,1256
56039967704,299,70,170,1892
56039967801,172,91,283,668
56039967802,370,34,61,1777
56041975201,273,8,463,940
56041975202,751,10,1115,1761
56041975301,828,26,658,614
56041975302,83,87,55,1377
56041975401,262,58,96,1222
56041975402,468,42,922,1075
56043000200,620,42,790,2246
56043000301,173,60,133,1220
56043000302,259,39,114,1001
56045951100,802,5,1115,2399
56045951300,437,44,634,1570
