,BLDG_TYPE,BUILDINGCO,MEDIANSLIG,MEDIANMODE,MEDIANEXTE,MEDIANCOMP,BETASLIGHT,BETAMODERA,BETAEXTENS,BETACOMPLE,LOOKUP_
0,C1H,HC,0.11,0.22,0.62,1.35,0.64,0.64,0.64,0.64,C1HHC
1,C1H,MC,0.11,0.18,0.41,0.74,0.64,0.64,0.64,0.64,C1HMC
2,C1H,LC,0.1,0.15,0.27,0.44,0.64,0.64,0.64,0.64,C1HLC
3,C1H,PC,0.08,0.12,0.21,0.35,0.64,0.64,0.64,0.64,C1HPC
4,C1M,HC,0.15,0.27,0.73,1.61,0.64,0.64,0.64,0.64,C1MHC
5,C1M,MC,0.13,0.21,0.49,0.89,0.64,0.64,0.64,0.64,C1MMC
6,C1M,LC,0.12,0.17,0.32,0.54,0.64,0.64,0.64,0.64,C1MLC
7,C1M,PC,0.09,0.13,0.26,0.43,0.64,0.64,0.64,0.64,C1MPC
8,C1L,HC,0.21,0.35,0.7,1.37,0.64,0.64,0.64,0.64,C1LHC
9,C1L,MC,0.16,0.23,0.41,0.77,0.64,0.64,0.64,0.64,C1LMC
10,C1L,LC,0.12,0.15,0.27,0.45,0.64,0.64,0.64,0.64,C1LLC
11,C1L,PC,0.1,0.12,0.21,0.36,0.64,0.64,0.64,0.64,C1LPC
12,C2H,HC,0.12,0.29,0.82,1.87,0.64,0.64,0.64,0.64,C2HHC
13,C2H,MC,0.12,0.23,0.57,1.07,0.64,0.64,0.64,0.64,C2HMC
14,C2H,LC,0.11,0.19,0.38,0.65,0.64,0.64,0.64,0.64,C2HLC
15,C2H,PC,0.09,0.15,0.31,0.52,0.64,0.64,0.64,0.64,C2HPC
16,C2M,HC,0.17,0.36,0.87,1.95,0.64,0.64,0.64,0.64,C2MHC
17,C2M,MC,0.15,0.26,0.55,1.02,0.64,0.64,0.64,0.64,C2MMC
18,C2M,LC,0.12,0.19,0.38,0.63,0.64,0.64,0.64,0.64,C2MLC
19,C2M,PC,0.1,0.15,0.3,0.5,0.64,0.64,0.64,0.64,C2MPC
20,C2L,HC,0.2399,0.45,0.9,1.55,0.64,0.64,0.64,0.64,C2LHC
21,C2L,MC,0.14,0.19,0.3,0.52,0.64,0.64,0.64,0.64,C2LMC
22,C2L,LC,0.18,0.3,0.49,0.87,0.64,0.64,0.64,0.64,C2LLC
23,C2L,PC,0.11,0.15,0.2399,0.4201,0.64,0.64,0.64,0.64,C2LPC
24,C3H,LC,0.09,0.16,0.33,0.53,0.64,0.64,0.64,0.64,C3HLC
25,C3H,PC,0.08,0.13,0.27,0.43,0.64,0.64,0.64,0.64,C3HPC
26,C3M,LC,0.11,0.17,0.32,0.51,0.64,0.64,0.64,0.64,C3MLC
27,C3M,PC,0.09,0.14,0.25,0.41,0.64,0.64,0.64,0.64,C3MPC
28,C3L,LC,0.12,0.17,0.26,0.44,0.64,0.64,0.64,0.64,C3LLC
29,C3L,PC,0.1,0.14,0.21,0.35,0.64,0.64,0.64,0.64,C3LPC
30,MH,HC,0.11,0.18,0.31,0.6,0.64,0.64,0.64,0.64,MHHC
31,MH,MC,0.11,0.18,0.31,0.6,0.64,0.64,0.64,0.64,MHMC
32,MH,LC,0.11,0.18,0.31,0.6,0.64,0.64,0.64,0.64,MHLC
33,MH,PC,0.08,0.11,0.18,0.34,0.64,0.64,0.64,0.64,MHPC
34,PC1,HC,0.2001,0.35,0.72,1.25,0.64,0.64,0.64,0.64,PC1HC
35,PC1,MC,0.18,0.2399,0.44,0.71,0.64,0.64,0.64,0.64,PC1MC
36,PC1,LC,0.13,0.17,0.25,0.45,0.64,0.64,0.64,0.64,PC1LC
37,PC1,PC,0.11,0.14,0.21,0.35,0.64,0.64,0.64,0.64,PC1PC
38,PC2H,HC,0.12,0.23,0.63,1.4899,0.64,0.64,0.64,0.64,PC2HHC
