CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
06001400100,104,22,10,1162
06001400200,46,110,2,538
06001400300,67,416,7,1139
06001400400,57,391,3,777
06001400500,56,342,6,614
06001400600,34,175,3,306
06001400700,74,475,16,762
06001400800,89,409,3,488
06001400900,34,287,1,411
06001401000,150,623,28,848
06001401100,117,487,11,323
06001401200,69,274,11,443
06001401300,160,157,13,36
06001401400,133,461,15,313
06001401500,63,240,5,286
06001401600,141,157,8,169
06001401700,373,250,7,211
06001401800,62,182,5,164
06001402200,69,262,8,205
06001402400,31,242,4,141
06001402500,48,83,0,99
06001402600,46,50,2,16
06001402700,39,203,2,102
06001402801,39,30,1,2
06001402802,20,11,0,1
06001402900,45,11,0,0
06001403000,45,15,0,0
06001403100,40,13,5,2
06001403301,34,53,1,24
06001403302,84,44,1,9
06001403401,39,41,1,0
06001403402,9,12,3,0
06001403501,59,224,9,154
06001403502,7,141,0,76
06001403600,20,192,3,133
06001403701,16,111,4,9
06001403702,27,96,4,22
06001403800,37,280,2,550
06001403900,49,200,5,311
06001404000,42,207,5,169
06001404101,72,249,9,435
06001404102,21,136,7,106
06001404200,89,29,2,1182
06001404300,37,38,4,1193
06001404400,24,36,8,1872
06001404501,2,18,1,643
06001404502,54,41,3,2262
06001404600,43,15,2,1803
06001404700,18,19,1,807
06001404800,30,156,1,629
06001404900,59,260,3,1163
06001405000,23,172,2,881
06001405100,18,24,0,1600
06001405200,44,375,2,607
06001405301,13,184,5,66
06001405302,20,156,2,41
06001405401,32,260,12,155
06001405402,30,215,6,133
06001405500,19,342,3,302
06001405600,40,279,5,326
06001405700,17,250,4,442
06001405800,25,318,2,563
06001405901,61,296,8,310
06001405902,67,234,2,313
06001406000,372,151,16,97
06001406100,328,227,6,310
06001406201,63,274,4,328
06001406202,77,182,4,241
06001406300,34,280,5,509
06001406400,26,97,20,417
06001406500,76,397,10,755
06001406601,40,344,2,788
06001406602,52,189,2,272
06001406700,75,252,1,1740
06001406800,28,138,6,1098
06001406900,30,204,2,946
06001407000,67,396,13,998
06001407101,19,227,1,395
06001407102,40,217,0,900
06001407200,87,414,15,532
06001407300,388,98,13,336
06001407400,82,223,4,474
06001407500,55,217,6,490
06001407600,53,415,16,1171
06001407700,30,91,0,1639
06001407800,83,58,3,601
06001407900,50,91,9,969
06001408000,45,65,3,868
06001408100,138,282,1,1877
06001408200,28,261,3,977
06001408300,61,137,7,1550
06001408400,35,195,6,793
06001408500,54,234,5,1099
06001408600,107,202,4,1279
06001408700,112,355,17,1474
06001408800,189,165,17,731
06001408900,66,202,11,476
06001409000,607,96,25,883
06001409100,21,41,3,609
06001409200,34,79,5,703
06001409300,153,335,10,888
06001409400,117,414,14,682
06001409500,108,214,12,499
06001409600,72,356,1,865
06001409700,56,303,12,834
06001409800,67,47,3,950
06001409900,38,37,3,1241
06001410000,90,20,0,1223
06001410100,52,70,9,760
06001410200,42,114,2,736
06001410300,55,221,3,556
06001410400,30,88,4,1014
06001410500,131,78,0,99
06001420100,30,29,1,834
06001420200,45,144,0,574
06001420301,15,52,0,167
06001420302,34,143,0,497
06001420401,57,0,1,0
06001420402,86,0,0,0
06001420500,55,129,2,597
06001420600,62,61,1,1208
06001421100,3,10,0,842
06001421200,18,27,6,1453
06001421300,46,50,0,1529
06001421400,12,41,0,585
06001421500,20,243,5,1298
06001421600,20,166,6,1277
06001421700,45,393,3,340
06001421800,24,139,0,629
06001421900,49,329,1,1082
06001422000,635,152,6,156
06001422100,65,275,9,504
06001422200,46,333,4,651
06001422300,34,372,2,496
06001422400,88,337,3,95
06001422500,45,269,9,166
06001422700,20,116,15,155
06001422800,121,105,17,13
06001422901,23,61,1,7
06001422902,57,56,1,10
06001423000,64,484,11,652
06001423100,95,350,4,784
06001423200,74,309,9,298
06001423300,50,284,1,936
06001423400,47,512,8,712
06001423500,86,320,14,313
06001423601,66,334,13,326
06001423602,37,384,22,142
06001423700,43,233,10,423
06001423800,25,138,2,1023
06001423901,51,224,3,264
06001423902,42,163,4,197
06001424001,49,416,6,302
06001424002,24,220,1,390
06001425101,18,3,1,0
06001425102,40,6,5,0
06001425103,105,187,5,82
06001425104,108,296,5,120
06001426100,36,18,0,2272
06001426200,23,44,5,1662
06001427100,67,180,3,1207
06001427200,198,430,2,600
06001427300,198,426,9,776
06001427600,79,218,2,183
06001427700,71,446,5,673
06001427800,48,490,1,799
06001427900,51,426,9,661
06001428000,99,248,0,138
06001428100,80,323,4,1095
06001428200,63,291,6,1590
06001428301,158,646,2,875
06001428302,38,1280,1,1110
06001428400,54,392,5,336
06001428500,13,120,2,412
06001428600,11,85,2,520
06001428700,729,220,5,324
06001430101,106,1087,27,949
06001430102,205,11,25,981
06001430200,60,573,7,2113
06001430300,7,44,5,1464
06001430400,30,3,0,790
06001430500,93,208,13,1371
06001430600,30,176,6,1957
06001430700,59,95,3,1393
06001430800,96,190,78,1621
06001430900,159,427,13,372
06001431000,140,172,134,372
06001431100,58,107,6,598
06001431200,85,221,13,1233
06001432100,61,94,2,1395
06001432200,46,237,2,1029
06001432300,63,213,0,1323
06001432400,564,491,5,1199
06001432501,96,169,2,1112
06001432502,23,146,2,1042
06001432601,155,221,7,344
06001432602,98,249,13,383
06001432700,21,47,4,976
06001432800,37,88,0,1390
06001433000,51,41,5,1429
06001433102,105,153,14,988
06001433103,114,255,5,273
06001433104,110,169,177,257
06001433200,236,317,3,1202
06001433300,88,57,4,2147
06001433400,159,78,369,1423
06001433500,30,8,36,1366
06001433600,81,75,6,1442
06001433700,147,146,3,590
06001433801,58,275,6,558
06001433802,32,74,8,868
06001433900,83,313,55,365
06001434000,113,344,35,710
06001435102,92,196,4,1115
06001435103,175,511,2,1917
06001435104,152,309,6,352
06001435200,64,82,3,1355
06001435300,96,374,15,762
06001435400,226,402,14,353
06001435500,137,392,11,584
06001435601,81,639,22,458
06001435602,26,715,70,662
06001435700,30,104,0,1144
06001435800,34,10,0,1662
06001435900,141,49,0,1582
06001436000,31,6,5,1546
06001436100,77,99,17,1287
06001436200,69,409,10,179
06001436301,79,424,4,346
06001436302,83,352,3,330
06001436402,16,358,2,866
06001436403,61,255,11,546
06001436404,51,83,6,1169
06001436500,164,282,7,508
06001436601,48,379,7,927
06001436602,77,198,2,391
06001436700,44,103,11,648
06001436800,42,87,1,618
06001436900,52,274,3,1015
06001437000,75,45,3,851
06001437101,1104,219,141,1478
06001437102,159,76,0,513
06001437200,188,341,410,1302
06001437300,88,31,3,624
06001437400,9,0,0,982
06001437500,43,200,4,343
06001437600,47,79,4,593
06001437701,90,189,9,200
06001437702,2,328,1,54
06001437800,22,87,0,1124
06001437900,95,53,0,401
06001438000,80,91,1,822
06001438100,45,42,0,1911
06001438201,15,0,468,811
06001438203,404,62,275,847
06001438204,80,69,808,945
06001438300,20,1,0,934
06001438400,99,13,207,533
06001440100,34,107,7,312
06001440200,68,248,4,1026
06001440301,226,73,354,1535
06001440304,85,22,1,768
06001440305,1,3,2,1038
06001440306,88,32,0,515
06001440307,32,146,550,534
06001440308,77,128,27,1162
06001440331,132,121,3,472
06001440332,46,0,0,872
06001440333,110,377,3,364
06001440334,5,13,0,1063
06001440336,25,154,0,809
06001440337,56,0,0,752
06001440338,38,50,0,304
06001441100,41,64,174,1251
06001441200,144,424,9,1686
06001441301,74,290,0,383
06001441302,75,59,1,1525
06001441401,109,211,2,1458
06001441402,9,412,2,1037
06001441501,15,242,0,1438
06001441503,1036,1032,32,184
06001441521,26,1,233,1570
06001441522,12,49,0,987
06001441523,3,312,0,135
06001441524,47,594,0,213
06001441525,316,46,2,0
06001441601,26,17,0,1295
06001441602,128,182,3,1290
06001441701,136,299,3,518
06001441702,146,285,3,318
06001441800,166,350,1,1107
06001441921,35,111,1,596
06001441923,142,291,8,40
06001441924,135,690,2,719
06001441926,33,212,1,198
06001441927,23,94,7,47
06001441928,137,175,13,8
06001441929,8,192,6,0
06001442000,42,19,5,1079
06001442100,41,107,13,1296
06001442200,203,70,4,2056
06001442301,102,101,0,831
06001442302,106,323,2,293
06001442400,26,119,0,1592
06001442501,12,61,1,805
06001442502,38,58,4,847
06001442601,33,102,4,967
06001442602,31,134,4,1003
06001442700,27,109,13,865
06001442800,76,0,3,803
06001442900,31,111,0,1888
06001443001,21,0,0,827
06001443002,58,90,328,1295
06001443102,16,43,0,1488
06001443103,108,330,22,884
06001443104,98,203,6,1151
06001443105,19,158,4,1077
06001443200,10,6,0,1296
06001443301,11,13,0,1223
06001443321,35,155,1,160
06001443322,37,23,0,880
06001444100,58,66,0,2251
06001444200,87,126,4,1548
06001444301,42,43,1,972
06001444303,19,0,0,0
06001444304,213,230,4,861
